,Erlotinib,Rapamycin,Sunitinib,Paclitaxel,Cyclopamine,AZ628,Sorafenib,Imatinib,Dasatinib,CMK,Pyrimethamine,GW843682X,Parthenolide,Bortezomib,Roscovitine,Salubrinal,Lapatinib,GSK269962A,Doxorubicin,Etoposide,Gemcitabine,Vinorelbine,Bicalutamide,QS11,Midostaurin,AZD6482,DMOG,Shikonin,Embelin,FH535,Thapsigargin,Bexarotene,Bleomycin,AUY922,Pazopanib,Tipifarnib,AS601245,AICAR,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,ATRA,Gefitinib,Vorinostat,Nilotinib,RDEA119,Temsirolimus,Bosutinib,Lenalidomide,Axitinib,Elesclomol,PLX4720,GDC0941,AZD8055,SB590885,CCT007093,CCT018159
TCGA.FV.A4ZQ.01A.11R.A266.07,4.55555477758464,-1.29103993836372,1.93716186994146,-3.88772558365366,6.39378640607049,2.48226249900776,3.82588111477605,4.97907599444235,1.4034331408986,3.14358817912231,3.56096676166155,-3.46404022244351,4.62036369077185,-5.71858131157312,4.81564338614398,4.08718155919588,4.61817772376792,3.57921122632602,-2.08223593975472,1.11343129696064,-2.835247534304,-4.07011742381821,4.67796699387655,3.41859128004299,0.608949368528135,2.74151292286531,6.36583153347644,-0.0416972344539115,2.85562976314522,2.68900727693671,-5.43118637846309,4.95425469071581,0.85144225720267,-3.1452632417215,4.5924883193031,1.5571435073234,3.27532656346,7.84922399598452,-5.03740056467946,-4.43272588381198,3.15988348510734,0.296330045103617,-5.43154599921668,-0.136429420456556,4.98607584302598,2.25876903685202,0.946874053841951,4.14880919296052,2.18245215940965,-1.60476633686596,2.80111421847979,5.29100175640672,3.24518972881299,-3.03861121287181,4.89160140927386,1.82078770349415,0.200447495837612,4.69144072316169,5.64232719768245,3.38428670085605
TCGA.DD.AAD5.01A.11R.A41C.07,4.58866312705813,-0.257858751270705,2.76896881572917,-3.15968388570825,6.55596563957745,1.87369937630421,3.85046166153488,4.97911617258312,0.817428184880374,3.43980440759649,4.0953415291177,-2.92575139800503,4.52326942373851,-5.31945673397661,4.82635758032912,4.00782657191602,4.63377166185788,3.61707577945918,-1.94448230021699,1.06208218742125,-2.8203877866783,-3.52022450921695,4.48111172447836,4.04932315477933,0.146919727322238,4.61346354982672,6.93333307307295,0.736340902592385,3.32923402850355,2.66377568618135,-4.17822838970995,4.77668692693015,1.25012653691942,-2.38418064629718,4.58408849064451,2.5959889987187,3.18149697771363,7.22728520414165,-5.31679201812413,-4.3013131888849,2.69897748932311,-0.232114914015288,-5.60314743869877,0.0544833336413024,5.17823403990867,1.51424731930538,1.26698161184755,3.93996549341937,1.70541413932922,-1.01319309490705,2.5663533117509,5.2717445507089,3.44047871074998,-2.26587297427433,4.54121479449122,2.32283972368734,0.334429364492272,5.35500543728885,5.63524363513964,2.24611355106587
TCGA.K7.A5RF.01A.11R.A28V.07,4.1989627663339,-0.200732871693967,2.91575688110502,-3.20398765255673,6.45310043210882,2.31422814409691,3.92710143289658,4.94460963160673,0.868420614097921,3.78016762342061,4.77853300630609,-2.3603769406794,4.86694877388073,-5.86910477169833,4.7912771665415,4.28021979377805,4.02426023263818,3.65104598824423,-1.98887369437317,1.22112198851889,-2.5436347981774,-3.96898359401818,4.45629352557944,4.19020067546384,0.285832853867988,2.88360938176432,6.29276648007142,0.311708544351669,2.84204850084818,2.30024713216856,-4.27060795547119,4.53876290435359,0.493848258017687,-2.88516463805902,4.43312458172654,2.39722419801568,3.09767827752326,7.80892740034334,-4.51660928901999,-4.18784434927805,3.11351375288915,0.515911887279184,-5.69161771759204,0.956492428535649,5.25994656297593,1.62716233119501,1.32946817568603,4.11731796859548,1.94396195354605,-1.52078611040488,2.58205823285374,5.34521633207732,3.43364075512162,-2.77098221645119,5.10486562147562,1.91691308267838,0.387821365539531,5.03429959830207,5.57955109554104,3.26136736474531
TCGA.DD.AADA.01A.11R.A41C.07,4.7502879770365,-0.0070278149698062,3.21273428418578,-2.74127010049475,6.4267855031465,2.51135589805086,3.66632670523079,5.00285182815848,2.77509511547013,3.95504011952245,4.13989851852309,-2.04201470175526,5.24646412688506,-4.34909017961019,4.82731570138408,3.86018344198491,4.58581328762664,3.72860449745249,-1.92236310576234,1.75436720789234,-2.31664636382873,-3.7687059671792,4.4740786471864,3.68948535989731,0.977599323129108,3.72303497589027,6.53999235694719,0.0329735656564925,2.83746346777915,1.86499919990133,-4.08663033078653,4.71779773242852,1.70648321861493,-2.40230843955306,4.50566603600767,2.31383521702402,3.12249084667654,8.19793610630506,-3.9043789000624,-4.19215515647803,3.68016026565739,1.12615739759251,-4.9671372475521,0.742149309830841,5.14960910415887,1.80215459073364,1.17931048527334,4.25941352233714,2.58538357546279,-0.632668143265562,3.05322799370095,5.33421980842405,3.33515228517348,-3.08460941451126,4.91605725071889,2.23961433902357,0.288791344236021,4.79300800985232,5.57580607780149,3.73589014039677
TCGA.MI.A75I.01A.11R.A32O.07,4.87148049950386,-1.3332051444006,3.14225887938107,-3.3749224935567,6.46657514522841,3.86831259043307,3.85172408604234,4.93922195177043,2.13351293604584,3.6380411515774,4.65354341489003,-3.00563065178352,4.86030439555468,-4.69626829077926,4.84255174838304,3.75823915550837,4.3217718887492,3.71170352711453,-1.85940879175409,1.39182160075284,-2.44903646766645,-4.08971462933005,4.49337280967242,3.92892267130164,0.313368586135901,3.28136521888252,6.32200897029611,0.500607877017483,2.97208151166169,2.0054120976967,-4.67885335629133,4.81455654557241,2.37733638041922,-2.32769517583463,4.70043291985934,2.39583321534908,3.20139608882599,8.19867466995139,-3.97985001645944,-4.18567521908584,3.61879153845612,0.729023704710102,-5.23053836088249,1.43152560084425,5.23463625175653,2.135919047153,1.25537454974984,4.05120715815904,2.86725512375752,-1.98897534975543,2.95971565974556,5.37234324230353,3.35107240513482,-3.35381188489661,4.93331479356612,2.19559179995466,0.0927673991610014,4.97889517047532,5.62811081635152,3.74185321468783
TCGA.DD.AAD0.01A.11R.A41C.07,4.57135938482522,-0.32843444561783,4.11259267780203,-2.13643775012379,6.51510535376751,3.95862754955744,4.03790595665983,5.08588416163458,3.18807712194973,3.78708331381817,4.97136259029712,-1.61587960378594,5.00696711898521,-5.13125765543757,4.83035835392163,4.55144773216935,4.46849157628776,3.77992807684545,-1.9476257921121,1.54162262834834,-2.35365688680424,-3.61268983193598,4.58459621242373,3.72178979755556,0.663850646776669,3.21113854224272,6.91603384419747,0.104195654693248,2.90309590600718,2.32359261233962,-2.65124117399117,5.0322477176885,1.38401780354516,-2.4431321482045,4.81016223830936,2.65574151642786,3.23258218496264,8.65810380688467,-3.92116534396509,-4.13512351844561,3.75263287020884,0.989241769729444,-4.75331259739601,1.32558372974125,5.19920366307912,1.96740077400626,1.199156301446,4.46755688972044,2.99896246304639,-0.850656929246528,2.86385756237439,5.42340418267254,3.38827522014037,-2.9630236227765,5.40211760779278,2.29782512422539,0.603109516873459,5.28712282186916,5.57970324525003,3.18664918031679
TCGA.DD.AACN.01A.11R.A41C.07,4.17710643643997,0.305892946721574,3.3320273637299,-2.9931781124454,6.28890469649933,2.19066944831879,3.82714438860483,4.89994013228034,0.905877420118674,3.55024829209628,3.61315909612468,-2.43808540713854,4.95540709044266,-5.09153397805949,4.81522040823188,3.75079702862411,4.14084715559561,3.60337022101711,-2.17777921307802,0.418932305009917,-2.6914917813206,-4.61954412314798,4.42731430678193,2.87781020922308,-0.294836591189912,2.68201945673396,6.4016758582096,-0.645702164493701,2.47022109818031,1.67303596879849,-5.71147597826816,4.4719307187319,0.137866486570358,-2.99757691229076,4.32704311094004,1.43145073003826,3.01728828500185,8.61295018503633,-4.35967321944215,-4.17251477318396,3.37796448000865,0.342663089994971,-5.55275442550654,1.44960205095911,5.24147752892287,2.13734822943072,1.1734521190707,4.37930316638823,1.73394470711806,-0.690520570189802,2.66471750990942,5.46975476171145,3.32097752524885,-3.39062933500713,4.88295129680766,1.67352193706933,0.15342781837499,4.81815949700661,5.58880396735527,3.37027911227643
TCGA.DD.AAW0.01A.11R.A41C.07,4.43554543855947,0.214920945573738,3.40435316898928,-2.56598396487501,6.39135553286942,2.59909281426828,3.78643613677397,4.93372907409244,1.68709931398829,4.25237884160303,3.83869840420556,-1.83184328865169,5.05618009234344,-4.96492087789529,4.78739043306501,4.0298654189723,4.43330365231336,3.71584830627464,-1.80255816204689,2.06945499782861,-2.33835119192192,-3.56425752789318,4.50288502803656,3.91090244751219,0.56560316999975,3.21550216280148,6.39636469312615,-0.0305694925738287,3.01374230184472,1.89782579894896,-4.03447787849725,4.65161498046788,1.72111951716941,-2.39238912463734,4.45980164900144,2.41555283247898,3.10424383516438,7.80947122747472,-3.58294262631243,-4.09178042944371,3.74210551415898,0.787266477179562,-4.74210398441275,1.27721082316057,5.29142851854889,1.68300762344914,1.35194131155757,4.02419239998109,2.07450272895516,-0.923811565455944,2.62575863139308,5.32453161815205,3.41587159873938,-2.73658194494593,4.79677883931124,1.97500720544315,0.367553485401197,4.83057752781664,5.5886296160789,3.55942436585321
TCGA.BC.A10R.01A.11R.A131.07,4.63598930084985,0.233356699455005,3.57710013810817,-2.26225003960533,6.53906535432904,2.96171854626032,3.82431393039275,4.90836292585278,1.34275667743118,3.86976440346364,4.28018876966025,-1.57907024350581,5.15910320053746,-5.01125550133119,4.84999657712078,4.17787768029908,3.90848468019293,3.5767995651316,-1.78381479238432,2.83466561039713,-2.19092752815409,-3.84860815775181,4.39007775941917,3.87892525648732,0.217984624879286,3.13745390160482,6.99799952276543,0.431903907039541,2.85605509589735,1.6931959665162,-4.48742118682713,4.3400059126234,2.30817446503123,-2.72308108582214,3.7544327244802,2.36952128324519,3.07112265710032,8.24669277531877,-2.04372102022805,-4.05359433844415,3.43186010766567,1.1558803886669,-4.93452515252171,0.888788846686417,5.36295934029755,2.55892774654101,1.40403089259961,4.32581583884268,2.79625089647771,-0.95700792673348,3.24398891102434,5.61354060683969,3.4511982820927,-3.06955230057943,4.77644332551815,2.57955288329038,0.557070822752508,5.20491327811143,5.56057708250266,3.13949164367906
TCGA.DD.AAD3.01A.11R.A41C.07,4.57329561418171,-0.363467602966157,3.49946518615246,-2.78513013595049,6.43080420642901,2.7413170678808,3.77501449422889,4.88392978444122,0.853337995229289,4.11440937158311,4.21546922851914,-2.1445231501287,5.02357004343663,-5.23692493191369,4.82415160604276,4.18727623665499,4.2948769128323,3.58017032214392,-1.84422226458386,1.83119090962798,-2.29512348194132,-3.80367460284963,4.44093795422336,3.77879150805559,0.329773387789842,3.40054364156612,6.28863253130033,0.18639583897297,2.77277682764913,1.78345188221617,-4.29524481028466,4.26526749275382,1.88373704923662,-2.59532017163426,4.1607284360604,2.03347629772929,3.08707279270286,8.18544885194366,-3.52499949712266,-4.15270427196934,3.46340741246077,0.56248383160304,-5.53684916459184,1.31345205653207,5.29375105842113,2.20302288190838,1.35242563514308,4.05300597069341,1.87823691067613,-1.00304593793704,2.88974983843415,5.41795359026522,3.40306117632139,-3.14604263508744,4.82668055849939,2.31932433859499,0.324086868414716,4.86468416217705,5.59792364673523,3.3081040363047
TCGA.2Y.A9GZ.01A.11R.A39D.07,4.61911425153756,-0.097778592487261,3.17088040034481,-2.42543658605889,6.50985041491651,3.9904693783436,3.89572357334337,4.97703789938645,3.31471598809642,3.67549017772701,4.88383127942887,-2.08168916740888,4.9511075883809,-4.97493582555932,4.84053470351168,4.29881558483461,4.28647602361154,3.75438727622543,-1.81296005395843,1.77516243845636,-2.22480265993335,-4.26441226617521,4.55189122573873,3.97049926973001,0.622739101061139,3.14937043743445,6.48095887420982,0.0185090865764206,2.88037602044484,1.99295568685976,-4.66549156174639,4.66347495700524,2.16774980595348,-2.46202384691822,4.58259834281581,1.91960624508794,3.18639812106835,7.97231756358342,-3.67252989100952,-4.16899988239274,3.61427397380476,0.617110755724593,-5.09247614361747,0.869682869915732,5.17773642469538,2.20913355229086,1.1535523338114,4.0911614459831,3.10663247171955,-0.45415493546702,2.59353300423522,5.29649074437,3.32730528202487,-2.6449362750666,4.81018769613124,2.73804887710977,0.562114913086674,4.92017015648802,5.56943138867185,3.2443985522656
TCGA.DD.A11B.01A.11R.A131.07,4.45484684956879,-0.0580217824732756,4.18507869473181,-2.15658331479458,6.64817395800082,3.5489567804278,3.92751054123732,4.97573777095296,2.43005382332047,3.73808334639591,4.60868572201191,-1.57984457952747,5.16242760943856,-4.64482636667362,4.85711800954442,4.75473137432343,4.21361048034165,3.75622817450787,-1.82820933802976,2.17906262110035,-2.08450563423229,-3.76655863427,4.52290885297086,3.9734075603714,0.804641918214938,3.07117615498532,6.69662530141108,0.301244521494752,2.83712565968806,1.7573577454262,-3.33500754517876,4.70231160135057,2.04571371580099,-2.28291315345725,4.59590483181131,2.72163047051035,3.15189260068288,8.24127231368862,-3.14582721914985,-4.03483134949512,3.95354333483661,1.26567702355379,-4.61788745538137,1.64907046468777,5.29020492486449,2.12975212466433,1.28174190037917,4.42104023836716,2.15499697131029,-1.27922995901205,2.58711055874501,5.45620869863492,3.37312968035273,-2.74638161668591,4.83808990104767,2.10561500000528,0.420042194524988,4.81165925407275,5.5643968534328,3.39894458755057
TCGA.DD.AAVU.01A.11R.A41C.07,4.51555530898838,-0.602275349821189,2.99493191748105,-3.51134290707198,6.49639301120026,3.34009549995291,3.75184759315465,5.01893297566903,2.73469100148968,3.36650065376954,4.65468229518151,-3.05236266469092,4.75694398492176,-5.08845800190199,4.833337857917,3.74622092451326,4.22382146703409,3.68683467808861,-1.91607456033622,1.42259039148937,-2.57669248910258,-4.28280962642346,4.7018931914885,3.54303006428717,0.996304624968281,3.93139862741625,7.34617618401824,0.372801174538834,3.12100615271809,2.01963020985985,-4.92742756280085,4.84955841201919,1.97926683118973,-2.41994649223389,4.68505030345824,2.00154785735619,3.21224971590858,7.78417273590523,-4.86675015863147,-4.31814781564627,3.28585450417065,0.508841019602682,-5.86115309890012,1.02874421330703,5.17140261048987,1.71070639854969,1.09060766481039,4.31880318448193,2.35119178790965,-2.14218772726984,2.43563534948436,5.33161659055212,3.30213769529315,-3.31489494047017,4.88764335916274,2.40071159292325,0.19778000972059,4.88544850752839,5.63316548838382,2.9339811272257
TCGA.XR.A8TG.01A.11R.A36F.07,4.5847330139477,-0.560808062358582,3.10371204503691,-3.09841190194436,6.4376340614861,3.3412761130041,4.00223683286347,4.98351407510556,1.09642106800153,3.56047340070532,4.11394881415516,-2.21931108083695,4.76859074366004,-5.66219584616041,4.79243818182045,4.33584844496181,4.46555197563728,3.67825282703401,-1.79951600080041,1.84879044964758,-2.23592000847388,-3.5790522949968,4.43233338487171,3.78286777410454,0.621056917127666,2.96683293180506,6.07073152402201,0.220824104323619,2.81305107282712,2.20395988682886,-4.47799006263236,4.55010765337673,1.52290537578597,-2.51994520154585,4.36271599627486,2.53925614394967,3.1776410268475,8.53887726249932,-3.90896454758921,-4.15228512419152,3.43643526189164,0.553470880887397,-5.20753899847078,1.3356749495054,5.24143779726546,2.56998509083476,1.30314128959509,4.19327571852056,2.79559192486223,-0.755081637753664,3.01683503937349,5.36891020933668,3.41137169318889,-3.47253875137783,5.27982810640876,2.17780986337689,0.49917953217803,4.9023975040053,5.60235401269309,3.31544391281453
