SampleName,riskScore,riskClass
TCGA-DD-AADL_193,0.430038754086945,low
TCGA-DD-AADM_194,0.66184638317456,low
TCGA-DD-AADN_195,1.61194098046615,high
TCGA-DD-AADO_196,1.06469472884708,low
TCGA-DD-AADP_197,0.717548538080383,low
TCGA-DD-AADQ_198,0.667446540759748,low
TCGA-DD-AADR_199,0.880177176201161,low
TCGA-DD-AADS_200,0.521288511684328,low
TCGA-DD-AADU_201,1.17292834115976,low
TCGA-DD-AADV_202,0.676939888519656,low
TCGA-DD-AADW_203,1.05527639134599,low
TCGA-DD-AADY_204,0.77005080462011,low
TCGA-DD-AAE0_205,3.05654911978842,high
TCGA-DD-AAE1_206,0.726470863181681,low
TCGA-DD-AAE2_207,0.525910286927118,low
TCGA-DD-AAE3_208,0.547703883668305,low
TCGA-DD-AAE4_209,0.652602826953647,low
TCGA-DD-AAE6_210,1.14874378305857,low
TCGA-DD-AAE7_211,0.627454016075412,low
TCGA-DD-AAE9_212,3.00634848219124,high
TCGA-DD-AAEA_213,1.22625002136524,low
TCGA-DD-AAEB_214,0.71010005019773,low
TCGA-DD-AAED_215,0.629925998950312,low
TCGA-DD-AAEE_216,0.828519294812137,low
TCGA-DD-AAEG_217,0.925095619760975,low
TCGA-DD-AAEH_218,0.521288511684328,low
TCGA-DD-AAEI_219,1.0180946329518,low
TCGA-DD-AAEK_220,0.811151915980101,low
TCGA-DD-AAVP_221,0.813945420561232,low
TCGA-DD-AAVQ_222,1.15959152638425,low
TCGA-DD-AAVR_223,0.669807322883413,low
TCGA-DD-AAVS_224,0.682010624569094,low
TCGA-DD-AAVU_225,1.09918008319625,low
TCGA-DD-AAVV_226,0.620842857493564,low
TCGA-DD-AAVW_227,0.790839564502314,low
TCGA-DD-AAVX_228,0.742025156332882,low
TCGA-DD-AAVY_229,0.757912478718558,low
TCGA-DD-AAVZ_230,0.706237806433658,low
TCGA-DD-AAW0_231,0.628562700148662,low
TCGA-DD-AAW1_232,0.72798402680172,low
TCGA-DD-AAW2_233,0.43461810031811,low
TCGA-DD-AAW3_234,0.393011966248362,low
TCGA-ED-A459_235,1.48479811592015,high
TCGA-ED-A4XI_236,1.01389232390911,low
TCGA-ED-A66X_237,0.918327540699118,low
TCGA-ED-A66Y_238,1.90772397200582,high
TCGA-ED-A7PX_239,1.07780769735809,low
TCGA-ED-A7PY_240,0.733205877519105,low
TCGA-ED-A7PZ_241,1.52280841393802,high
TCGA-ED-A7XO_242,0.822689240326331,low
TCGA-ED-A7XP_243,0.815132258039732,low
TCGA-ED-A82E_244,0.874423760447549,low
TCGA-ED-A8O5_245,0.981535597717491,low
TCGA-ED-A8O6_246,2.60876510985856,high
TCGA-ED-A97K_247,0.829317593472728,low
TCGA-EP-A12J_248,1.18118379863802,low
TCGA-EP-A12J_249,0.497902024497632,low
TCGA-EP-A26S_250,1.04156647251836,low
TCGA-EP-A26S_251,0.50054600474176,low
TCGA-EP-A2KA_252,2.46795312365104,high
TCGA-EP-A2KB_253,2.07359899581351,high
TCGA-EP-A2KC_254,0.644291555178884,low
TCGA-EP-A3JL_255,0.716339366323241,low
TCGA-EP-A3RK_256,0.882530426333371,low
TCGA-EP-A3RK_257,1.14574750458705,low
TCGA-ES-A2HS_258,0.530573039106702,low
TCGA-ES-A2HT_259,0.814680455859298,low
TCGA-ES-A2HT_260,2.66771656941626,high
TCGA-FV-A23B_261,0.753254075608178,low
TCGA-FV-A23B_262,1.01501719631546,low
TCGA-FV-A2QQ_263,0.902038000661409,low
TCGA-FV-A2QR_264,0.368811528713017,low
TCGA-FV-A2QR_265,2.05053950233212,high
TCGA-FV-A3I0_266,0.874423760447549,low
TCGA-FV-A3I0_267,0.844466690151616,low
TCGA-FV-A3I1_268,0.952133595628328,low
TCGA-FV-A3I1_269,2.67595293015511,high
TCGA-FV-A3R2_270,0.893946689940825,low
TCGA-FV-A3R2_271,0.875828051632527,low
TCGA-FV-A3R3_272,12.4290498214297,high
TCGA-FV-A495_273,1.19313139121795,low
TCGA-FV-A496_274,0.651152411501576,low
TCGA-FV-A4ZP_275,1.83893765709107,high
TCGA-FV-A4ZQ_276,1.90501188709316,high
TCGA-G3-A25S_277,1.07652696677283,low
TCGA-G3-A25T_278,1.05149557067269,low
TCGA-G3-A25U_279,1.17406311804474,low
TCGA-G3-A25X_280,1.24308729007083,low
TCGA-G3-A25Y_281,1.04409649559141,low
TCGA-G3-A25Z_282,0.784080454582172,low
TCGA-G3-A3CG_283,0.451830206233144,low
TCGA-G3-A3CH_284,0.703137236100973,low
TCGA-G3-A3CH_285,0.569622975336791,low
TCGA-G3-A3CJ_286,0.613217827926492,low
TCGA-G3-A3CK_287,0.744649725669007,low
TCGA-G3-A5SI_288,1.02495807689869,low
TCGA-G3-A5SJ_289,0.713758308729004,low
TCGA-G3-A5SK_290,0.594037866626503,low
TCGA-G3-A5SL_291,0.749471842352683,low
TCGA-G3-A5SM_292,0.815132258039732,low
TCGA-G3-A6UC_293,0.478090085488098,low
TCGA-G3-A7M5_294,0.426259511663884,low
TCGA-G3-A7M6_295,0.856094134568564,low
TCGA-G3-A7M7_296,0.793511672134316,low
TCGA-G3-A7M8_297,0.667446540759748,low
TCGA-G3-A7M9_298,4.04989380025513,high
TCGA-G3-AAUZ_299,1.07776844290743,low
TCGA-G3-AAV0_300,0.571408475016859,low
TCGA-G3-AAV1_301,0.865415055476194,low
TCGA-G3-AAV2_302,0.62036843619807,low
TCGA-G3-AAV4_303,3.82912526119944,high
TCGA-G3-AAV5_304,0.921095730840083,low
TCGA-G3-AAV6_305,4.87527587091082,high
TCGA-G3-AAV7_306,2.18340031186862,high
TCGA-GJ-A6C0_307,1.13849060296369,low
TCGA-GJ-A9DB_308,0.741013554245855,low
TCGA-K7-A5RF_309,0.716925162852675,low
TCGA-K7-A6G5_310,0.590900044390893,low
TCGA-K7-AAU7_311,1.00947500055143,low
TCGA-KR-A7K0_312,0.950924865469217,low
TCGA-KR-A7K2_313,0.515795964136069,low
TCGA-KR-A7K7_314,3.56995012672843,high
TCGA-LG-A6GG_315,0.96567615639567,low
TCGA-LG-A9QC_316,0.928883000583922,low
TCGA-LG-A9QD_317,0.574442792302064,low
TCGA-MI-A75C_318,0.759251677245533,low
TCGA-MI-A75E_319,0.597192351457548,low
TCGA-MI-A75G_320,0.525910286927118,low
TCGA-MR-A520_321,0.644291555178884,low
TCGA-NI-A4U2_322,0.43461810031811,low
TCGA-NI-A8LF_323,0.564390585603636,low
TCGA-O8-A75V_324,0.685357267190048,low
TCGA-PD-A5DF_325,0.669807322883413,low
TCGA-QA-A7B7_326,1.27491852125555,low
TCGA-RC-A6M3_327,1.51705119592562,high
TCGA-RC-A6M4_328,0.805158828733896,low
TCGA-RC-A6M5_329,0.749926746761162,low
TCGA-RC-A6M6_330,1.91321924907165,high
TCGA-RC-A7S9_331,0.876671933440595,low
TCGA-RC-A7SB_332,0.748904372444515,low
TCGA-RC-A7SF_333,0.832918932772181,low
TCGA-RC-A7SH_334,1.13955060107898,low
TCGA-RC-A7SK_335,0.474725901618184,low
TCGA-UB-A7MA_336,0.985007323992669,low
TCGA-UB-A7MB_337,1.38718789064778,low
TCGA-UB-A7MC_338,0.793830067814012,low
TCGA-UB-A7MD_339,1.19888861511512,low
TCGA-UB-A7ME_340,0.758031985478844,low
TCGA-UB-A7MF_341,0.938835796252593,low
TCGA-UB-AA0U_342,0.756879217462235,low
TCGA-WJ-A86L_343,0.874423760447549,low
TCGA-WQ-AB4B_344,0.594276223662639,low
TCGA-WX-AA44_345,0.79804549758378,low
TCGA-WX-AA46_346,0.67713953242472,low
TCGA-WX-AA47_347,1.86990510804288,high
TCGA-XR-A8TC_348,1.47550181453642,high
TCGA-XR-A8TE_349,0.991348359826211,low
TCGA-XR-A8TF_350,0.752579264303311,low
TCGA-XR-A8TG_351,0.781316908921422,low
TCGA-ZS-A9CD_352,0.711242618323275,low
TCGA-ZS-A9CE_353,0.577493222546369,low
TCGA-ZS-A9CF_354,0.91144386289587,low
TCGA-ZS-A9CG_355,1.03862288040097,low
