"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0120254","BP","GO:0120254","olefinic compound metabolic process","30/618","163/18986",0.184049079754601,5.65429745666806,10.9464203077104,1.04601025333779e-14,2.16872792525369e-12,1.7375829471486e-12,"CYP4F2/CYP2A6/RDH16/HSD17B6/CYP2C8/CYP4F11/ADH1B/CYP4F3/CYP3A4/CYP4A22/CYP2B6/CYP2C9/ADH4/CYP4A11/ADH1C/ALDH8A1/SRD5A2/RDH5/AFP/ADH1A/GSTA1/CYP2D6/CYP19A1/BCO2/CYP2A13/CYP11A1/CYP2A7/CYP1A1/CYP1A2/CYP17A1",30
"GO:0170041","BP","GO:0170041","non-proteinogenic amino acid metabolic process","19/618","65/18986",0.292307692307692,8.98018421707742,11.8213249407985,1.26946918858378e-13,2.51239493049717e-11,2.0129286559649e-11,"ABAT/CTH/OTC/DAO/BHMT/SARDH/UPB1/AGXT2/ALDH8A1/GNMT/CPS1/TDO2/AADAT/ARG1/KMO/IDO2/PRODH/CBS/GAD1",19
"GO:0015849","BP","GO:0015849","organic acid transport","43/618","358/18986",0.120111731843575,3.69003453200991,9.42507590951062,1.45808063580692e-13,2.67898776848877e-11,2.14640269438188e-11,"SLC10A1/SLC27A5/CYP4F2/ABCB4/ABAT/SLC27A2/ABCB11/SLC25A15/SLC16A2/SLC22A1/AQP9/ACSL1/SLCO2B1/RBP5/CYP4A11/KCNJ8/AGXT/SLC38A4/APBA1/SLC1A1/SLC6A1/SLC6A12/SLCO1B1/SLC6A13/SLC13A5/ABCG2/CES1/MFSD2A/KMO/SLC1A2/SLC6A14/UGT1A3/SLC7A10/SLC22A7/SLC29A4/ACSL4/SLC7A11/AVPR1A/CYP7A1/ACE2/RBP2/SLC6A11/CLDN2",43
"GO:0042178","BP","GO:0042178","xenobiotic catabolic process","13/618","25/18986",0.52,15.9752750809062,13.7430395664547,1.47670432805995e-13,2.67898776848877e-11,2.14640269438188e-11,"CYP2A6/CYP2C8/FMO4/NR1I2/ACSL1/CYP3A4/CYP2B6/CYP2C9/UGT1A1/CYP2D6/CYP1A1/CYP1A2/GSTM1",13
"GO:0072330","BP","GO:0072330","monocarboxylic acid biosynthetic process","33/618","224/18986",0.147321428571429,4.52596220527046,9.73712396389984,3.65510896211201e-13,6.36573776841428e-11,5.10022362123756e-11,"CYP8B1/SLC27A5/SLC27A2/ACSM2A/ACSM5/ABCB11/CYP2C8/INSIG1/PDK4/ACSM2B/APOA5/ACOX2/LIPG/CYP3A4/CYP2C9/ACADL/CYP7B1/ALDH8A1/SDS/ACMSD/APOC3/AKR1D1/CES1/KMO/CYP2D6/CYP39A1/AVPR1A/CYP7A1/ELOVL7/CYP1A1/ACSM1/CYP1A2/GSTM1",33
"GO:0046942","BP","GO:0046942","carboxylic acid transport","42/618","357/18986",0.117647058823529,3.61431562916429,9.14673209423172,5.70523860564483e-13,9.55408034191446e-11,7.65472094700687e-11,"SLC10A1/SLC27A5/CYP4F2/ABCB4/ABAT/SLC27A2/ABCB11/SLC25A15/SLC16A2/SLC22A1/AQP9/ACSL1/SLCO2B1/RBP5/CYP4A11/KCNJ8/AGXT/SLC38A4/APBA1/SLC1A1/SLC6A1/SLC6A12/SLCO1B1/SLC6A13/SLC13A5/ABCG2/CES1/MFSD2A/KMO/SLC1A2/SLC6A14/UGT1A3/SLC7A10/SLC22A7/ACSL4/SLC7A11/AVPR1A/CYP7A1/ACE2/RBP2/SLC6A11/CLDN2",42
"GO:0001676","BP","GO:0001676","long-chain fatty acid metabolic process","23/618","109/18986",0.211009174311927,6.48255693120751,10.5292761033012,6.87618900704558e-13,1.10884914580283e-10,8.88408981261171e-11,"SLC27A5/CYP4F2/SLC27A2/CYP2A6/CYP2C8/ACSL1/CYP4F11/CYP4F3/CYP3A4/CYP4A22/CYP2B6/CYP2C9/CYP4A11/ACADL/GSTA1/CYP2D6/CYP2A13/ACSL4/CYP2A7/CYP1A1/ACSM1/CYP1A2/GSTM1",23
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","24/618","121/18986",0.198347107438017,6.09355692850839,10.309890382141,9.06561950218222e-13,1.40970383258933e-10,1.12945349737714e-10,"AURKB/CCNB1/PLK1/UBE2C/CENPF/NUF2/CDC20/BIRC5/TRIP13/SPHK1/DLGAP5/NEK2/TTK/BUB1/BUB1B/MKI67/CDCA2/SKA3/SPC25/SKA1/CDC25C/IGF1/BMP7/IGF2",24
"GO:0006066","BP","GO:0006066","alcohol metabolic process","42/618","363/18986",0.115702479338843,3.55457487496322,9.01396215268122,9.99374939042229e-13,1.50044085675513e-10,1.2021519230439e-10,"PCK2/SEC14L2/TSKU/RDH16/HSD17B6/CYP2C8/INSIG1/PCK1/APOA5/HAO1/ADH1B/CYP3A4/CYP2C9/ADH4/SULT2A1/SPHK1/ADH1C/ACADL/CYP7B1/APOF/PON1/MOGAT2/RDH5/AKR1D1/SULT1B1/CES1/LEPR/UGT1A4/LCAT/UGT1A3/ADH1A/CYP2D6/IGF1/DBH/SLC34A1/CYP11A1/CYP39A1/CYP7A1/CYP1A1/SULT1E1/CYP1A2/AQP8",42
"GO:0015711","BP","GO:0015711","organic anion transport","48/618","462/18986",0.103896103896104,3.1918631530282,8.74854118006696,1.26667697211225e-12,1.83837051219225e-10,1.47290087213334e-10,"SLC10A1/SLC27A5/CYP4F2/ABCB4/ABAT/SLC27A2/ABCB11/SLC25A15/SLC16A2/SLC22A1/AQP9/ACSL1/SLCO2B1/RBP5/CYP4A11/KCNJ8/AGXT/SLC38A4/APBA1/SLC4A11/SLC1A1/SLC22A25/SLC6A1/SLC6A12/SLCO1B1/SLC2A2/SLC6A13/SLC13A5/ABCG2/CES1/MTTP/MFSD2A/KMO/SLC1A2/SLC6A14/UGT1A3/SLC7A10/SLC22A7/SLC4A3/ACSL4/SLC7A11/AVPR1A/CYP7A1/ACE2/RBP2/SLC6A11/CLDN2/SLC22A12",48
"GO:0001523","BP","GO:0001523","retinoid metabolic process","20/618","84/18986",0.238095238095238,7.31468639235629,10.6391309289167,2.01638043244347e-12,2.8320388396319e-10,2.2690270808549e-10,"RDH16/HSD17B6/CYP2C8/ADH1B/CYP3A4/ADH4/ADH1C/ALDH8A1/RDH5/UGT1A1/UGT1A3/ADH1A/CYP2D6/BCO2/UGT1A9/CYP26B1/CYP1A1/RBP2/CYP26A1/CYP1A2",20
"GO:0016101","BP","GO:0016101","diterpenoid metabolic process","20/618","89/18986",0.224719101123595,6.90374895458347,10.2398844603082,6.39596303432656e-12,8.70250720358057e-10,6.97244128149941e-10,"RDH16/HSD17B6/CYP2C8/ADH1B/CYP3A4/ADH4/ADH1C/ALDH8A1/RDH5/UGT1A1/UGT1A3/ADH1A/CYP2D6/BCO2/UGT1A9/CYP26B1/CYP1A1/RBP2/CYP26A1/CYP1A2",20
"GO:0006790","BP","GO:0006790","sulfur compound metabolic process","39/618","338/18986",0.115384615384615,3.54480955937267,8.65896751408816,7.20221945123973e-12,9.50256469415084e-10,7.61344665435677e-10,"SLC27A2/ACSM2A/ACSM5/AASS/GLYAT/CTH/ST3GAL6/PDK4/ACSM2B/ACSL1/MAT1A/BHMT/PIPOX/GHR/SULT2A1/FMO3/CDO1/AGXT/GSTZ1/GNMT/ACOT12/SLC1A1/CPS1/TDO2/SULT1B1/AADAT/SULT1C2/HS6ST2/SLC1A2/GSTA2/GSTA1/ACSL4/SLC7A11/CBS/ELOVL7/B3GNT3/ACSM1/SULT1E1/GSTM1",39
"GO:0006721","BP","GO:0006721","terpenoid metabolic process","21/618","100/18986",0.21,6.45155339805825,10.0257963937853,7.64322748966139e-12,9.78782720293697e-10,7.84199873087859e-10,"RDH16/HSD17B6/CYP2C8/ADH1B/CYP3A4/CYP2C9/ADH4/ADH1C/ALDH8A1/RDH5/UGT1A1/UGT1A3/ADH1A/CYP2D6/BCO2/UGT1A9/CYP26B1/CYP1A1/RBP2/CYP26A1/CYP1A2",21
"GO:0043603","BP","GO:0043603","amide metabolic process","47/618","472/18986",0.0995762711864407,3.05915062256596,8.30955158161193,9.89554131485329e-12,1.23100533956775e-09,9.86280418569137e-10,"SLC27A2/ACSM2A/ACSM5/AASS/GLYAT/SLC25A15/OTC/PDK4/SHMT1/ACSM2B/ACSL1/ENPEP/PIPOX/XDH/GAL3ST1/CYP2C9/SPHK1/GSTZ1/AMDHD1/ALDOB/ACOT12/NAGS/GBA3/SLC1A1/CPS1/ABCA8/ENPP7/TDO2/AADAT/ARG1/SLC1A2/GSTA2/GSTA1/PCSK1N/IGF1/MEP1A/ST8SIA6/ACSL4/SLC7A11/REN/GDA/ACE2/ELOVL7/UROC1/ACSM1/MME/GSTM1",47
"GO:0140014","BP","GO:0140014","mitotic nuclear division","35/618","282/18986",0.124113475177305,3.81297482154743,8.7295479547042,1.11761137095338e-11,1.35168886364751e-09,1.08297195419284e-09,"MYBL2/AURKB/KIF2C/CCNB1/PLK1/UBE2C/KIF23/CENPF/CDK1/NUF2/CDC20/BIRC5/TRIP13/KIFC1/SPHK1/DLGAP5/NEK2/TTK/KIF18B/KIF18A/BUB1/ANLN/BUB1B/MKI67/CDCA2/SKA3/SPC25/KIF15/KIF4A/NCAPG/SKA1/CDC25C/IGF1/BMP7/IGF2",35
"GO:0042573","BP","GO:0042573","retinoic acid metabolic process","13/618","33/18986",0.393939393939394,12.1024811218986,11.7086449011723,1.28026868731354e-11,1.50656482826031e-09,1.20705844374312e-09,"CYP2C8/ADH1B/CYP3A4/ADH1C/ALDH8A1/UGT1A1/UGT1A3/ADH1A/BCO2/UGT1A9/CYP26B1/CYP1A1/CYP26A1",13
"GO:0008210","BP","GO:0008210","estrogen metabolic process","14/618","40/18986",0.35,10.7525889967638,11.3255618003286,1.37669878447663e-11,1.57740697568718e-09,1.26381711128963e-09,"CYP2C8/UGT2B7/CYP3A4/UGT2B10/CYP2C9/UGT2B15/UGT1A1/UGT1A3/CYP2D6/CYP19A1/HSD3B1/CYP1A1/SULT1E1/CYP1A2",14
"GO:0009072","BP","GO:0009072","aromatic amino acid metabolic process","14/618","41/18986",0.341463414634146,10.49033072855,11.1582111106342,2.0285757205046e-11,2.26472274027616e-09,1.81449391032449e-09,"TAT/HPD/HAAO/IYD/GSTZ1/ACMSD/AMDHD1/HDC/TDO2/TTC36/KMO/IDO2/OCA2/UROC1",14
"GO:0015718","BP","GO:0015718","monocarboxylic acid transport","27/618","179/18986",0.150837988826816,4.63399685415198,8.96024537983551,2.97870988340071e-11,3.24232570808167e-09,2.59774856673420e-09,"SLC10A1/SLC27A5/CYP4F2/ABCB4/SLC27A2/ABCB11/SLC16A2/SLC22A1/AQP9/ACSL1/SLCO2B1/RBP5/CYP4A11/KCNJ8/SLC6A12/SLCO1B1/SLC6A13/ABCG2/CES1/MFSD2A/UGT1A3/SLC22A7/ACSL4/CYP7A1/RBP2/SLC6A11/CLDN2",27
"GO:0019373","BP","GO:0019373","epoxygenase P450 pathway","10/618","18/18986",0.555555555555556,17.0676015821647,12.5096494316222,4.29755669748961e-11,4.56379557582189e-09,3.65650908741478e-09,"CYP4F2/CYP2A6/CYP2C8/CYP2B6/CYP2C9/CYP4A11/CYP2A13/CYP2A7/CYP1A1/CYP1A2",10
