,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
L019P,0.608193445987507,0.815611159787349,1.00726944333479,0.880498294427744,0.939832299788669,0.876270853208493,1.11905578828694,0.987779229877459,0.804906255073159,0.925453290560735,0.462710557852554,1.00183690604402,0.651753046087964,1.05282531935692,0.746712773563076,0.665621739931314,1.00326364663785,0.798262733535983,1.13472550657565,0.95739220433608,0.725101314926997,0.496612480395168,0.998060649445166,0.825780770972031,0.774536010525647,0.882082372196768,0.711491411049044,0.800745161941029
L021P,0.686560668793837,0.699371222241724,1.02210853394083,0.818629138945159,0.943625846174391,0.805162286125173,1.11671930541616,1.00006162100525,0.732879324603681,0.962280327546785,0.570713192770725,1.0064543452947,0.714518636279616,1.0576962328255,0.789712495269418,0.569278805829725,1.01191435008593,0.781242348791652,1.1034623503981,0.94364867271477,0.748017998950484,0.660714569277646,1.00766130845183,0.884162083263712,0.842646928843859,0.88316074589825,0.699041124183033,0.788858544124596
L023P,0.88926168808796,0.856827214015772,1.11519444714021,0.954224515295424,0.970841122231682,0.827798023344374,1.14139162108058,1.00419493056701,0.823418683409317,1.05373128948436,0.602696586100854,1.02483745946799,0.895789679754093,1.06455378485813,0.897371391628847,0.813906584591349,1.12076585372805,0.798510975300557,1.1856338985387,0.97912402896538,0.79460730941557,0.724163233247583,1.03135039349523,0.934633729879671,0.879245102335074,0.94130691905501,0.717855937830453,0.866697702156034
L024P,0.83829539444591,0.822205435540447,1.04812752655637,0.912221032514266,0.956936367274202,0.858023691398324,1.15041047791136,1.031373767316,0.816536559545584,1.02404404195574,0.633383432482963,1.03597420912606,0.862762766778637,1.09008302591634,0.861264350248493,0.725424742661998,1.09271737307264,0.824715234267231,1.19182943616584,0.994358712481282,0.803877953430775,0.724084264826181,1.04619031513195,0.936387768704013,0.860514210915053,0.94000060291187,0.670054447217999,0.843331258158603
L025P,0.629522663732428,0.647653681994362,0.986881153904009,0.888813106098268,0.922394874682345,0.799416345821444,1.110492651188,1.00404325472672,0.769834223936068,0.949207875816935,0.54005481159319,0.994863445936324,0.707186204266055,1.07023996417775,0.847031139943661,0.639066247994626,1.04950297504334,0.728954658663769,1.1841933259604,0.960072507780581,0.75022395806761,0.754775319724791,1.01441338730449,0.899944713597932,0.819796101357808,0.906327066605815,0.700827712810211,0.761630345925691
L026P,0.710234171340796,0.824923323549303,1.05464714664722,0.931489808282458,0.937141177693056,0.82137404247621,1.11902756452593,1.02253695176112,0.835579009434677,1.01420436499053,0.60348440104009,1.03022822663801,0.794492282268793,1.07717237194217,0.868263420046402,0.703546675510939,1.09922397697374,0.755293911564481,1.11539770784023,0.976909837862054,0.799542977233664,0.693369355358857,1.02302148187601,0.915733427196845,0.847572116434491,0.922333625675285,0.690894331916355,0.814296289226475
L028P,0.766303571610875,0.800122532831265,1.0500104488737,0.884077321702972,0.928067599756308,0.802148601276868,1.11845461735394,1.01077981452554,0.731235481260299,0.998173538783107,0.544224958991924,1.01601585085003,0.770624426222619,1.06937572476915,0.840683788950015,0.733498639404341,1.08524264144883,0.774690127477106,1.11432478480548,0.948046441385339,0.766483698146663,0.692963004936389,1.02377288690563,0.904077574789377,0.821539007622394,0.898192433238326,0.706831962190894,0.805418887963077
L030P,0.649544955579215,0.743310808739003,1.02707824429447,0.841680384825094,0.92593868876411,0.780131333565734,1.09140787673002,0.973879577765149,0.748242544422458,0.971783932880503,0.520673363306103,1.00702487012097,0.725790362988968,1.08117559914824,0.818752430608555,0.595938424379724,1.03583290169208,0.775346172200786,1.15845626761287,0.934767838262966,0.745385067635779,0.582265443981873,0.99465077258104,0.862224365705261,0.798873818198548,0.876450152697558,0.705024299905219,0.811991090728661
L032P,0.562673553172827,0.669751562252983,0.983714003072942,0.797727503175818,0.874190974787118,0.846808712802783,1.06971743186237,0.935702521032823,0.727920813794416,0.966250006543211,0.602638913731049,0.997884840303053,0.633797872426833,1.06520169645755,0.774745725949785,0.79549110547743,1.03331404362109,0.759608588437205,1.11023593229375,0.913598720672131,0.696762418628919,0.596754659831726,1.00322054031599,0.853107433776402,0.8308295549994,0.918557659845996,0.643128207383722,0.85572784520409
L033P,0.499419042066295,0.696910829442571,0.973645879967425,0.841112280413508,0.939736425744121,0.836179969706595,1.07225098045462,0.925570376381281,0.750592508376761,0.933451408726427,0.609355416666952,0.967146052588542,0.560324693564643,1.06815822493852,0.808287318163825,0.647761117338441,1.06828649285084,0.742519301801712,1.09335309569268,0.957550337342751,0.709933542236111,0.817056475529438,1.06211574963194,0.964219533823455,0.794649209011548,0.906980604349191,0.648478296852062,0.786947773156689
L035P,0.79669130003996,0.793906354185265,1.0283515385436,0.881394622402912,0.923913386905741,0.841873249265301,1.14079401244917,1.0348475664771,0.76055225665449,0.99236981757134,0.447506132207903,1.02287080804215,0.829339795484427,1.06028418117054,0.839992343233467,0.754844190201184,1.04743249690586,0.799662560407012,1.10417009172824,0.950905794414452,0.720023415582816,0.577391818453389,1.01586640085652,0.917862131802263,0.863946343991031,0.928944560612737,0.649098010997823,0.802206426360588
L037P,0.678449127700211,0.746969917284611,1.06353394651193,0.828779307794762,0.979549882126605,0.853304392933106,1.10083431791345,0.920781843199929,0.739591025327418,0.989831632168862,0.494719757534648,0.991081373612859,0.7438621372664,0.98877601962971,0.810756867005107,0.758231838731732,1.03183635186437,0.828867443046742,1.10537535139112,0.937985129921189,0.730151112776545,0.587977009801933,1.00794215278807,0.883406891326836,0.860344106006605,0.911042008923191,0.733572793891197,0.786540034927289
L038P,0.746441253783217,0.780898133081856,1.04049032709944,0.944461397241325,0.938155636001441,0.81845448080556,1.11256597988638,0.996217749322548,0.816307691590153,1.01259989673358,0.63278768110765,1.02150421611524,0.770430419299351,1.08568383582843,0.864913025512467,0.769258792114522,1.07494316819034,0.751883595420927,1.16289241473325,0.96561952167823,0.769059654193224,0.720191438006013,1.01419132398406,0.913169682833279,0.837179378782603,0.90508002098711,0.695685957461015,0.797898910133372
