"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"COLDREN_GEFITINIB_RESISTANCE_DN","COLDREN_GEFITINIB_RESISTANCE_DN","COLDREN_GEFITINIB_RESISTANCE_DN",190,-0.377952922155465,-1.4333609950845,0.00338273496003684,0.043227529550741,0.0375587254194702,2621,"tags=36%, list=20%, signal=29%","144100/161291/22837/647024/79767/27071/65251/5753/4008/1573/57530/8997/54836/79056/84708/147798/10103/158158/80004/81563/7465/2041/26751/3155/154091/353088/55304/55040/23682/51599/11033/220/1312/284001/79098/121512/57822/9957/54869/23150/132/3694/23052/9080/59084/10451/22807/5639/201294/54101/6505/3918/54762/9414/5493/2591/346389/23086/10256/5652/128218/94122/79977/64063/4070/83394/57111/3880"
"DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP","DESERT_EXTRACELLULAR_MATRIX_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP",20,0.67598955585287,1.76535272843229,0.00340036788308375,0.0432403749631262,0.0375698863005496,1135,"tags=60%, list=9%, signal=55%","56667/2182/1363/7070/6363/2326/2744/51097/10154/51635/2150/3309"
"REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT","REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT","REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT",54,0.522302060491379,1.67170802710359,0.00339337124134901,0.0432403749631262,0.0375698863005496,1783,"tags=22%, list=14%, signal=19%","995/9156/983/641/2810/891/5984/1763/7534/1111/580/5983"
"JEON_SMAD6_TARGETS_DN","JEON_SMAD6_TARGETS_DN","JEON_SMAD6_TARGETS_DN",16,0.70945341689083,1.77389496944813,0.00345976101084453,0.0438883341887863,0.0381328729641991,918,"tags=38%, list=7%, signal=35%","1058/7153/9133/9493/4854/3832"
"GROSS_HYPOXIA_VIA_ELK3_ONLY_UP","GROSS_HYPOXIA_VIA_ELK3_ONLY_UP","GROSS_HYPOXIA_VIA_ELK3_ONLY_UP",32,-0.607447109997252,-1.71340095975287,0.00348462724090646,0.0438955854990709,0.0381391733467271,1460,"tags=47%, list=11%, signal=42%","10170/7056/23708/9023/2921/9590/5236/1647/23645/390/4783/133/51421/3569/6372"
"HEDVAT_ELF4_TARGETS_UP","HEDVAT_ELF4_TARGETS_UP","HEDVAT_ELF4_TARGETS_UP",11,-0.786665501886004,-1.71225726564315,0.00349409198166032,0.0438955854990709,0.0381391733467271,866,"tags=55%, list=7%, signal=51%","3815/3067/760/2920/1827/4495"
"VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP","VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP","VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP",139,-0.41204543504524,-1.50658555361726,0.00349327747811193,0.0438955854990709,0.0381391733467271,2253,"tags=35%, list=18%, signal=29%","10268/8828/4327/6373/23452/4881/4853/23166/8741/2042/80781/54538/2041/4018/2022/2049/8877/8326/3606/7010/5329/7058/81029/6374/2886/3553/2260/80310/2064/2921/1285/3162/7474/2263/133/2920/7472/6387/5764/5156/3569/3082/2047/9068/5743/6372/55576/83854/8842"
"DURAND_STROMA_S_UP","DURAND_STROMA_S_UP","DURAND_STROMA_S_UP",247,-0.364022347928238,-1.43342069219669,0.00348452307340674,0.0438955854990709,0.0381391733467271,2163,"tags=31%, list=17%, signal=26%","5638/60468/2625/4094/2530/317649/5575/124359/9509/7464/8321/91614/146857/5153/8639/6482/2167/408/1519/6403/1397/51129/1902/30845/80757/55040/56956/3712/56121/9076/1028/83604/158471/10290/4883/5587/8325/79836/9472/22795/5806/5881/121227/2070/5069/55959/5999/7020/4232/91768/79987/377677/2263/344148/1946/5166/340419/6387/5764/57484/57447/79633/5156/392617/2892/116535/10090/56603/80168/8671/4684/9173/2775/827/27330/168667"
"WP_PROTEASOME_DEGRADATION","WP_PROTEASOME_DEGRADATION","WP_PROTEASOME_DEGRADATION",57,0.514486381053833,1.65666913695246,0.00352889768372206,0.0442260165133457,0.0384262720512843,4358,"tags=60%, list=34%, signal=40%","5710/3134/3105/5692/6185/5716/3106/3107/7317/3135/5687/5721/7321/5720/5698/5684/5706/5682/5691/5707/3133/5704/5701/5696/7320/4734/10197/5708/7322/7318/5717/5709/5693/5685"
"WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY","WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY","WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY",30,-0.625457537563693,-1.74690826093184,0.00355760306769181,0.0444785902765988,0.0386457236072899,1297,"tags=30%, list=10%, signal=27%","8647/9970/5915/1579/1582/1576/1555/1592/1544"
"REACTOME_TELOMERE_MAINTENANCE","REACTOME_TELOMERE_MAINTENANCE","REACTOME_TELOMERE_MAINTENANCE",58,0.511002794521372,1.64219136882565,0.00358934160663649,0.0447677834439241,0.0388969923445423,3147,"tags=38%, list=24%, signal=29%","7015/641/890/80119/79075/5984/1763/5440/2237/23649/5983/5981/3978/5422/5558/7013/5557/57804/5111/63922/10714/5982"
"REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1","REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1","REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1",16,0.708957009885767,1.77265376901394,0.00361267710168434,0.0448437556225781,0.0389630016267576,1982,"tags=44%, list=15%, signal=37%","983/4605/1869/890/286826/5933/55957"
"HOLLERN_PAPILLARY_BREAST_TUMOR","HOLLERN_PAPILLARY_BREAST_TUMOR","HOLLERN_PAPILLARY_BREAST_TUMOR",15,-0.71656569428968,-1.67675115749748,0.00360988060483425,0.0448437556225781,0.0389630016267576,1322,"tags=40%, list=10%, signal=36%","220/81029/171177/23493/8424/3880"
"BROCKE_APOPTOSIS_REVERSED_BY_IL6","BROCKE_APOPTOSIS_REVERSED_BY_IL6","BROCKE_APOPTOSIS_REVERSED_BY_IL6",137,-0.420631733149937,-1.53580141545461,0.00375085239791611,0.0464480555275278,0.040356915649759,1952,"tags=27%, list=15%, signal=23%","2628/4582/10135/23764/8553/6657/9592/5359/1612/4013/3662/926/1839/3726/3399/678/6515/4052/3949/9924/858/4638/7538/1647/3398/10402/1847/150094/6347/4616/9021/8618/3725/5156/3397/4496/4501"
"SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP","SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP","SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_UP",95,-0.455190151741381,-1.57928946702486,0.00378539063362436,0.0467644101792881,0.040631783948367,2313,"tags=38%, list=18%, signal=31%","54206/5321/283078/4094/9354/10103/3485/2042/54829/79705/6513/23764/2167/5223/23321/641371/2202/11197/8543/55022/6469/64093/220/26040/80310/1149/2263/56034/56898/55076/55273/10912/171483/552/192668/9547"
"HSIAO_HOUSEKEEPING_GENES","HSIAO_HOUSEKEEPING_GENES","HSIAO_HOUSEKEEPING_GENES",358,0.327216673506407,1.3505474828357,0.00384061775223273,0.0473342486477783,0.0411268945131831,4600,"tags=47%, list=36%, signal=31%","11065/3315/8878/6746/142/2512/5355/824/947/6535/7295/821/3320/3925/375/3105/1345/6281/3326/1725/2495/10410/5692/26986/3958/6132/3927/7534/1314/1476/3329/6944/302/6232/6173/6185/10397/10134/6129/9446/3654/6158/6917/6222/23385/2339/3106/916/7317/8655/4869/6201/7381/3646/4082/1192/4256/972/9349/10577/6176/1936/7644/7175/5720/5478/1176/1340/22794/3183/6193/6143/2521/3705/9789/5757/1460/6727/1213/567/6170/1211/7832/475/5691/9643/6204/3065/6160/8407/3122/3094/6638/6169/4841/9045/967/6165/6175/3133/1642/5052/378/6168/1072/9168/1350/4478/5660/4666/3916/5204/6187/4673/3178/5708/4150/8887/3921/6155/9296/3119/9588/2778/4738/471/4691/4946/1347/6147/1727/293/6205/6633/4627/10980/5879/5297/311/10209/468/10575/2597/6223/6228/7311/55967/6139/6233/6181/6128/5693/2280/894/10155/11079/392/8824/23164/829/6227/6741/10554/1857/10972/6208/7494/6161"
"KIM_WT1_TARGETS_UP","KIM_WT1_TARGETS_UP","KIM_WT1_TARGETS_UP",198,-0.383492535475153,-1.46339111193742,0.00390740556366799,0.0480435374388586,0.0417431680597901,2593,"tags=35%, list=20%, signal=29%","659/3566/2355/25937/6446/54726/10979/26030/10611/8091/22800/51330/23242/8507/2026/2669/10458/4628/23764/8553/677/7074/7126/65981/6482/9592/8877/23268/4609/55909/1902/5329/3624/3976/9469/7162/9411/1595/23135/10221/1839/3726/10253/9467/5606/7057/6461/7071/55615/6385/5806/9590/2069/5054/1847/3556/5999/390/5099/6347/8061/27254/760/6376/3164/5156/79669/1958/1969/374"
