"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GNB1",7.76051614470412,7.72017526393308,158.441750571306,0,0,808.003586501718
"ATL2",6.09530267818196,6.01793192819308,158.061183018067,0,0,807.701558188546
"EPS15",5.68766467848014,5.71282861915811,157.961860872162,0,0,807.522833609735
"SF3B1",7.46549080691603,7.44838009570295,158.123532180769,0,0,807.392775301324
"WIPI2",6.32234679809555,6.31973362737192,157.846006768633,0,0,807.132375940255
"KTN1",7.5077377729895,7.45415839547634,157.963506210762,0,0,806.986217672342
"ADRM1",5.90593597068792,5.89998700635574,157.750567186846,0,0,806.983564494349
"NDUFS2",7.86119303716302,7.73160455334421,157.981308742965,0,0,806.840140856926
"CLPTM1",7.57332044855892,7.54148196163444,157.864093876154,0,0,806.713409540227
"MAP2K2",7.13151243554486,7.0227470810976,157.761234404968,0,0,806.671048780956
"EIF2B5",5.47684471775896,5.49771461291508,157.553698921096,0,0,806.548485668415
"TMEM30A",7.01319854020851,7.02325213554571,157.675046788036,0,0,806.5098044407
"XPO1",6.7284644811418,6.69079417730506,157.633094678072,0,0,806.506726397866
"AP1B1",6.52089720298281,6.53907582624367,157.465480401781,0,0,806.161324690412
"SERPINA1",14.4201806128936,14.3598159646578,160.858752289935,0,0,805.74276952914
"GHITM",7.8615034272348,7.80432087183938,157.509618167837,0,0,805.703247322852
"PSMB5",6.84310716910861,6.79035348409147,157.216620796959,0,0,805.460782721744
"RAB5A",5.17844332170446,5.17536399397049,157.045504339711,0,0,805.307384895497
"HMGB1",7.25206698782705,7.28500144907353,157.214408184219,0,0,805.296233889278
"SUPT5H",6.65538977826011,6.63748108644369,156.779747685336,0,0,804.458760845186
"C6orf89",6.94291228811956,6.81305009753976,156.736021144889,0,0,804.258116199584
"ACTB",11.2698123372095,11.2592018384216,157.994777309031,0,0,803.955429610064
"MED29",5.88171784234744,5.87009562139759,156.291822511444,0,0,803.439087626277
"TMED9",7.9244460498645,7.72485550390696,156.535475905163,0,0,803.309164936522
"GNAI3",6.10509758435868,6.16553939209817,156.19513909475,0,0,803.165057749704
"METAP2",6.06598146295744,6.06090718905782,156.173630897196,0,0,803.119895008409
"NIPBL",5.63114028573381,5.62061006639133,156.114915430113,0,0,803.035337543022
"SEC31A",7.42231979167994,7.3393451091826,156.249230920816,0,0,802.873578869449
"PSMD11",6.58284935390382,6.52433978855797,156.088253243209,0,0,802.792619900362
"SF3A1",6.3799344896869,6.41834254521872,155.941360421855,0,0,802.485407744982
"UBE2D2",6.09680091759862,6.026027424095,155.804608239211,0,0,802.210790371227
"TMED7",7.04145137247728,6.90102487753222,155.883578331964,0,0,802.143595780119
"UBE2N",5.71319337031771,5.68488276026412,155.699959621898,0,0,802.011313996825
"ERP29",7.72930404320404,7.79428373986549,155.945136775693,0,0,801.978512516262
"MORF4L2",7.58192925281491,7.48128749227504,155.753874649188,0,0,801.58732057619
"SP1",6.05708974470451,6.04662288806031,155.451081233199,0,0,801.350958555855
"STRAP",6.39284465433083,6.40830395886741,155.369858495032,0,0,801.081241346533
"KDELR1",7.27320911537452,7.24267062430234,155.424803872465,0,0,800.926437493914
"ACTR1A",6.12986151447561,6.1124522259046,155.161001051554,0,0,800.624184957229
"SRP14",7.70566734961186,7.59893438166691,155.348883418598,0,0,800.533264151768
"ARF6",6.59385081524972,6.60263447326262,155.032679071555,0,0,800.200847641816
"UBA3",4.51246795170627,4.51825600947106,154.972452960322,0,0,800.080043912611
"RPL19",9.87416027216636,9.76296679220222,155.704615409274,0,0,799.876415478109
"NDUFA10",6.80421644575604,6.83123785804921,154.916496841049,0,0,799.852679768052
"RPS9",9.00412961680847,8.97414944412309,155.379492059215,0,0,799.793226798804
"NDUFS1",6.78103619657089,6.8124546417838,154.874871298669,0,0,799.757545664559
"MTIF2",5.52328420552222,5.49289642267613,154.765105655027,0,0,799.72588992526
"EIF5",7.61843742617086,7.63524926805056,154.901156201478,0,0,799.479162059102
"PDIA3",9.55374248165301,9.34442414457758,155.405715593575,0,0,799.425568000697
"DDX24",6.58917359799555,6.62825728642924,154.662066096252,0,0,799.289036848521
"ZFR",5.90066562090915,5.87454602787748,154.600089095704,0,0,799.280224778478
"PRRC1",6.26303936251795,6.07782240655351,154.588305721996,0,0,799.185657521402
"PFN1",8.11128174943654,8.10293621969154,154.831296921741,0,0,799.04242710256
"FXR1",6.71894025214992,6.67485153409314,154.471927269397,0,0,798.78264821114
"DDX3X",7.43293627803827,7.44085450523648,154.577711477092,0,0,798.773583084808
"PSMD6",5.63024785140896,5.63919471776756,154.349411069428,0,0,798.691258983742
"VAPA",7.19790695595369,7.0539450180592,154.439994672158,0,0,798.536033234254
"CCDC50",6.44304807983968,6.38461308879662,154.221424183918,0,0,798.237982085681
"DNPEP",6.11786656862835,6.14244008815669,154.18549006541,0,0,798.218533798984
"OSBPL2",5.18879735349457,5.19449246492223,154.13667911182,0,0,798.166760170465
"DNAJB12",5.59629339453252,5.5464304745182,154.019668710188,0,0,797.87732763782
"NACA",8.52663702666803,8.45017920996477,154.438212416098,0,0,797.823362966082
"PPP6C",5.42766246863621,5.46813465093917,153.952787886862,0,0,797.717519918018
"SLC25A39",7.49038654844237,7.34477996882044,154.133346661912,0,0,797.650628545522
"CTNNA1",8.24234185379028,8.09857312006922,154.286335364061,0,0,797.626737239482
"DNAJC21",5.60034560325812,5.55230595536788,153.819709927093,0,0,797.380819296768
"PRR14",4.77958770545999,4.80646804379944,153.814777394062,0,0,797.303920547943
"YIPF3",6.89280255008897,6.8579646688374,153.84515420457,0,0,797.178043395825
"RANBP3",5.2290475335043,5.25682370483222,153.723941147339,0,0,797.145031288182
"TARDBP",6.01865208097606,5.99625987519865,153.599009081052,0,0,796.781675536911
