,amino_acid,lipid,nucleotide,Angiogenesis,Antigen processing machinery,CD8 T effector,Cell cycle,Cell cycle regulators,DNA damage repair,DNA replication,EMT_1,EMT_2,EMT_3,Fanconi anemia,FGFR3-related genes,Homologous recombination,Immune checkpoint,Mismatch repair,Nucleotide excision repair,Pan-F-TBRS,WNT target
TCGA.2Y.A9GW.01A.11R.A38B.07,0.723637723930324,0.676397366000017,0.655605321202103,-0.0352614103645205,0.466487769799094,-0.0587801359985882,0.132361300757843,0.15978605350356,0.040780763767733,0.0309888612146757,0.201786761515184,-0.167089221690177,-0.118368483289499,-0.0920651759100298,-0.204631934379762,-0.0385559743138821,-0.204482037221497,0.0625834554491794,0.166837930072961,0.18008088871414,0.205640308918935
TCGA.ZS.A9CG.01A.11R.A37K.07,0.779357808043152,0.762588307934789,0.477846613737613,-0.0389666382461647,0.420873533955731,-0.115278291713818,0.111137843042904,0.0735807780456001,0.0396520067953462,0.0380827552254342,-0.0654270317658729,-0.0583252485549181,-0.192872955629797,-0.0505507268303325,-0.282501161229969,-0.0192604975581029,-0.295991244818316,0.0738791509226918,0.174903478562341,0.153089253375989,0.175164195454672
TCGA.ZP.A9D0.01A.11R.A37K.07,0.935520664818214,0.768229504926311,0.561392709850574,-0.0564850772096205,0.411586578333003,-0.17120566279698,0.101513302284302,0.0698818491318563,0.0711564875949377,0.0412499374787973,0.0952201508105482,-0.278566638751352,-0.230860410358474,-0.0287744014530115,-0.159995369543389,-0.0342028547626583,-0.299064043559227,0.13359408677209,0.183395206616309,0.149866674368981,0.23746222235638
TCGA.DD.AADC.01A.11R.A41C.07,0.556482200154764,0.525329997281161,0.451259027309046,-0.140371941721041,0.3442211716933,-0.0770662434217852,0.208270844520738,0.052705733124463,0.10299195454133,0.236888706221755,0.100453002251207,-0.291477736713087,-0.135616120910984,0.0351307033282644,-0.217682112301441,0.138090318962366,-0.288426430968871,0.185652931435587,0.261712991406066,0.161127873214749,0.251161803703058
TCGA.DD.AAD6.01A.11R.A41C.07,0.636640619582681,0.648729089841463,0.722438666551461,-0.266339133050969,0.379243542890704,-0.268628650525264,0.19671043715124,0.222655090563537,0.1177756606187,0.167131718318239,0.0953525065932024,-0.227405953777926,-0.250659318769052,0.0214561699133439,-0.135715323319492,0.0333023757678421,-0.30356907900141,0.154571070572096,0.214846752249455,0.0574860260760183,0.359015800924241
TCGA.DD.AACD.01A.11R.A41C.07,0.825276491087947,0.618017112901942,0.847888148922876,-0.144410946862836,0.496667817115722,-0.00911626727703782,0.132687387045695,0.127688924508498,0.0682730097045494,0.0812501949768187,0.0772264313810691,-0.126365253641543,-0.176906676668831,-0.0357676876690827,-0.324139916608569,0.00351431821838895,-0.239003259556336,0.100137505521224,0.18724486037454,0.10160015292183,0.0357319970644989
TCGA.NI.A8LF.01A.11R.A36F.07,0.757381028343044,0.881438552665612,0.362382212696198,0.127439771667491,0.425388187785743,-0.159367939902222,0.108767392786341,0.0370365011043752,0.0261757875398592,0.0225353815310248,0.162698202642995,-0.110742951521782,-0.211267398637434,-0.0476074079564594,-0.284018835507831,-0.0307783423641293,-0.298334904874943,0.0785460296652298,0.154955564994557,0.228343611426252,0.224856665906893
TCGA.ZP.A9D4.01A.11R.A37K.07,0.734082194429572,0.73292676978795,0.435653077404572,-0.1636334471903,0.415954247615503,-0.059629014580957,0.140945736867275,0.151670126401988,0.0550713331676983,0.0467515103653403,0.0576903095602376,-0.24624967146668,-0.136289068330393,-0.0285146949345859,-0.204758373133379,-0.0406661896455289,-0.291746616049092,0.101167446114142,0.179567915645224,0.085532374949716,0.239596507365613
TCGA.DD.AAE7.01A.11R.A41C.07,0.828227239764605,0.708019711828521,0.546244740923679,0.00535382027589699,0.407938029336876,0.0467788255464336,0.0952429402808252,0.105884300375667,0.0702034002791183,0.0490122440658528,0.0906934325116473,-0.219229608490309,-0.233056658473912,-0.0207675032500332,-0.154101845615364,0.0178131737228275,-0.298191681204816,0.0993832335474342,0.216860300771987,0.244418766234506,0.248223448900164
TCGA.DD.A39Z.01A.11R.A213.07,0.719717934969671,0.681150947030138,0.81065699388394,-0.129495180072431,0.378834766839008,-0.0880339802035572,0.140738889124497,0.111754173212306,0.103597663202616,0.147371722340043,0.0203529404848093,-0.365376602828117,-0.189405989098663,0.00563433399182693,-0.174432038543621,0.0257899449054208,-0.291902860052867,0.154654952595051,0.22348099325755,0.174868765919201,-0.00327184050761671
TCGA.EP.A2KA.01A.11R.A180.07,0.587153562129637,0.458650225568428,0.737567137892209,-0.392686699751035,0.515704662899969,0.16690504133683,0.186248386073318,0.147870864481033,0.0967929368841302,0.160185526928557,0.0765744415432526,-0.369595190930045,-0.229316249310369,0.0456799930206223,-0.125884202284768,0.0574594232959976,-0.135638408996163,0.149124666614483,0.219845739918658,0.0887409143644749,0.301328708829966
TCGA.G3.A3CH.01A.11R.A22L.07,0.781060725575875,0.787851489399276,0.75482560735464,0.0719889401914665,0.432658542879701,-0.0451632152799531,0.164241191969021,0.110163151369089,0.0567929473198638,0.133875366329279,0.0973892688462155,-0.250399622614262,-0.1267339554092,-0.0374724985289668,-0.420339818289021,-0.0233650596694763,-0.232437704821849,0.134618845400845,0.171342984353743,0.226743557088923,0.115341895999615
TCGA.DD.A3A9.01A.11R.A266.07,0.495293905874404,0.546382270139302,0.430967549914189,0.117321396082505,0.459661062099615,-0.100108086336442,0.122143005890815,0.0418508578259006,0.075886827694574,0.112089963520102,0.0173088894753599,-0.184784728686502,-0.212309620251386,-0.0453499878412939,-0.108029520004586,-0.0342571781919772,-0.296303732825866,0.133498570906569,0.208333126460333,0.232885371813254,0.121332462461034
