node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ADSS2,IMPDH1,9606.ENSP00000355493,9606.ENSP00000345096,0.079,0,0,0,0.401,0,0.91,0.669,0.981
ADSS2,ENTPD4,9606.ENSP00000355493,9606.ENSP00000351520,0,0,0,0,0,0,0.9,0.129,0.909
ADSS2,NT5C1B,9606.ENSP00000355493,9606.ENSP00000352904,0.044,0,0,0,0.07,0.071,0.9,0.108,0.912
ADSS2,APRT,9606.ENSP00000355493,9606.ENSP00000367615,0,0,0,0,0.141,0.299,0,0.674,0.787
ADSS2,GMPS,9606.ENSP00000355493,9606.ENSP00000419851,0.12,0,0,0,0.158,0.143,0,0.769,0.834
ADSS2,PAICS,9606.ENSP00000355493,9606.ENSP00000382595,0.12,0,0,0,0.602,0.095,0,0.604,0.858
ADSS2,ENTPD8,9606.ENSP00000355493,9606.ENSP00000360561,0,0,0,0,0,0,0.9,0.072,0.903
ADSS2,NT5M,9606.ENSP00000355493,9606.ENSP00000373674,0,0,0,0,0,0,0.9,0.081,0.904
ADSS2,ENTPD1,9606.ENSP00000355493,9606.ENSP00000360250,0,0,0,0,0,0,0.9,0.12,0.908
ADSS2,NUDT16,9606.ENSP00000355493,9606.ENSP00000422375,0,0,0,0,0.049,0,0.9,0.174,0.914
ADSS2,ENTPD6,9606.ENSP00000355493,9606.ENSP00000365840,0,0,0,0,0,0,0.9,0.235,0.92
ADSS2,ITPA,9606.ENSP00000355493,9606.ENSP00000369456,0.112,0,0,0,0.058,0.13,0.9,0.579,0.963
ADSS2,GART,9606.ENSP00000355493,9606.ENSP00000371253,0.321,0,0,0,0.906,0.242,0,0.666,0.981
ADSS2,AMPD1,9606.ENSP00000355493,9606.ENSP00000430075,0.057,0,0,0,0.111,0,0.9,0.924,0.992
ADSS2,AMPD2,9606.ENSP00000355493,9606.ENSP00000499465,0.057,0,0,0,0.111,0,0.9,0.921,0.992
ADSS2,AMPD3,9606.ENSP00000355493,9606.ENSP00000379802,0.057,0,0,0,0.111,0,0.9,0.926,0.993
AGXT2,UPB1,9606.ENSP00000231420,9606.ENSP00000324343,0.058,0,0,0,0.271,0,0.836,0.443,0.929
AK1,NME4,9606.ENSP00000223836,9606.ENSP00000219479,0.053,0,0,0,0.092,0,0.716,0.289,0.803
AK1,NT5C1B,9606.ENSP00000223836,9606.ENSP00000352904,0,0,0,0,0.055,0,0.689,0.081,0.706
AK1,NT5C1A,9606.ENSP00000223836,9606.ENSP00000235628,0,0,0,0,0.055,0,0.689,0.081,0.706
AK1,NT5C,9606.ENSP00000223836,9606.ENSP00000245552,0,0,0,0,0.055,0,0.684,0.108,0.711
AK1,ENTPD8,9606.ENSP00000223836,9606.ENSP00000360561,0,0,0,0,0.055,0,0.675,0.165,0.721
AK1,NT5E,9606.ENSP00000223836,9606.ENSP00000257770,0.042,0,0,0,0.048,0,0.65,0.234,0.722
AK1,ENTPD1,9606.ENSP00000223836,9606.ENSP00000360250,0,0,0,0,0.055,0,0.675,0.205,0.734
AK1,RRM2,9606.ENSP00000223836,9606.ENSP00000353770,0,0,0,0,0.046,0,0.738,0.094,0.754
AK1,ENTPD5,9606.ENSP00000223836,9606.ENSP00000335246,0,0,0,0,0.074,0,0,0.746,0.755
AK1,AK7,9606.ENSP00000223836,9606.ENSP00000267584,0,0,0,0,0.086,0.089,0,0.75,0.773
AK1,AMPD2,9606.ENSP00000223836,9606.ENSP00000499465,0,0,0,0,0.072,0,0.65,0.377,0.78
AK1,AMPD3,9606.ENSP00000223836,9606.ENSP00000379802,0,0,0,0,0.067,0,0.65,0.422,0.794
AK1,NME1,9606.ENSP00000223836,9606.ENSP00000337060,0.053,0,0,0,0.08,0,0.716,0.303,0.805
AK1,RRM2B,9606.ENSP00000223836,9606.ENSP00000251810,0,0,0,0,0.054,0,0.738,0.335,0.821
AK1,NME2,9606.ENSP00000223836,9606.ENSP00000376886,0.053,0,0,0,0.08,0,0.716,0.377,0.825
AK1,RRM1,9606.ENSP00000223836,9606.ENSP00000300738,0.042,0,0,0,0,0,0.795,0.203,0.83
AK1,ENTPD3,9606.ENSP00000223836,9606.ENSP00000301825,0,0,0,0,0.055,0,0.675,0.649,0.882
AK1,AMPD1,9606.ENSP00000223836,9606.ENSP00000430075,0,0,0,0,0.109,0,0.65,0.665,0.886
AK1,ENTPD2,9606.ENSP00000223836,9606.ENSP00000347213,0,0,0,0,0.055,0,0.907,0.22,0.925
AK1,DCK,9606.ENSP00000223836,9606.ENSP00000286648,0,0,0,0,0.055,0,0.91,0.222,0.928
AK1,APRT,9606.ENSP00000223836,9606.ENSP00000367615,0.084,0,0,0,0.142,0,0.934,0.43,0.966
AK2,NME4,9606.ENSP00000499935,9606.ENSP00000219479,0.053,0,0,0,0.08,0,0.713,0.705,0.916
AK2,NT5C,9606.ENSP00000499935,9606.ENSP00000245552,0,0,0,0,0.056,0,0.684,0.144,0.722
AK2,RRM2B,9606.ENSP00000499935,9606.ENSP00000251810,0,0,0,0,0.075,0,0.739,0.237,0.8
