node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADSL	NT5C1B	9606.ENSP00000485525	9606.ENSP00000352904	0	0	0	0	0.068	0	0.900	0.269	0.925
ADSL	PNP	9606.ENSP00000485525	9606.ENSP00000354532	0.053	0	0	0	0.062	0	0	0.716	0.725
ADSL	ADSS2	9606.ENSP00000485525	9606.ENSP00000355493	0.120	0	0	0	0.830	0.189	0.978	0.856	0.999
ADSL	GUK1	9606.ENSP00000485525	9606.ENSP00000355689	0.054	0	0	0	0.083	0.093	0	0.524	0.575
ADSL	UCK2	9606.ENSP00000485525	9606.ENSP00000356853	0	0	0	0	0.160	0	0.185	0.302	0.480
ADSL	DPYD	9606.ENSP00000485525	9606.ENSP00000359211	0.115	0	0	0	0.147	0	0	0.490	0.581
ADSL	ENTPD1	9606.ENSP00000485525	9606.ENSP00000360250	0	0	0	0	0.056	0	0.900	0.083	0.905
ADSL	ENTPD8	9606.ENSP00000485525	9606.ENSP00000360561	0	0	0	0	0.056	0	0.900	0.111	0.908
ADSL	CMPK1	9606.ENSP00000485525	9606.ENSP00000360939	0	0	0	0	0.201	0.095	0.402	0.359	0.686
ADSL	UCK1	9606.ENSP00000485525	9606.ENSP00000361285	0	0	0	0	0.124	0	0.185	0.319	0.471
ADSL	APRT	9606.ENSP00000485525	9606.ENSP00000367615	0.120	0	0	0	0.337	0.294	0.913	0.774	0.990
ADSL	XDH	9606.ENSP00000485525	9606.ENSP00000368727	0	0	0	0	0	0	0	0.493	0.493
ADSL	ITPA	9606.ENSP00000485525	9606.ENSP00000369456	0.115	0	0	0	0.083	0	0	0.475	0.537
ADSL	DUT	9606.ENSP00000485525	9606.ENSP00000370376	0.099	0	0	0	0.083	0	0	0.352	0.417
ADSL	GART	9606.ENSP00000485525	9606.ENSP00000371253	0.356	0	0	0	0.966	0.457	0.837	0.759	0.999
ADSL	NT5M	9606.ENSP00000485525	9606.ENSP00000373674	0	0	0	0	0	0	0.900	0.080	0.904
ADSL	TYMP	9606.ENSP00000485525	9606.ENSP00000379038	0.054	0	0	0	0	0	0	0.489	0.496
ADSL	AMPD3	9606.ENSP00000485525	9606.ENSP00000379802	0	0	0	0	0	0	0.900	0.742	0.973
ADSL	PAICS	9606.ENSP00000485525	9606.ENSP00000382595	0.231	0	0	0	0.968	0.320	0.980	0.745	0.999
ADSL	CTPS2	9606.ENSP00000485525	9606.ENSP00000401264	0.092	0	0	0	0.115	0.100	0	0.485	0.578
ADSL	GMPS	9606.ENSP00000485525	9606.ENSP00000419851	0.231	0	0	0	0.424	0	0.172	0.791	0.913
ADSL	AMPD1	9606.ENSP00000485525	9606.ENSP00000430075	0	0	0	0	0	0	0.900	0.745	0.973
ADSL	GMPR2	9606.ENSP00000485525	9606.ENSP00000454038	0.102	0	0	0	0.473	0	0	0.240	0.608
ADSL	TK1	9606.ENSP00000485525	9606.ENSP00000468425	0	0	0	0	0.123	0	0	0.370	0.424
ADSL	UPP2	9606.ENSP00000485525	9606.ENSP00000474090	0	0	0	0	0	0.085	0	0.410	0.437
ADSL	AK2	9606.ENSP00000485525	9606.ENSP00000499935	0	0	0	0	0.225	0.095	0.941	0.227	0.964
ADSL	AMPD2	9606.ENSP00000485525	9606.ENSP00000499465	0	0	0	0	0.054	0	0.900	0.728	0.972
ADSS1	DHODH	9606.ENSP00000333019	9606.ENSP00000219240	0.057	0	0	0	0.151	0	0	0.458	0.528
ADSS1	UMPS	9606.ENSP00000333019	9606.ENSP00000232607	0.119	0	0	0	0.087	0	0	0.488	0.552
ADSS1	NT5C1A	9606.ENSP00000333019	9606.ENSP00000235628	0.044	0	0	0	0.070	0.071	0.900	0.278	0.929
ADSS1	ATIC	9606.ENSP00000333019	9606.ENSP00000236959	0.120	0	0	0	0.603	0.099	0.978	0.541	0.996
ADSS1	GDA	9606.ENSP00000333019	9606.ENSP00000238018	0.103	0	0	0	0.063	0	0	0.415	0.465
ADSS1	NT5C	9606.ENSP00000333019	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0.138	0.910
ADSS1	NT5E	9606.ENSP00000333019	9606.ENSP00000257770	0.120	0	0	0	0.044	0	0.900	0.282	0.931
ADSS1	GMPR	9606.ENSP00000333019	9606.ENSP00000259727	0.079	0	0	0	0.400	0	0.910	0.301	0.961
ADSS1	PPAT	9606.ENSP00000333019	9606.ENSP00000264220	0.120	0	0	0	0.373	0	0	0.665	0.799
ADSS1	CAD	9606.ENSP00000333019	9606.ENSP00000264705	0.095	0	0	0	0.295	0	0.900	0.374	0.954
ADSS1	HPRT1	9606.ENSP00000333019	9606.ENSP00000298556	0.111	0	0	0	0.115	0	0.911	0.467	0.958
ADSS1	ENTPD3	9606.ENSP00000333019	9606.ENSP00000301825	0	0	0	0	0	0	0.900	0.089	0.905
ADSS1	DTYMK	9606.ENSP00000333019	9606.ENSP00000304802	0.109	0	0	0	0.081	0	0	0.326	0.400
ADSS1	TYMS	9606.ENSP00000333019	9606.ENSP00000315644	0	0	0	0	0.058	0	0	0.471	0.481
ADSS1	IMPDH2	9606.ENSP00000333019	9606.ENSP00000321584	0.079	0	0	0	0.402	0	0.910	0.558	0.975
ADSS1	CTPS2	9606.ENSP00000333019	9606.ENSP00000401264	0.102	0.015	0	0	0.245	0	0	0.309	0.491
ADSS1	PNP	9606.ENSP00000333019	9606.ENSP00000354532	0	0	0	0	0	0	0	0.519	0.519
ADSS1	GMPR2	9606.ENSP00000333019	9606.ENSP00000454038	0.079	0	0	0	0.401	0	0.145	0.208	0.577
ADSS1	GMPS	9606.ENSP00000333019	9606.ENSP00000419851	0.120	0	0	0	0.151	0	0	0.647	0.713
ADSS1	APRT	9606.ENSP00000333019	9606.ENSP00000367615	0	0	0	0	0.141	0.299	0	0.573	0.720
ADSS1	PAICS	9606.ENSP00000333019	9606.ENSP00000382595	0.120	0	0	0	0.602	0.095	0	0.517	0.826
ADSS1	NUDT16	9606.ENSP00000333019	9606.ENSP00000422375	0	0	0	0	0.042	0	0.900	0	0.900
ADSS1	NT5M	9606.ENSP00000333019	9606.ENSP00000373674	0	0	0	0	0.044	0	0.900	0.103	0.906
ADSS1	ENTPD8	9606.ENSP00000333019	9606.ENSP00000360561	0	0	0	0	0	0	0.900	0.115	0.907
ADSS1	ENTPD1	9606.ENSP00000333019	9606.ENSP00000360250	0	0	0	0	0	0	0.900	0.115	0.907
ADSS1	ENTPD6	9606.ENSP00000333019	9606.ENSP00000365840	0	0	0	0	0	0	0.900	0.147	0.911
ADSS1	NT5C2	9606.ENSP00000333019	9606.ENSP00000339479	0	0	0	0	0	0	0.900	0.195	0.916
ADSS1	ENTPD4	9606.ENSP00000333019	9606.ENSP00000351520	0	0	0	0	0	0	0.900	0.266	0.923
ADSS1	ENTPD5	9606.ENSP00000333019	9606.ENSP00000335246	0	0	0	0	0	0	0.900	0.323	0.929
ADSS1	NT5C1B	9606.ENSP00000333019	9606.ENSP00000352904	0.044	0	0	0	0.070	0.071	0.900	0.309	0.932
ADSS1	ADSS2	9606.ENSP00000333019	9606.ENSP00000355493	0	0	0.054	0.973	0	0.470	0.900	0.111	0.949
ADSS1	AMPD2	9606.ENSP00000333019	9606.ENSP00000499465	0.057	0	0	0	0.111	0	0.900	0.521	0.954
ADSS1	ITPA	9606.ENSP00000333019	9606.ENSP00000369456	0.112	0	0	0	0	0.130	0.900	0.490	0.955
ADSS1	AMPD3	9606.ENSP00000333019	9606.ENSP00000379802	0.057	0	0	0	0.111	0	0.900	0.558	0.957
ADSS1	AMPD1	9606.ENSP00000333019	9606.ENSP00000430075	0.057	0	0	0	0.111	0	0.900	0.606	0.962
ADSS1	GART	9606.ENSP00000333019	9606.ENSP00000371253	0.321	0	0	0	0.904	0.065	0	0.564	0.969
ADSS1	IMPDH1	9606.ENSP00000333019	9606.ENSP00000345096	0.079	0	0	0	0.400	0	0.910	0.591	0.977
ADSS2	DHODH	9606.ENSP00000355493	9606.ENSP00000219240	0.057	0	0	0	0.144	0	0	0.541	0.598
ADSS2	GSR	9606.ENSP00000355493	9606.ENSP00000221130	0.041	0	0	0	0.117	0.136	0	0.285	0.407
ADSS2	UMPS	9606.ENSP00000355493	9606.ENSP00000232607	0.119	0	0	0	0.093	0.223	0	0.596	0.715
ADSS2	NT5C1A	9606.ENSP00000355493	9606.ENSP00000235628	0.044	0	0	0	0.070	0.071	0.900	0.169	0.918
ADSS2	ATIC	9606.ENSP00000355493	9606.ENSP00000236959	0.120	0	0	0	0.601	0.099	0.978	0.665	0.997
ADSS2	GDA	9606.ENSP00000355493	9606.ENSP00000238018	0.103	0	0	0	0.042	0	0	0.470	0.505
ADSS2	NT5C	9606.ENSP00000355493	9606.ENSP00000245552	0	0	0	0	0.047	0	0.900	0.185	0.915
ADSS2	NT5E	9606.ENSP00000355493	9606.ENSP00000257770	0.120	0	0	0	0.042	0	0.900	0.302	0.933
ADSS2	GMPR	9606.ENSP00000355493	9606.ENSP00000259727	0.079	0	0	0	0.400	0	0.910	0.488	0.971
ADSS2	PPAT	9606.ENSP00000355493	9606.ENSP00000264220	0.120	0	0	0	0.376	0	0	0.688	0.814
ADSS2	CAD	9606.ENSP00000355493	9606.ENSP00000264705	0.095	0	0	0	0.295	0	0.900	0.496	0.963
