0	1	2	3	4	5	6	7	8	9	10	11	12	13
ABCC9	0.21334	0.35516	0.42491	0.16541	0.19899	0.24814	0.14579	0.19426	0.1901	0.32652	0.34672	0.40362	0.17501	0.21484
ABCD1	0.02705	0.03362	0.05087	0.03523	0.0348	0.01013	0.03125	0.00714	0.00395	0.03209	0.05988	0.06114	0.00988	0.00248
ABCD2	0	0.00633	0.00029	0	0.06276	0.00572	0.00391	0.08261	0.02328	0	0	0.01141	0.16097	0.05639
ABCD3	0.64674	0.32247	0.44774	0.19531	0.12099	0.0679	0.15016	0.0438	0.07078	0.6968	0.51456	0.20833	0.06245	0.07069
ABCD4	0.03822	0.09446	0.0538	0.02541	0.02219	0.01643	0.03853	0.01881	0.01982	0.04684	0.05271	0.05378	0.02426	0.18577
ABCE1	0.1817	0.30757	0.05271	0.03596	0.11589	0.02246	0.14276	0.14056	0.27463	0.24873	0.03416	0.2221	0.08431	0.02119
ABCF1	0.80222	1.21765	0.78277	0.42939	0.69461	0.99778	0.72519	0.59549	1.19491	1.1037	1.04622	1.7164	1.00371	0.68374
ABCF2	0.13189	0.13124	0.18371	0.12675	0.1319	0.25058	0.13838	0.14133	0.19359	0.21156	0.16657	0.21313	0.20479	0.28158
ABCF3	0.04817	0.15934	0.15631	0.02927	0.07238	0.02749	0.0587	0.09984	0.05709	0.09123	0.10738	0.03807	0.11099	0.11637
ABCG1	0.00044	0.15086	0.0128	0.00392	0.02553	0.00223	0.12699	0.0035	0.04848	0.00121	0	0	0	0.13217
ABCG2	0.14993	0.10967	0	0.0033	0.0085	0.01262	0.0233	0.01624	0.01864	0.32798	0.02837	0.04869	0	0
ABCG5	0.61848	0.20384	0.52377	0.14383	0.042	0.04634	0.06841	0.00727	0.00175	0.53797	0.35398	0.43638	0	0
ABCG8	0.34864	0.11802	0.19607	0.0888	0.0391	0.05301	0.05646	0.00487	0.00042	0.23142	0.10549	0.40447	0	0
ABHD1	0.02117	0.01117	0.01907	0.01228	0	0.0032	0.00825	0.0011	0	0.04057	0.0713	0.08187	0	0
