Malignant cells	Immune cells	Stromal cells
PDK2	0.21038	0.05978	0.07397
PDK3	0.12131	0.0997	0.14451
PDK4	0.34449	0.13272	0.02305
PDLIM1	0.22451	0.074	0.15549
PDLIM2	0.01858	0.05006	0.06988
PDLIM3	0.03053	0.00816	0
PDLIM5	0.46736	0.39413	0.28111
PDLIM7	0.02149	0.02433	0.06248
PDP1	0.02577	0.06611	0.14379
PDP2	0.44021	0.32321	0.22701
PDPK1	0.12099	0.12047	0.09113
PDPR	0.32271	0.23932	0.29005
PDRG1	0.10972	0.09457	0.17502
PDS5A	0.49732	0.35283	0.63857
PDS5B	0.20504	0.24362	0.57049
PDSS1	0.0341	0.018	0.10274
PDSS2	0.06148	0.03849	0.07781
PDXDC1	0.21014	0.18522	0.19359
PDXDC2P-NPIPB14P	0.13212	0.14542	0.04616
PDXK	0.25735	0.2667	0.28053
PDXP	0.18097	0.05741	0.06605
PDZD11	0.14267	0.05655	0.2326
PDZD3	0.00471	0	0
PDZD7	0.01374	0.0175	0.00541
PDZD8	0.29172	0.11663	0.15404
PDZD9	0.00241	0.00297	0.00078
PDZK1	0.28757	0.03923	0.01978
PDZK1IP1	0.11429	0.02804	0.00406
PDZRN3	0.00197	0	0
PEA15	0.18913	0.23117	0.32566
PEAK1	0.12701	0.17039	0.10633
PEAR1	0.00265	0.00389	0
PEBP1	2.23092	1.12192	0.88936
PEBP4	0.00255	0.00061	0
PECAM1	0.07007	0.45685	0.41865
PECR	0.43057	0.11812	0.10763
PEF1	0.15805	0.11834	0.12617
PEG10	1.10601	0.45546	0.16235
PEG3	0.04681	0.01194	0
PELI1	0.04139	0.22234	0.13312
PELI3	0.05883	0.02607	0.01227
PELO	0.04575	0.02966	0.06596
PELP1	0.14342	0.13078	0.22993
PEMT	0.21153	0.04863	0.05866
PEPD	0.26221	0.09438	0.12767
PER1	0.06303	0.12256	0.10937
PER2	0.09896	0.05446	0.08055
PER3	0.18309	0.0587	0.02244
PERP	0.26552	0.04518	0.02971
PES1	0.08187	0.07606	0.10978
PET100	0.51203	0.62065	1.14728
PET117	0.11937	0.06548	0.18335
PEX1	0.11626	0.0916	0.06351
PEX10	0.07165	0.02516	0.04861
PEX11A	0.08744	0.03265	0.0381
PEX11B	0.21506	0.09332	0.17383
PEX11G	0.03358	0.01261	0.03118
PEX12	0.01787	0.02439	0.00288
PEX13	0.22497	0.20102	0.16708
PEX14	0.03854	0.02697	0.02877
PEX16	0.04863	0.03821	0.02797
PEX19	0.27371	0.0837	0.06585
PEX2	0.12038	0.08189	0.18538
PEX26	0.06707	0.0548	0.05839
PEX3	0.09694	0.04702	0.08923
PEX5	0.08982	0.01701	0.03046
PEX5L	0.13118	0.14779	0.07395
PEX6	0.20182	0.05237	0.02675
PEX7	0.02539	0.00754	0.00612
PFAS	0.05912	0.02624	0.08225
PFDN1	0.1423	0.17162	0.24613
PFDN2	0.20894	0.12175	0.32251
PFDN4	0.11872	0.11004	0.17629
PFDN5	1.08324	1.82813	1.91064
PFDN6	0.03619	0.01553	0.04387
PFKFB1	0.06236	0.00504	0.03353
PFKFB2	0.10544	0.04504	0.00677
PFKFB3	0.02251	0.12399	0.07568
PFKFB4	0.0227	0.01883	0.01693
PFKL	0.46064	0.3544	0.65105
PFKM	0.03397	0.03016	0.06507
PFKP	0.02423	0.07672	0.26938
PFN1	0.39948	0.93207	1.68367
PFN2	0.06945	0.0215	0
PFN4	0.00924	0.00063	0
PGAM1	0.35907	0.31879	0.76275
PGAM2	0.08142	0.01478	0.00135
PGAM4	0.00726	0.00202	0.00017
PGAM5	0.07266	0.03345	0.06676
PGAP1	0.05697	0.0191	0.00463
PGAP2	0.13697	0.0511	0.04332
PGAP3	0.11338	0.03638	0.04245
PGBD1	0.0397	0.02031	0.00607
PGBD2	0.02181	0.01943	0.008
PGBD4	0.02677	0.01716	0.01873
PGBD5	0.019	0.00325	0.00033
PGC	0.01072	0.00041	0
PGD	0.27532	0.23064	0.29543
PGGT1B	0.03555	0.05657	0.03567
PGK1	0.65197	0.56506	0.82894
PGLS	0.1747	0.22755	0.33555
PGLYRP2	0.1459	0.0341	0.00225
PGM1	0.28359	0.08555	0.1407
PGM2	0.06056	0.05266	0.11036
PGM2L1	0.35618	0.36373	0.23437
PGM3	0.20929	0.17783	0.17479
PGP	0.11925	0.12959	0.34431
PGPEP1	0.50266	0.35746	0.30187
PGPEP1L	0.00674	0.00351	0
PGRMC1	0.90126	0.13602	0.09333
PGRMC2	0.44769	0.24882	0.12935
PGS1	0.03344	0.0221	0.01723
PHACTR1	0.00083	0.02557	0.00818
PHACTR2	0.27826	0.31394	0.45627
PHACTR4	0.7262	0.6835	0.70789
PHAX	0.77507	0.68524	0.7195
PHB	0.47545	0.24084	0.46459
PHB2	0.21724	0.21186	0.48116
PHC1	0.03862	0.05294	0.08934
PHC2	0.18203	0.07705	0.08811
PHC3	0.5709	0.38016	0.27437
PHEX	0.0091	0.0423	0.02201
PHF1	0.09231	0.0626	0.04939
PHF10	0.17	0.11804	0.19681
PHF11	0.01171	0.0525	0.0449
PHF12	0.35114	0.3841	0.34805
PHF13	0.06388	0.04817	0.03357
PHF14	0.48831	0.37308	0.35298
PHF19	0.01568	0.05301	0.60116
PHF2	0.04268	0.06682	0.08768
PHF20	0.26869	0.32474	0.36505
PHF20L1	0.47774	0.38283	0.60629
PHF21A	0.13196	0.21395	0.19607
PHF23	0.07073	0.06827	0.06221
PHF3	0.70797	0.73206	0.72821
PHF5A	0.05626	0.06001	0.13407
PHF6	0.10438	0.11323	0.29977
PHF7	0.03713	0.02226	0.08842
PHF8	0.15163	0.07583	0.23543
PHGDH	0.23517	0.11922	0.14793
PHGR1	0.00078	0.00016	0
PHIP	0.57368	0.75124	1.09618
PHKA1	0.00921	0.00506	0.02903
PHKA2	0.62019	0.15678	0.15526
PHKB	0.27954	0.22681	0.16702
PHKG1	0.15931	0.11259	0.11772
PHKG2	0.12796	0.12216	0.11489
PHLDA1	0.16165	0.11477	0.13607
PHLDA2	0.02364	0.01045	0
PHLDA3	0.07974	0.07902	0.0787
PHLDB1	0.03006	0.00579	0
PHLDB2	0.11809	0.04541	0.12751
PHLDB3	0.05797	0.02227	0.044
PHLPP1	0.10744	0.05031	0.07564
PHLPP2	0.04305	0.02225	0.00652
PHOSPHO2	0.01555	0.00594	0.02393
PHPT1	0.47623	0.62326	1.03606
PHRF1	0.13564	0.10904	0.14417
PHTF1	0.0485	0.10069	0.21303
PHTF2	0.07585	0.2385	0.40496
PHYH	1.08958	0.28383	0.18362
PHYHD1	0.00595	0.00573	0.00087
PHYHIPL	0.1192	0.00914	0.00226
PHYKPL	0.04291	0.05829	0.07901
PI15	0.01513	2e-04	0
PI3	0.00173	0.00014	0
PI4K2A	0.07414	0.09739	0.04968
PI4K2B	0.15112	0.05732	0.11814
PI4KA	0.09632	0.10684	0.2007
PI4KAP2	0.05141	0.04233	0.00515
PI4KB	0.21672	0.21946	0.11292
PIAS1	0.132	0.20477	0.17143
PIAS2	0.491	0.3745	0.39157
PIAS3	0.08793	0.06981	0.09664
PIAS4	0.05262	0.0427	0.14373
PIBF1	0.16263	0.13365	0.22727
PICALM	0.33285	0.26687	0.16432
PICK1	0.05031	0.02802	0.02494
PID1	0.06977	0.02986	0.0168
PIEZO1	0.11353	0.10285	0.14498
PIEZO2	0.28202	0.03175	0
PIF1	0.01002	0.02962	0.2324
PIFO	0.00874	0.00083	5e-04
PIGA	0.02543	0.02131	0.02672
PIGB	0.01798	0.02481	0.03867
PIGC	0.07802	0.05939	0.06359
PIGF	0.05344	0.03954	0.04694
PIGG	0.14623	0.16221	0.16755
PIGH	0.06042	0.03441	0.05388
PIGK	0.09742	0.03688	0.09759
PIGL	0.01583	0.02315	0.00436
PIGM	0.30157	0.1782	0.10619
PIGN	0.06702	0.04899	0.0698
PIGO	0.02644	0.02493	0.04201
PIGP	0.05765	0.04452	0.05197
PIGQ	0.06253	0.04058	0.02711
PIGR	0.12321	0.03279	0.0055
PIGS	0.1175	0.16492	0.16029
PIGT	0.56028	0.35342	0.35031
PIGU	0.0876	0.04039	0.09691
PIGV	0.0612	0.02726	0.05679
PIGX	0.64342	0.58382	0.38832
PIGZ	0.01828	0.00561	0.0109
PIH1D1	0.16198	0.16276	0.29566
PIH1D2	0.00972	0.0066	0.00033
PIH1D3	0.01617	0.01435	0.00652
PIK3AP1	0.21038	0.25758	0.20255
PIK3C2A	0.45889	0.45331	0.29321
PIK3C2B	0.0651	0.03062	0.02873
PIK3C2G	0.03531	0.00553	0.00293
PIK3C3	0.06715	0.10822	0.09769
PIK3CA	0.19051	0.15095	0.15478
PIK3CB	0.20896	0.11032	0.04346
PIK3CD	0.02721	0.26292	0.41141
PIK3CG	0.01052	0.21261	0.24913
PIK3IP1	0.07714	0.28337	0.30444
PIK3R1	0.34502	0.57083	0.69166
PIK3R2	0.30356	0.10555	0.13889
PIK3R3	0.04975	0.09298	0.07595
PIK3R4	0.05755	0.03924	0.01495
PIK3R5	0.00383	0.12608	0.15541
PIKFYVE	0.21736	0.26921	0.31731
PILRA	0.00721	0.06177	0.00198
PILRB	0.02099	0.01172	0.00171
PIM1	0.09969	0.16665	0.20379
PIM2	0.04422	0.60922	0.40604
PIM3	0.09646	0.08883	0.13331
PIN1	0.06416	0.10556	0.40321
PIN1P1	0.00063	0.00097	0.0032
PIN4	0.33498	0.19799	0.41358
PIN4P1	0.20223	0.20951	0.15234
PINK1	0.30965	0.12118	0.05158
PINK1-AS	0.03843	0.03514	0.01896
PINLYP	0.0018	0.00521	0.00028
PINX1	0.0126	0.04039	0.06864
PIP4K2A	0.14368	0.48382	0.76778
PIP4K2C	0.06458	0.0347	0.06401
PIP5K1A	0.04819	0.02009	0.00888
PIP5K1B	0.00207	0.03951	0.01906
PIP5K1C	0.01591	0.02841	0.00319
PIP5K1P1	0.00243	0.00074	0
PIPOX	0.40828	0.12237	0.09308
PIPSL	0.13659	0.10189	0.03059
PIR	0.07572	0.01699	0.00359
PISD	0.05336	0.05812	0.03931
PITHD1	0.13487	0.12756	0.18465
PITPNA	0.083	0.12836	0.19287
PITPNA-AS1	0.02188	0.03804	0.05153
PITPNB	0.21832	0.28074	0.45684
PITPNC1	0.0444	0.07286	0.07295
PITPNM1	0.03764	0.08582	0.12525
PITPNM2	0.10252	0.03378	0
PITPNM3	0.0199	0.01448	0.00568
PITRM1	0.16368	0.09686	0.1802
PITX1	0.02134	0.01359	0.00061
PIWIL2	0.15479	0.14618	0.11275
PIWIL3	0.00349	0.00082	0
PIWIL4	0.00558	0.00688	0.00162
PJA1	0.03619	0.02	0.01651
PJA2	0.50167	0.4759	0.51045
PKD1	0.08188	0.06534	0.03743
PKD1L1	0.01169	0.00363	0.00028
PKD1L2	0.02878	0.0021	0
PKD1P1	0.00795	0.00725	0.00347
PKD2	0.04721	0.04728	0.0636
PKDCC	0.01199	0.00182	0
PKHD1	0.00576	0.00245	0
PKHD1L1	0.00098	0.01815	0.04373
PKIA	0.0153	0.0283	0.00749
PKIB	0.03401	0.04614	0.00425
PKIG	0.14172	0.04833	0.01437
PKLR	0.38868	0.08112	0.04297
PKM	0.26559	0.58528	1.41252
PKMYT1	0.01181	0.00999	0.24237
PKN1	0.0415	0.03577	0.06675
PKN2	0.24839	0.21295	0.33643
PKN3	0.01589	0.00879	0.06385
PKNOX1	0.07031	0.06314	0.12545
PKP2	0.09742	0.0281	0.01589
PKP4	0.33718	0.08077	0.10811
PLA1A	0.11385	0.02359	0.01249
PLA2G12A	0.24067	0.14453	0.09831
PLA2G12B	0.11377	0.02373	0.00208
PLA2G15	0.07413	0.13712	0.01771
PLA2G16	0.30536	0.10177	0.07008
PLA2G1B	0.02232	0.00107	0
PLA2G2A	0.09152	0.01385	0
PLA2G2D	0.00066	0.0189	0
PLA2G4C	0.13059	0.04799	0.00249
PLA2G4E	0.00375	0.00308	0
PLA2G4F	0.00223	0	0.0055
PLA2G6	0.02374	0.02217	0.0198
PLA2G7	0.04371	0.17565	0.01882
PLA2R1	0.00331	0.00027	0
PLAA	0.04549	0.08791	0.10421
PLAC8	0.00457	0.04003	0.02431
PLAC8L1	0.00782	0.00067	0.00814
PLAG1	0.01851	0.02038	0.00077
PLAGL1	0.0036	0.01382	0.00991
PLAGL2	0.0236	0.02656	0.03397
PLAU	0.00348	0.02994	0.00319
PLAUR	0.0214	0.08987	0.03438
PLB1	8e-05	0.01708	0
PLBD1	0.03683	0.05215	0.03442
PLBD2	0.02645	0.02156	0.00398
PLCB1	0.26758	0.07992	0.00155
PLCB2	0.01337	0.2816	0.22673
PLCB3	0.06266	0.05897	0.05044
PLCD1	0.02391	0.04634	0.06588
PLCD3	0.00837	0.0053	0.00175
PLCD4	0.06353	0.01004	0
PLCE1	0.0757	0.0065	0
PLCG1	0.13176	0.07498	0.09933
PLCG2	0.49942	0.46508	0.50388
PLCH1	0.00619	0.00271	0
PLCH2	0.00184	0.01187	0
PLCL1	0.0091	0.02945	0.04657
PLCL2	0.05013	0.09163	0.22553
PLCXD1	0.00203	0.00115	0.00043
PLCXD2	0.00166	0.01011	0.02093
PLCXD3	0.05965	0.05178	0.02285
PLCZ1	0.00448	0	0
PLD1	0.1509	0.04506	0.00301
PLD2	0.02792	0.03171	5e-04
PLD3	0.11613	0.24026	0.01557
PLD4	0.00214	0.02062	0.00094
PLD6	0.02333	0.0164	0.00083
PLEC	0.3766	0.27625	0.18077
PLEK	0.04194	0.58089	0.55952
PLEK2	0.0233	0.00437	0.02506
PLEKHA1	0.24313	0.12919	0.05001
PLEKHA2	0.21821	0.39617	0.57732
PLEKHA3	0.09889	0.09683	0.04794
PLEKHA4	0.03779	0.02336	0
PLEKHA5	0.35428	0.20304	0.2031
PLEKHA6	0.1386	0.03367	0.00525
PLEKHA7	0.05708	0.01585	0.00472
PLEKHA8	0.04564	0.04679	0.04651
PLEKHA8P1	0.03363	0.01869	0.01288
PLEKHB1	0.00768	0.01873	0
PLEKHB2	0.35262	0.3983	0.34611
PLEKHF1	0.03759	0.08014	0.17545
PLEKHF2	0.04736	0.05354	0.07284
PLEKHG1	0.02035	0.03426	0.00902
PLEKHG2	0.08655	0.18472	0.18373
PLEKHG3	0.10549	0.02954	0.00566
PLEKHG4	0.0249	0.01119	0.01642
PLEKHG4B	0.25183	0.21757	0.15823
PLEKHG5	0.00457	0.01826	0
PLEKHG6	0.07375	0.04976	0.03361
PLEKHG7	0.00522	0.00131	0
PLEKHH1	0.04871	0.0142	0.06421
PLEKHH2	0.01693	0.01143	0.01064
PLEKHH3	0.08779	0.0207	0.00615
PLEKHJ1	0.1264	0.18357	0.28274
PLEKHM1	0.07953	0.09376	0.05084
PLEKHM2	0.13422	0.12776	0.13512
PLEKHM3	0.23342	0.21245	0.18144
PLEKHN1	0.01535	0.01857	0.00562
PLEKHO1	0.03674	0.33339	0.31891
PLEKHO2	0.0279	0.18646	0.2004
PLG	1.66642	0.2873	0.097
PLGRKT	0.03352	0.05084	0.08587
PLIN1	0.02741	0.00014	0
PLIN2	0.63363	0.2619	0.33249
PLIN3	0.3165	0.30901	0.44605
PLIN4	0.1212	0.01554	0.01641
PLIN5	0.42904	0.08258	0.02512
PLK1	0.00978	0.01518	0.42083
PLK2	0.03155	0.04832	0.02949
PLK3	0.00639	0.0245	0.07238
PLK4	0.00646	0.00654	0.20923
PLLP	0.01867	0.01578	0.00073
PLOD1	0.54828	0.1575	0.1498
PLOD2	0.33069	0.03446	0.00359
PLOD3	0.2962	0.09988	0.11968
PLP2	0.02026	0.13506	0.30825
PLRG1	0.11956	0.10746	0.1805
PLS1	0.09305	0.02351	0.0245
PLS3	0.38535	0.07886	0.05214
PLSCR1	0.05634	0.08701	0.09709
PLSCR4	0.05452	0.0112	0
PLTP	0.03323	0.15764	0.01665
PLVAP	0.01126	0.00468	0
PLXDC1	0.16684	0.15053	0.20125
PLXDC2	0.07538	0.09323	0.02855
PLXNA1	0.04083	0.05266	0.01034
PLXNA2	0.03834	0.00178	0
PLXNA3	0.10347	0.05332	0.0039
PLXNA4	0.00184	0.00206	0.00157
PLXNB1	0.32582	0.06523	0.0021
PLXNB2	0.33422	0.15097	0.07392
PLXNB3	0.00204	0	0
PLXNC1	0.0932	0.25301	0.27608
PLXND1	0.10378	0.12874	0.00535
PM20D1	0.00328	0.00092	0
PM20D2	0.11587	0.04098	0.17979
PMAIP1	0.00932	0.17113	0.29646
PMCH	1e-04	0.01956	0.00146
PMCHL2	0.00137	0.00018	0
PMEL	0.00969	0.00014	0
PMEPA1	0.04832	0.0864	0.03684
PMF1	0.06468	0.08039	0.12369
PMFBP1	0.0176	0.02378	0.00647
PML	0.09882	0.10833	0.16544
PMM1	0.1681	0.10621	0.13499
PMM2	0.06972	0.1483	0.10456
PMP2	0.00232	0.00036	0
PMP22	0.01024	0.05621	0
PMPCA	0.133	0.08443	0.26992
PMPCB	0.21864	0.11013	0.22101
PMS1	0.10017	0.09881	0.2282
PMS2	0.15725	0.13427	0.21702
PMS2CL	0.0139	0.02187	0.02341
PMS2P1	0.04619	0.0404	0.15009
PMS2P3	0.00833	0.00967	0.01133
PMS2P4	0.01831	0.00466	0
PMS2P5	0.01628	0.00665	0.0021
PMS2P9	0.02363	0.02192	0.01483
PMVK	0.24577	0.13383	0.52357
PNCK	0.00472	0	0
PNISR	1.14324	1.17145	1.22486
PNKD	0.40331	0.24246	0.43547
PNKP	0.06753	0.08078	0.12529
PNMA1	0.0273	0.02013	0.11217
PNMA2	0.00766	0.00666	0.00173
PNMA3	0.11054	0.00951	0.00108
PNMA5	0.00197	0.00184	0
PNMA8A	0.0222	0.02667	0.0033
PNMT	0.00327	0	0
PNN	0.67789	0.67727	1.0019
PNO1	0.24382	0.2482	0.28368
PNOC	0.00261	0.05863	0.02824
PNP	0.03772	0.12987	0.19521
PNPLA1	0.05586	0.06019	0.03
PNPLA2	0.24754	0.09597	0.10105
PNPLA3	0.37324	0.19978	0.08177
PNPLA4	0.07038	0.03547	0.05788
PNPLA5	0.00245	0.00355	0
PNPLA6	0.13796	0.1071	0.06786
PNPLA7	0.02814	0.01486	0.01917
PNPLA8	0.18568	0.21432	0.21202
PNPO	0.34337	0.12345	0.11026
PNPT1	0.45748	0.44547	0.39481
PNRC1	0.37345	0.84482	0.83545
PNRC2	0.16578	0.27494	0.62073
POC1A	0.03844	0.01157	0.14595
POC1B	0.03912	0.06587	0.08
POC5	0.02315	0.04595	0.14576
PODNL1	0.0125	0.00496	0.00174
PODXL	0.02081	0.00505	0
PODXL2	0.02721	0.00565	5e-04
POF1B	0.00357	0	0
POFUT1	0.34591	0.19117	0.13608
POFUT2	0.09631	0.05192	0.01363
POGK	0.16136	0.11542	0.12416
POGLUT1	0.07405	0.10926	0.16108
POGZ	0.27041	0.13394	0.19454
POLA1	0.07109	0.08363	0.41939
POLA2	0.0382	0.02924	0.14772
POLB	0.10317	0.1074	0.16427
POLD1	0.02518	0.02034	0.04957
POLD2	0.36201	0.17352	0.22754
POLD3	0.06311	0.07438	0.41879
POLD4	0.59312	0.45479	0.546
POLDIP2	0.44496	0.18051	0.21549
POLDIP3	0.11979	0.14071	0.32802
POLE	0.08681	0.04081	0.14747
POLE2	0.01424	0.0031	0.08404
POLE3	0.21613	0.32339	0.97444
POLE4	0.10518	0.09767	0.42135
POLG	0.14606	0.181	0.16855
POLG2	0.04453	0.0373	0.01551
POLH	0.50457	0.49186	0.59908
POLI	0.06031	0.05242	0.03563
POLK	0.22364	0.24471	0.26874
POLL	0.09448	0.0695	0.11652
POLM	0.05182	0.0293	0.07388
POLN	0.02443	0.0196	0.02222
POLQ	0.03033	0.02245	0.47107
POLR1A	0.07596	0.044	0.09459
POLR1B	0.06916	0.02733	0.11474
POLR1C	0.10506	0.05884	0.0086
POLR1D	0.16007	0.23887	0.30138
POLR1E	0.06006	0.06967	0.18988
POLR2A	0.14345	0.2205	0.33467
POLR2B	0.15549	0.22314	0.36045
POLR2C	0.17375	0.06858	0.05521
POLR2D	0.07034	0.06122	0.1663
POLR2E	0.3856	0.28082	0.54665
POLR2F	0.21205	0.12176	0.21503
POLR2G	0.26842	0.33824	0.6742
POLR2H	0.1748	0.11418	0.11991
POLR2I	0.52911	0.31993	1.02467
POLR2J	0.30104	0.21557	0.3583
POLR2J3	0.07831	0.07367	0.05928
POLR2J4	0.02343	0.01553	0.0069
POLR2K	0.23048	0.17118	0.33162
POLR2L	0.60485	0.55919	0.82878
POLR2M	0.01564	0.03395	0.05521
POLR3A	0.19651	0.09897	0.26731
POLR3B	0.0859	0.04932	0.05557
POLR3C	0.14472	0.18506	0.24752
POLR3D	0.03552	0.10096	0.09951
POLR3E	0.06881	0.08055	0.02858
POLR3F	0.05521	0.03236	0.10974
POLR3G	0.0335	0.01556	0.02352
POLR3GL	0.17942	0.20558	0.48303
POLR3H	0.066	0.0238	0.14177
POLR3K	0.03171	0.04791	0.12245
POLRMT	0.27398	0.10701	0.11884
POM121	0.15353	0.14615	0.22974
POM121L10P	0.02686	0.02836	0.034
POM121L1P	0.00176	0.00062	0
POM121L8P	0.02049	0.0119	0.00809
POM121L9P	0.00123	0	0.00098
POMC	0.00014	0.00859	0.03012
POMGNT1	0.30469	0.11099	0.14319
POMGNT2	0.05772	0.01421	0.09396
POMK	0.00571	0.00595	0.00044
POMP	0.55293	0.6017	1.29493
POMT1	0.07278	0.04772	0.02417
POMT2	0.04891	0.03077	0.01029
POMZP3	0.01663	0.01836	0.04863
PON1	0.49205	0.04845	0.00453
PON2	0.4063	0.068	0.03275
PON3	0.5722	0.06553	0.03343
POP1	0.04901	0.03512	0.04271
POP4	0.13764	0.10491	0.34983
POP5	0.23279	0.16915	0.35472
POP7	0.18321	0.12462	0.30992
POPDC2	0.00353	0.00567	0.01554
POPDC3	0.01849	0.00465	0
POR	0.74763	0.18777	0.15187
PORCN	0.01301	0.0049	0.00557
POT1	0.04888	0.01326	0.06571
POT1-AS1	0.05344	0.03156	0.02142
POTEC	0.01595	0.0062	0.00099
POTEE	0.0081	0.00158	0
POTEF	0.00599	0	0
POTEG	0.02847	0.00536	0.00953
POU2AF1	0.03366	0.35464	0.31705
POU2F1	0.20629	0.25463	0.38317
POU2F2	0.03357	0.49813	0.58149
POU2F3	0.00513	0.00282	0.00025
POU5F1	0.01249	0.00658	0.00198
POU5F1B	0.00419	0	0
POU5F1P5	0.00589	0.00314	0
POU6F1	0.03309	0.03374	0.02796
POU6F2-AS1	0.01019	4e-04	0
PPA1	0.32198	0.2196	0.43615
PPA2	0.15308	0.13237	0.12026
PPAN	0.07145	0.08872	0.14828
PPARA	0.87123	0.35116	0.22395
PPARD	0.12039	0.11742	0.07194
PPARG	0.05477	0.01257	0.00034
PPARGC1A	0.19642	0.04109	0.02016
PPARGC1B	0.03693	0.05962	0.00379
PPAT	0.05768	0.01888	0.08355
PPCDC	0.04067	0.09956	0.11641
PPCS	0.35522	0.26965	0.2035
PPDPF	0.13473	0.12636	0.346
PPEF2	0.00105	0.00252	0.00086
PPFIA1	0.53842	0.4057	0.33678
PPFIA3	0.0257	0.01033	0
PPFIA4	0.01709	0.00464	0
PPFIBP1	0.1131	0.03507	0.00639
PPFIBP2	0.19264	0.05798	0.04581
PPHLN1	0.16928	0.26681	0.43467
PPIA	1.29892	1.1597	2.31684
PPIAL4G	0.00304	0.00085	0.0041
PPIAP30	0.00442	0.00271	0.00025
PPIB	0.76578	0.71708	0.98279
PPIC	0.13913	0.02275	0.01043
PPID	0.13739	0.13182	0.22673
PPIE	0.14357	0.13071	0.30862
PPIEL	0.01568	0.04646	0.01069
PPIF	0.2071	0.08768	0.12306
PPIG	0.78355	0.80377	1.14207
PPIH	0.07153	0.06059	0.3969
PPIL1	0.04956	0.02703	0.12721
PPIL2	0.09952	0.08867	0.03179
PPIL3	0.05185	0.04555	0.03336
PPIL4	0.23083	0.2577	0.33257
PPIL6	0.06758	0.04509	0.03053
PPIP5K1	0.04211	0.02529	0.02078
PPIP5K2	0.24559	0.20912	0.43781
PPL	0.04295	0.00925	0.00057
PPM1A	0.24096	0.13959	0.22735
PPM1B	0.56501	0.48838	0.47979
PPM1D	0.03294	0.07717	0.03997
PPM1E	0.00502	0	0
PPM1F	0.09332	0.07952	0.04544
PPM1G	0.30794	0.32901	0.84636
PPM1H	0.05897	0.02656	0.00637
PPM1J	0.00467	0.00014	0.00129
PPM1K	0.21997	0.37458	0.33464
PPM1L	0.06678	0.03849	0.00299
PPM1M	0.02477	0.07442	0.09783
PPM1N	0.02004	0.0983	0.02606
PPME1	0.07605	0.05465	0.02354
PPOX	0.18309	0.07817	0.08267
PPP1CA	0.49747	0.66731	1.52326
PPP1CB	0.34109	0.27318	0.41798
PPP1CC	0.44222	0.35591	0.96574
PPP1R10	0.2195	0.33847	0.37588
PPP1R11	0.23875	0.15289	0.16531
PPP1R12A	0.41631	0.7847	1.33444
PPP1R12B	0.21693	0.16517	0.06052
PPP1R12C	0.21333	0.24963	0.36934
PPP1R13B	0.09883	0.03856	0.06055
PPP1R13L	0.02102	0.00964	0.014
PPP1R14A	0.00053	0.00713	0
PPP1R14B	0.19782	0.13473	0.21967
PPP1R15A	0.07269	0.68744	0.91209
PPP1R15B	0.20564	0.34598	0.40472
PPP1R16A	0.44879	0.12673	0.08255
PPP1R16B	0.00598	0.09923	0.1895
PPP1R18	0.07054	0.23703	0.53191
PPP1R1A	0.19104	0.0273	0.05565
PPP1R1C	0.00364	0.00217	0
PPP1R2	0.14719	0.20091	0.25879
PPP1R21	0.12834	0.09963	0.15084
PPP1R26	0.03679	0.04131	0
PPP1R26-AS1	0.00749	0.00169	0.00044
PPP1R32	0.00989	0.00528	0.00351
PPP1R35	0.08377	0.07167	0.22843
PPP1R37	0.02123	0.01818	0.00026
PPP1R3B	0.41393	0.22071	0.14083
PPP1R3C	0.18176	0.02735	0.01919
PPP1R3D	0.01775	0.01495	0.00251
PPP1R3E	0.11807	0.04885	0.046
PPP1R3F	0.00474	0.0053	0.00211
PPP1R3G	0.09599	0.01646	0
PPP1R7	0.20418	0.2327	0.57218
PPP1R8	0.12627	0.09605	0.25558
PPP1R9A	0.16093	0.01499	0.00069
PPP1R9B	0.05685	0.12059	0.083
PPP2CA	0.26605	0.23963	0.5524
PPP2CB	0.09079	0.0639	0.05566
PPP2R1A	0.30562	0.23001	0.2695
PPP2R1B	0.61715	0.21557	0.23354
PPP2R2A	0.07105	0.20149	0.25375
PPP2R2B	0.00718	0.03907	0.10417
PPP2R2C	0.01508	0.00135	0
PPP2R2D	0.10823	0.10544	0.14619
PPP2R3A	0.03148	0.00716	0.01523
PPP2R3C	0.10832	0.25494	0.36497
PPP2R5A	0.51796	0.17463	0.30101
PPP2R5B	0.02636	0.01349	0.01443
PPP2R5C	0.20547	0.39312	0.63604
PPP2R5D	0.17629	0.16247	0.3209
PPP2R5E	0.17897	0.18208	0.30061
PPP3CA	0.12949	0.20091	0.19671
PPP3CB	0.11877	0.14475	0.32577
PPP3CC	0.02858	0.13048	0.21122
PPP3R1	0.04636	0.0491	0.02149
PPP4C	0.08635	0.04624	0.07128
PPP4R1	0.15601	0.09308	0.14615
PPP4R1L	0.00667	0.00131	0.00937
PPP4R2	0.34818	0.22971	0.41505
PPP4R4	0.03263	0.00561	0
PPP5C	0.0677	0.07773	0.24119
PPP6C	0.08884	0.10366	0.15643
PPP6R1	0.19944	0.22506	0.55522
PPP6R2	0.27772	0.18893	0.16804
PPP6R3	0.30151	0.25141	0.51852
PPRC1	0.09215	0.04573	0.1359
PPT1	0.14466	0.25199	0.29749
PPT2	0.05237	0.03292	0.01986
PPTC7	0.02315	0.03191	0.02403
PPWD1	0.08933	0.1661	0.30325
PQBP1	0.74278	0.26363	0.51013
