Malignant cells	Immune cells	Stromal cells
ADAM19	0.02109	0.0803	0.09978
ADAM1A	0.01114	0.00298	0
ADAM20	0.00542	0.00477	0
ADAM20P1	0.00417	0.00039	0
ADAM22	0.0093	0.00698	0
ADAM23	0.00205	0.00318	0.02018
ADAM28	0.00891	0.21256	0.05476
ADAM33	0.01463	0.02001	0.00718
ADAM8	0.01348	0.06696	0.02236
ADAM9	0.06044	0.09971	0.04078
ADAMDEC1	4e-04	0.01744	0
ADAMTS1	0.00803	0.00043	0
ADAMTS10	0.03671	0.01561	0
ADAMTS13	0.02476	0.00223	0
ADAMTS16	0.01803	0.00042	0
ADAMTS17	0.0242	0.01507	0.01262
ADAMTS18	0.00629	0.00921	0
ADAMTS2	0.01658	0.02794	0.02187
ADAMTS20	0.00417	0.00094	0
ADAMTS3	0.00712	0.00349	0.00057
ADAMTS4	0.01118	0.01449	0.00342
ADAMTS5	0.00772	0.00443	0
ADAMTS6	0.01395	0.01812	0
ADAMTS7	0.00221	0.00281	0.00307
ADAMTS9	0.06134	0.00418	0.00175
ADAMTSL2	0.05732	0.00789	0.01353
ADAMTSL3	0.10547	0.02214	0.00244
ADAMTSL4	0.03715	0.01841	0.01062
ADAMTSL4-AS1	0.00299	0.04491	0.0133
ADAMTSL5	0.01452	0.00113	0.00164
ADAP1	0.00477	0.02396	0.09062
ADAP2	0.07434	0.40575	0.00756
ADAR	0.6988	0.70954	0.92649
ADARB1	0.01904	0.06579	0.09067
ADARB2	0.00257	2e-04	0.00553
ADAT1	0.60502	0.55276	0.49051
ADAT2	0.14809	0.15058	0.25649
ADAT3	0.02301	0.01282	0.05393
ADCK1	0.04736	0.02214	0.03067
ADCK2	0.06256	0.05392	0.01849
ADCK5	0.07743	0.04714	0.0467
ADCY1	0.24054	0.20133	0.1428
ADCY10	0.02039	0.00066	0
ADCY10P1	0.01619	0.00642	0.00048
ADCY2	0.0173	0.05018	0.02139
ADCY3	0.0059	0.04945	0.04499
ADCY5	0.00875	0.00255	0
ADCY6	0.08588	0.01711	0.00113
ADCY7	0.01115	0.09857	0.14897
ADCY9	0.05814	0.01517	0
ADD1	0.37651	0.3084	0.4538
ADD3	0.27118	0.33744	0.52338
ADH1A	0.70098	0.15318	0.11196
ADH1B	1.41703	0.40206	0.19535
ADH1C	0.27279	0.04825	0.06384
ADH4	0.79847	0.13808	0.05097
ADH5	0.37625	0.15304	0.14093
ADH6	0.53984	0.1158	0.02602
ADHFE1	0.13126	0.04177	0.0118
ADI1	1.02229	0.38733	0.35511
ADIPOQ	0.00717	0.00438	0.00243
ADIPOQ-AS1	0.10743	0.09909	0.04136
ADIPOR1	0.23383	0.1903	0.16226
ADIPOR2	0.32044	0.15184	0.2284
ADIRF	0.05311	0.00271	0.00044
ADK	0.21161	0.08641	0.09166
ADM	0.08043	0.06757	0.03803
ADM2	0.36498	0.26275	0.16927
ADM5	0.00368	0.00447	0.00399
ADNP	0.29585	0.21678	0.30563
ADNP2	0.11044	0.06048	0.07574
ADO	0.0332	0.02915	0.0967
ADORA1	0.0057	0	0
ADORA2A-AS1	0.17713	0.03441	0.02021
ADORA2B	0.01201	0.01083	0.00709
TMIGD3	0.00115	0.01759	0.01428
ADPGK	0.05716	0.08746	0.06791
ADPRH	0.01191	0.04853	0.06624
ADPRHL1	0.00906	0.00271	0
ADPRHL2	0.07032	0.09077	0.18319
ADPRM	0.01656	0.02023	0.0289
ADRA1A	0.09833	0.00778	0.00574
ADRA1B	0.00724	0.00692	0.00043
ADRA1D	0.00167	0	0
ADRA2A	0.00323	0.00032	0
ADRA2C	0.00812	0.00323	0
ADRB2	0.02181	0.04625	0.02494
ADRM1	0.10491	0.06831	0.09482
ADSL	0.21175	0.17151	0.54839
ADSS	0.11001	0.14463	0.33891
ADSSL1	0.05654	0.02243	0.01151
AEBP1	0.01134	0.04099	0
AEBP2	0.07107	0.10881	0.20923
AEN	0.03235	0.05077	0.17781
AES	0.29971	0.54355	0.9263
AFAP1	0.03295	0.01728	0.01329
AFAP1-AS1	0.00938	0.00167	3e-04
AFAP1L1	0.28698	0.24534	0.18887
AFAP1L2	0.00379	0.03178	0.03558
AFF1	0.19331	0.24354	0.24145
AFF2	0.01273	0.00328	0.02205
AFF3	0.10677	0.05167	0.07213
AFF4	0.42052	0.42701	0.32154
AFG3L1P	0.07321	0.05264	0.14619
AFG3L2	0.30928	0.13941	0.17903
AFM	0.77949	0.14165	0.04129
AFMID	0.23775	0.0412	0.02136
AFP	0.04992	0.00581	0
AFTPH	0.31223	0.38204	0.53089
