Cell	UMAP_1	UMAP_2	Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Patient	Sample	Tissue
HCC5_COL8_ROW40	8.06719587365166	-12.0097611373931	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW3	8.72761915246026	-11.8760102218657	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW10	9.67238424340264	-9.72425488891893	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW11	7.82442567864434	-11.882434172061	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW12	8.62639425316827	-11.6793148941069	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW14	8.26398275414483	-11.3593056625395	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW20	7.35057447472588	-11.5580256408721	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW21	8.46822069207207	-11.9013512558013	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW23	7.17108820000665	-11.7252295440703	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW26	9.65845964470879	-9.72650937500292	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL9_ROW30	7.49141023674981	-9.42639188232713	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW1	7.83018682518975	-11.9409144348174	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW3	8.31375310936944	-11.290528578189	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW9	8.21153543511407	-12.0404227203398	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW10	9.4219398311712	-9.60763387146288	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW12	7.6754741481878	-11.729376119998	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW13	8.01954744378106	-11.511304182437	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW14	7.98072431603448	-11.2146208709746	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW18	7.82167528191583	-11.6664355224639	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW25	8.41240308800713	-11.7872479385405	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW26	7.63667009392754	-9.26906518402391	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW28	8.15348337212579	-11.6522725051909	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW33	6.38498018303887	-10.0050690597563	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW35	8.33760736504571	-11.5998652404814	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL10_ROW40	8.33170984307305	-11.8371451324492	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL11_ROW10	7.62124250451104	-9.03373078766161	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL11_ROW14	7.92874334374444	-11.3356326049834	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL11_ROW18	8.00501821557061	-11.6358635849028	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL11_ROW24	8.32920072594659	-11.9548495239287	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL11_ROW40	8.66426561394707	-11.8145506805449	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW2	7.63933752099053	-9.43323831024462	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW3	7.78444002190606	-11.8208935684233	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW15	9.26194475213067	-9.69357327881151	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW18	7.57840917626397	-9.23540334167772	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW22	7.60859582940118	-9.95073823395067	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW23	7.40403459588067	-11.8452208465605	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW34	8.58537099877373	-11.8640397018462	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW35	7.61146925011651	-9.47008065643602	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW37	7.71933935204522	-11.7444403595	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL12_ROW40	7.82800291100518	-10.2773364013701	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW4	8.45083902398125	-11.9543717330962	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW5	7.9429769329168	-11.878377241519	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW9	6.94750593224542	-5.77350072326952	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW11	7.5630302242376	-11.7033722824126	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW13	9.46338937798516	-9.85631303253465	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW15	8.12133691826836	-11.564038557437	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW20	7.62614343682305	-11.4810746139556	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW25	8.13221643486993	-11.9855339950591	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL13_ROW34	9.60347745934502	-9.79711846771532	13	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL14_ROW4	7.95741270104424	-11.7286742157012	7	Immune cells	B	B	Patient 5	Patient 5	Tumor
HCC5_COL14_ROW5	7.595948200617	-9.97322110595995	12	Immune cells	B	B	Patient 5	Patient 5	Tumor
