CD8T	Malignant	Mono/Macro	Tprolif	B
NCEH1	0.02346	0.10143	0.13993	0.05359	0.0143
NCF1	0.00072	0.00211	0.01588	0.03135	0.06292
NCF1B	0.01675	0.00285	0.03093	0.02226	0.06702
NCF1C	9e-04	0.00053	0.01726	0.00109	0.04296
NCF2	0.00359	0.01705	0.32893	0.0288	0.02414
NCF4	0.04391	0.00945	0.29062	0.11659	0.27411
NCK1	0.09271	0.08754	0.13113	0.06795	0.07863
NCK2	0.18056	0.03704	0.03653	0.17076	0.09164
NCKAP1	0.05361	0.22916	0.05334	0.01656	0.00247
NCKAP1L	0.10228	0.00878	0.38874	0.33011	0.07112
NCKAP5	0.00298	0.01483	0.06818	0.0216	0.00465
NCKAP5L	0.0036	0.02652	0.01733	0	0
NCKIPSD	0.03198	0.12422	0.09715	0.07824	0.06694
NCL	1.56528	1.26096	1.7939	2.51241	1.64866
NCLN	0.14233	0.26914	0.19715	0.17928	0.23658
NCMAP	0.29179	0.34199	0.29946	0.24727	0.24384
NCOA1	0.37405	0.18827	0.18303	0.46966	0.20984
NCOA2	0.37162	0.31729	0.26512	0.24435	0.24997
NCOA3	0.15174	0.19459	0.17574	0.37625	0.79207
NCOA4	0.28366	0.80627	0.77561	0.48819	0.17853
NCOA5	0.03322	0.05789	0.05614	0.06029	0.03457
NCOA6	0.16864	0.18607	0.14856	0.12852	0.17144
NCOA7	0.20535	0.13989	0.34177	0.33857	0.2542
NCOR1	0.68963	0.45943	0.5257	0.97445	0.65631
NCOR1P1	0.00134	0.00282	0	0	0
NCOR2	0.13536	0.19332	0.22764	0.2236	0.16423
NCR3	0.15833	0.00395	0.00187	0.05581	0.03016
NCR3LG1	0.00416	0.01898	0.0122	0.00309	0.00031
NCS1	0.00503	0.01303	0.00602	0	0
NCSTN	0.06735	0.17781	0.09523	0.03728	0.05188
NDC1	0.01369	0.06717	0.03564	0.15309	0.00385
NDC80	0.08834	0.03705	0.01967	0.63463	0.01945
NDE1	0.08777	0.02651	0.07513	0.28144	0.11329
NDEL1	0.12191	0.06006	0.11589	0.18864	0.11466
NDFIP1	0.24112	0.41281	0.23902	0.20541	0.15211
NDFIP2	0.06824	0.08219	0.04843	0.0518	0.01062
NDN	0.01792	0.01203	0.00348	0	0
NDOR1	0.03334	0.07081	0.04982	0.16359	0.08717
NDRG1	0.22846	0.56454	0.44913	0.17722	0.12161
NDRG2	0.05531	0.23563	0.11417	0.00978	0.00783
NDRG3	0.1121	0.11207	0.07139	0.14071	0.08118
NDST1	0.03542	0.10247	0.05333	0.00083	0.01429
NDST2	0.04714	0.04686	0.02872	0.03703	0.04342
NDST3	0.00257	0.00233	0.00476	0.00713	0.00122
NDST4	0.00784	0.0083	0.00686	0	0.00057
NDUFA1	0.54124	0.69696	0.60308	1.00751	0.63687
NDUFA10	0.38428	0.7292	0.50795	0.58963	0.31367
NDUFA11	0.70239	0.7432	0.58027	1.35839	1.07906
NDUFA12	0.29002	0.35037	0.18521	0.59606	0.18816
NDUFA13	1.06555	1.03568	0.89532	1.98525	1.23581
NDUFA2	0.47353	0.57973	0.38253	0.94624	0.62865
NDUFA3	0.88928	0.6636	0.58516	1.0996	1.27429
NDUFA4	0.47329	0.59743	0.36656	0.64863	0.43831
NDUFA4L2	0.00393	0.03073	0.01073	0	0.00027
NDUFA5	0.36735	0.54439	0.39171	0.43272	0.43649
NDUFA6	0.57006	0.67333	0.4521	1.08465	0.40081
NDUFA6-DT	0.00415	0.00655	0.01113	0	0.00232
AC010323.1	0.19606	0.1946	0.10863	0.33032	0.16322
NDUFA8	0.08869	0.09515	0.06858	0.15152	0.11533
NDUFA9	0.17046	0.13533	0.09612	0.35395	0.11986
NDUFAB1	0.15283	0.24414	0.21992	0.38748	0.23021
NDUFAF1	0.05327	0.10359	0.0681	0.04401	0.0876
NDUFAF2	0.06649	0.08992	0.06625	0.27065	0.06326
NDUFAF3	0.18994	0.25155	0.11344	0.38164	0.28874
NDUFAF4	0.03816	0.07608	0.03456	0.03932	0.02424
NDUFAF4P1	0.01344	0.00327	0	0.00767	0.00177
NDUFAF5	0.06998	0.05647	0.04859	0.06854	0.07869
NDUFAF6	0.03885	0.06485	0.03585	0.03905	0.01511
NDUFAF7	0.16958	0.23332	0.25477	0.1407	0.16199
NDUFB1	0.5335	0.49081	0.45942	1.06926	0.55299
NDUFB10	0.43362	0.42525	0.41196	1.15385	0.82708
NDUFB11	0.37574	0.77278	0.35263	0.79913	0.64607
NDUFB2	1.09805	0.91168	0.75727	1.8026	0.94652
NDUFB2-AS1	0.01782	0.00598	0.0049	0.00269	0.00953
NDUFB3	0.18499	0.20849	0.0782	0.32243	0.19241
NDUFB4	0.17715	0.32021	0.14944	0.28394	0.29866
NDUFB5	0.12039	0.20772	0.0973	0.15916	0.09752
NDUFB6	0.12908	0.14346	0.06666	0.21921	0.16283
NDUFB7	0.46585	0.64776	0.37905	1.05973	0.82845
NDUFB8	0.65576	0.4803	0.39445	1.45941	0.63876
NDUFB9	0.48484	1.03471	0.63195	1.03655	0.5514
NDUFC1	0.27569	0.3904	0.26307	0.55031	0.37859
NDUFC2	0.23985	0.6175	0.324	0.50533	0.44361
NDUFS1	0.17796	0.32934	0.18711	0.39872	0.18401
NDUFS2	0.48027	1.12113	0.70267	0.35251	0.28195
NDUFS3	0.17974	0.36212	0.23788	0.57698	0.19398
NDUFS4	0.12434	0.16399	0.09654	0.23468	0.16274
NDUFS5	0.64179	0.66586	0.51175	1.40514	0.76617
NDUFS6	0.59055	0.98115	0.65173	1.04015	0.78782
NDUFS7	0.42095	0.33081	0.24771	0.78397	0.47568
NDUFS8	0.1903	0.29993	0.17818	0.57071	0.40679
NDUFV1	0.35338	0.61926	0.33434	0.73637	0.45812
NDUFV2	0.42289	0.69538	0.49167	0.63709	0.43326
NDUFV3	0.20295	0.31323	0.32367	0.14682	0.20208
NEAT1	2.26138	4.01122	3.56474	1.95808	3.39491
NEB	0.084	0.42194	0.13758	0.00796	0.27035
NEBL	0.02716	0.03924	0.00125	0	0
NECAB1	0.00059	0.00291	0.00418	0.00505	6e-04
NECAB2	0.02414	0.10125	0.0157	0.00037	0.01097
NECAB3	0.06069	0.15784	0.05394	0.00194	0.03827
NECAP1	0.05991	0.03553	0.05826	0.05728	0.09311
NECAP2	0.10035	0.0769	0.16064	0.18659	0.08716
NEDD1	0.09078	0.0942	0.10269	0.20623	0.08254
NEDD4	0.08069	0.34673	0.0815	0.04575	0.00832
NEDD4L	0.07814	0.36951	0.16477	0.02849	0.02177
NEDD8	0.68304	0.65367	0.65405	1.31121	0.69569
NEDD8-MDP1	0	0.00049	0	0	0
NEDD9	0.33459	0.0885	0.05555	0.36793	0.46982
NEFH	0.0296	0.06511	0.07815	0.05338	0.01059
NEFM	0.00404	0.00537	0.00064	0	0
NEGR1	0.00049	0.0026	0.00872	0.00319	0
NEIL1	0.00041	0.047	0.04174	0.03446	0.02004
NEIL2	0.02985	0.05391	0.0507	0.00943	0.03057
NEIL3	0.01239	0.009	0.01014	0.13091	0.028
NEK1	0.12603	0.08568	0.12142	0.07536	0.16855
NEK10	0.03058	0.00538	0.00776	0.05792	0.02046
NEK11	0.24544	0.30223	0.29948	0.23987	0.27618
NEK2	0.00868	0.02268	0.01709	0.16947	0.00397
NEK3	0.03383	0.07686	0.10539	0.02536	0.05305
NEK4	0.07562	0.1505	0.1271	0.09864	0.061
NEK5	0.00683	0.01879	0.00855	0.00387	0.00889
NEK6	0.04007	0.19175	0.16997	0.08834	0.11447
NEK7	0.11561	0.11485	0.08461	0.22455	0.06876
NEK8	0.06471	0.09502	0.12659	0.04923	0.10402
NEK9	0.1286	0.1633	0.07677	0.0812	0.0635
NELFA	0.04751	0.08417	0.03383	0.09695	0.01987
NELFB	0.06881	0.14188	0.06374	0.11409	0.09681
NELFCD	0.11769	0.1898	0.07547	0.23254	0.07609
NELFE	0.29454	0.50329	0.2252	0.63721	0.33028
NELL2	0.04668	0.00434	0.001	0.02464	0.0075
NEMF	0.54443	0.48706	0.48146	0.62068	0.64212
NENF	0.1243	0.36139	0.28763	0.36308	0.37243
NEO1	0.01719	0.07296	0.02186	0.00086	0.02496
NES	0.02523	0.01781	0.00833	0.00826	0.00528
NET1	0.04855	0.22221	0.1282	0.24552	0.13515
NETO2	0.00568	0.01428	0.01468	0.05941	0.00741
NEU1	0.12778	0.44949	0.27732	0.15419	0.19204
NEU3	0	0.00856	0.00013	0.00319	0.02176
NEU4	0.0549	0.10319	0.06557	0	0.00403
NEURL1	0.00355	0.00575	0.01041	0.00305	0
NEURL1B	0.00583	0.02749	0.00471	0	0
NEURL2	0.01531	0.02609	0.03092	0	0.00917
NEURL3	0.0115	0.04054	0.02758	7e-04	0
NEURL4	0.02284	0.01827	0.00027	0.0059	0.02588
NEUROD2	0.02739	0.0551	0.05785	0.05448	0.04688
NEXN	0.01191	0.01651	0.0039	0.00317	0.00219
NEXN-AS1	0.03444	0.05887	0.04924	0.02033	0.03929
NF1	0.19015	0.22862	0.17599	0.19041	0.24535
NF2	0.10408	0.06283	0.06726	0.09164	0.07391
NFAM1	0.10773	0.10578	0.2172	0.04755	0.0892
NFASC	0.00381	0.02347	0.00518	0	0
NFAT5	0.35235	0.17816	0.18859	0.35915	0.2527
NFATC1	0.09823	0.02654	0.083	0.18228	0.05173
NFATC2	0.47159	0.06419	0.09022	0.57772	0.21716
NFATC2IP	0.37436	0.30663	0.38709	0.50136	0.42808
NFATC3	0.33478	0.25011	0.20779	0.36881	0.16795
NFATC4	0.00182	0.01312	0.00127	0	0
NFE2	0.00116	0.00514	0	0	0
NFE2L1	0.43085	0.91913	0.70637	0.41563	0.28559
NFE2L2	0.21059	0.41144	0.65132	0.40966	0.32989
NFE2L3	0.02765	0.02511	0.02036	0.04192	0.05732
NFIA	0.11119	0.75614	0.2023	0.05842	0.03637
NFIB	0.09706	0.33527	0.08498	0.02581	0.00663
NFIC	0.19789	0.54887	0.32201	0.20054	0.08704
NFIL3	0.11551	0.14886	0.08661	0.11904	0.07227
NFIX	0.04972	0.12166	0.05931	0.00856	0.01196
NFKB1	0.20734	0.09662	0.17077	0.2552	0.17262
NFKB2	0.05862	0.03108	0.05875	0.06146	0.05308
NFKBIA	1.32307	0.55304	1.87906	1.20249	1.28789
NFKBIB	0.3236	0.28421	0.28463	0.29404	0.28322
NFKBID	0.07177	0.01092	0.13573	0.09681	0.0475
NFKBIE	0.13715	0.09509	0.25717	0.1251	0.13375
NFKBIL1	0.02745	0.03782	0.02833	0.01686	0.04788
NFKBIZ	0.33574	0.09948	0.46567	0.21303	0.19772
NFRKB	0.08117	0.1495	0.07749	0.08473	0.07769
NFS1	0.03897	0.09002	0.02133	0.03943	0.02065
NFU1	0.0375	0.05113	0.02743	0.0795	0.05693
NFX1	0.26666	0.22697	0.24416	0.43193	0.37383
NFXL1	0.08952	0.11894	0.05033	0.17469	0.11819
NFYA	0.06346	0.10357	0.08988	0.06145	0.06675
NFYB	0.12913	0.21433	0.15811	0.19743	0.07986
NFYC	0.11408	0.1254	0.08119	0.17224	0.06467
NFYC-AS1	0.08154	0.07219	0.05396	0.05621	0.06229
NGDN	0.06226	0.09419	0.07348	0.17756	0.06989
NGEF	0.00139	0.05739	0.00288	0.00093	0.01373
NGLY1	0.20121	0.14136	0.08363	0.255	0.33916
NGRN	0.14617	0.26595	0.22274	0.13629	0.13064
NHEJ1	0.02419	0.03002	0.00758	0.02533	0.01083
NHLRC1	0.00089	0.02775	0.00385	0	0.00324
NHLRC2	0.0783	0.07649	0.10103	0.063	0.06868
NHLRC3	0.04885	0.10442	0.10748	0.03865	0.03754
NHP2	0.38635	0.42608	0.32952	0.85388	0.22074
NHS	0.01412	0.00222	0.01435	0.02321	0.00413
NHSL1	0.02484	0.16532	0.07872	0.00081	0
NHSL2	0.00088	0.00696	0.00363	0	0
NICN1	0.07069	0.15861	0.09384	0.07587	0.18359
NID1	0.07169	0.37768	0.20333	0.00136	0.00582
NIF3L1	0.01687	0.04274	0.03592	0.05696	0.04075
NIFK	0.13622	0.12805	0.13301	0.30554	0.10763
NIFK-AS1	0.06044	0.0425	0.01994	0.06501	0.02715
NIM1K	0	0.00303	0	0.01667	0.0039
NIN	0.76981	0.27487	0.55994	1.16828	0.63216
NINJ1	0.22198	0.28205	0.34438	0.10642	0.08982
NINJ2	0.04619	0.03741	0.02677	0.05731	0.05757
NINL	0.02316	0.13665	0.01558	0.01262	0.00237
NIP7	0.12386	0.15118	0.15335	0.17733	0.09697
NIPA1	0.02684	0.06681	0.0294	0.04245	0.05639
NIPA2	0.0726	0.09731	0.07536	0.14164	0.11339
NIPAL1	0.04594	0.05508	0.0286	0.01465	0.02522
NIPAL2	0.15746	0.20026	0.18006	0.09386	0.16623
NIPAL3	0.20194	0.09759	0.06922	0.22707	0.1406
NIPBL	0.76845	0.85516	0.79223	0.99143	0.76669
NIPSNAP1	0.21111	0.44718	0.27174	0.11429	0.0758
NIPSNAP3A	0.03675	0.03396	0.01147	0.07364	0.00505
NIPSNAP3B	0.00312	0.00916	0.00493	0.00109	0.01994
NISCH	0.2338	0.30576	0.17758	0.29045	0.16034
NIT1	0.12109	0.21886	0.14467	0.25418	0.15017
NIT2	0.07736	0.2022	0.08277	0.07908	0.0561
NKAIN2	0.00063	0.03147	0.00038	0	0
NKAP	0.18185	0.20483	0.17499	0.17995	0.25456
NKAPL	0.00876	0.00344	0.00975	0	0
NKAPP1	0.01048	0.01921	0.00233	0.06374	0.01786
NKD1	0.108	0.20518	0.09122	0.0698	0.15956
NKD2	0.0059	0.01006	0	0.00592	0
NKG7	0.91718	0.02283	0.01705	0.5245	0.25469
NKIRAS1	0.03478	0.03095	0.03681	0.02647	0.01594
NKIRAS2	0.12347	0.16003	0.1315	0.23787	0.16472
NKPD1	0.05806	0.05821	0.06124	0.0329	0.0517
NKRF	0.07984	0.03596	0.0393	0.0451	0.08275
NKTR	0.9486	0.7652	0.79415	0.98834	1.00101
NKX3-1	0.00991	0.00962	2e-04	0.00931	0.00324
NKX3-2	0	0.00363	0.00156	0	0
NLE1	0.02104	0.02341	0.00974	0.04065	0.01228
NLGN1	0.00642	0.00257	0	0	0
NLGN2	0.00466	0.0115	0.00131	0.01354	0.00524
NLGN4X	0.0165	0.05448	0.01368	0.00094	0.00669
NLGN4Y	0.00044	0.00406	0	0	0
NLK	0.03014	0.08307	0.08678	0.06269	0.0449
NLN	0.27544	0.39669	0.36013	0.25442	0.28189
NLRC3	0.35382	0.03072	0.01526	0.25144	0.10443
NLRC4	0.00024	0.00279	0.04704	0.01318	0
NLRC5	0.34356	0.04281	0.06198	0.48168	0.23109
NLRP1	0.1664	0.0152	0.06845	0.12663	0.14179
NLRP11	0.00052	0.00462	0.00011	0	0.00624
NLRP12	0.06176	0.0875	0.07969	0.06992	0.06233
NLRP2	0.03002	0.00776	0.01065	0.04816	0.04012
NLRP3	0.01899	0.00207	0.10008	0.00474	0.00112
NLRP4	0	0.00201	0	0	0
NLRP8	0.05484	0.06747	0.07817	0.05421	0.0358
NLRX1	0.05677	0.0652	0.03511	0.06483	0.02615
NMB	0.04781	0.03538	0.04999	0.14127	0.02009
NMD3	0.07465	0.16056	0.09456	0.06593	0.08417
NME1	0.13219	0.21419	0.07823	0.59107	0.37803
NME1-NME2	0.00155	0.00062	0.00112	0.00193	0.00594
NME3	0.2299	0.17256	0.18728	0.11924	0.24271
NME4	0.04644	0.20173	0.10134	0.05963	0.05891
NME6	0.25923	0.2615	0.30135	0.24615	0.26805
NME7	0.03259	0.03775	0.04114	0.03726	0.00445
NME8	0.00467	0.00878	0.00541	0	0.01748
NMI	0.13851	0.072	0.12578	0.26852	0.03431
NMNAT1	0.37736	0.4661	0.46742	0.30071	0.42786
NMNAT2	0.00202	0.00405	0.00045	0	0.00279
NMNAT3	3e-04	0.01083	0.00768	0	0
NMRAL1	0.15706	0.108	0.0548	0.20744	0.07056
NMRK1	0.10211	0.0706	0.0681	0.07957	0.26155
NMT1	0.49379	0.56696	0.4353	0.97212	0.47525
NMT2	0.61416	0.65151	0.44294	0.31184	0.40724
NMUR1	0.0174	0.0024	0.00284	0.02494	0.00137
NNMT	0.02627	0.23966	0.04782	0.00098	0.00764
NNT	0.18537	0.45855	0.22693	0.34511	0.13537
NNT-AS1	0.19366	0.27963	0.17358	0.14115	0.20214
NOA1	0.04418	0.02775	0.03065	0.1299	0.0203
NOB1	0.08685	0.05321	0.049	0.09421	0.0801
NOC2L	0.1309	0.20585	0.102	0.13439	0.11097
NOC3L	0.11286	0.13832	0.16009	0.18061	0.1283
NOC4L	0.01706	0.07186	0.0555	0.15006	0.03805
NOD1	0.05264	0.02149	0.03645	0.0273	0.0242
NOD2	0.06232	0.00826	0.02111	0.07966	0.04006
NOL10	0.13432	0.14753	0.08722	0.25935	0.13528
NOL11	0.03501	0.12405	0.10981	0.15031	0.06271
Z83844.1	0.15155	0.12129	0.12022	0.17969	0.09132
NOL3	0.01393	0.11842	0.07731	0.02152	0.02078
NOL6	0.04722	0.04289	0.04102	0.06661	0.02709
NOL7	0.39253	0.36616	0.38755	0.84887	0.53816
NOL8	0.28303	0.18323	0.25921	0.47105	0.43785
NOL9	0.23143	0.30268	0.25618	0.26173	0.24418
NOLC1	0.15343	0.22841	0.18368	0.45445	0.25699
NOM1	0.16943	0.2165	0.19221	0.29147	0.12814
NOMO1	0.08269	0.11941	0.05852	0.09437	0.16407
NOMO2	0.0058	0.00795	0	0.00387	0.00461
NOMO3	0	0.00219	0	0	0
NONO	0.47223	0.69653	0.42286	1.07598	0.36037
NOP10	0.26193	0.25731	0.23618	0.31919	0.18064
NOP14	0.2336	0.27762	0.20045	0.57022	0.25396
NOP14-AS1	0.02755	0.01715	0.0038	0.02158	0.03601
NOP16	0.08233	0.08905	0.07081	0.15654	0.04501
NOP2	0.05863	0.05428	0.07846	0.09911	0.07587
NOP56	0.52197	0.36489	0.44395	0.80689	0.55234
NOP58	0.73104	0.52289	0.42607	1.08163	0.56144
NOP9	0.03773	0.08022	0.05279	0.08626	0.01659
NOS1	0.07105	0.1063	0.10979	0.05495	0.12419
NOS1AP	0.01096	0.06101	0.00503	0	0
NOS3	0.00081	0.00811	0.013	0	0.00224
NOSIP	0.24401	0.21328	0.2022	0.46923	0.33184
NOSTRIN	0.00023	0.00241	0	0	0
NOTCH1	0.10606	0.04045	0.03535	0.1317	0.06074
NOTCH2	0.13166	0.13158	0.15837	0.10079	0.07753
AC239799.1	0.25422	0.34724	0.44928	0.20782	0.17266
NOTCH3	0	0.00286	0.00345	0	0
NOTCH4	0	0.00755	0.00597	0	0.03156
NOTUM	0.00204	0.12076	0.01203	0.00162	0.00381
NOV	0.00114	0.00578	0	0.02668	0
NOVA1	0.00881	0.03358	0.01003	0	0
NOX4	0.48684	0.73519	0.57154	0.36701	0.61311
NOX5	0	0.00218	0.00039	0	0
NOXA1	0	0.01939	0.04361	0	0.0121
NOXRED1	0.00074	0.00191	0	0.00614	0
NPAP1	0.00152	0.00655	0.00117	0.00927	0.0054
NPAS2	0.00158	0.04142	0.01237	0.00705	0
NPAS3	0.00315	0.00423	0.009	0	0
NPAT	0.25852	0.13116	0.12918	0.37285	0.58508
NPB	0.00106	0.03234	0.00205	0.00217	0.00787
NPC1	0.08529	0.09242	0.07729	0.0427	0.02219
NPC1L1	0.00197	0.0789	0.00369	0	0
NPC2	0.193	0.41862	1.19673	0.18065	0.61487
NPDC1	0.05927	0.0049	0.03041	0.00294	0.00387
NPEPPS	0.23056	0.25286	0.27171	0.1507	0.1518
NPFF	0.02585	0.03936	0.01182	0.00224	0.00974
NPFFR2	0.00972	0.02671	0.00171	0	0.00131
NPHP1	0.00866	0.02357	0.00704	0.01736	0.00098
NPHP3	0.21553	0.25513	0.18563	0.10746	0.20865
NPHP4	0.00079	0.01043	0.00977	0.00526	0.00042
NPHS1	0.10767	0.13068	0.12818	0.07339	0.09985
NPIPA1	0.015	0.02062	0.01458	0.01954	0.02541
NPIPA5	0.0303	0.00583	0.00112	0.00537	0.01052
NPIPB11	0	0.00088	0	0	0.00159
NPIPB15	0.02595	0.09108	0.05591	0.04231	0.1723
NPIPB3	0.00949	0.00253	0.02011	0.01581	0.01187
NPIPB4	0.03381	0.01681	0.05073	0.01645	0.04393
NPIPB5	0.00723	0.00316	0	0	0.00535
NPIPB6	0.00194	0.00183	0	0	5e-04
NPL	0.03408	0.10457	0.38724	0.0039	0.00413
NPLOC4	0.27898	0.55499	0.23968	0.45981	0.3825
NPM1	1.47664	1.2902	1.36099	2.16229	1.41538
NPM2	0.00622	0.03164	0.00816	0.00586	0.00082
NPM3	0.01829	0.02157	0.0117	0.0313	0.00419
NPNT	0	0.01888	5e-04	0	0
NPR1	0	0.00323	0	0	0
NPR2	0.02088	0.05847	0.00395	0.02032	0.00396
NPR3	0.00037	0.01004	0.0012	0	0.00058
NPRL2	0.10985	0.10818	0.04131	0.17293	0.15688
NPRL3	0.02107	0.03396	0.05865	0.07777	0.01137
NPSR1-AS1	0	0.01362	0.00071	0	0.00571
NPTN	0.11255	0.31065	0.23246	0.14571	0.0809
NPTX2	0.00038	0.02178	0.00177	0	0
NPTXR	0.14174	0.14022	0.1169	0.09658	0.13797
NPW	0.00234	0.00488	0.00132	0.03473	0.00418
NPY6R	0.00104	0.00061	0	0	0.00198
NQO1	0.31854	0.60423	0.56275	0.11903	0.01049
NQO2	0.07548	0.44563	0.20962	0.08042	0.03297
NR0B1	0.00134	0.00349	0.00278	0	0
NR0B2	0.02652	0.16155	0.01824	0.00955	0
NR1D1	0.00343	0.02258	0.01405	0.01368	0.01217
NR1D2	0.13055	0.15284	0.14014	0.10248	0.11742
NR1H2	0.04361	0.09775	0.09251	0.06131	0.07834
NR1H3	0.0298	0.35233	0.33224	0.04315	0.01475
NR1H4	0.05092	0.34448	0.11186	0.00903	0.01208
NR1I2	0.02193	0.08635	0.02604	0	0.00481
NR1I3	0.00312	0.1705	0.02196	0	0.01085
NR2C1	0.11666	0.15629	0.09864	0.09862	0.09578
NR2C2	0.13063	0.07105	0.06603	0.19695	0.12284
NR2C2AP	0.02695	0.03864	0.00422	0.03028	0.01589
NR2E1	0.00427	0.00279	0.00397	0.00281	0.00167
NR2F1	0.02858	0.07706	0.00429	0	0.00576
NR2F1-AS1	0.00158	0.01803	0.00545	0.00084	0
NR2F2	0.03475	0.22684	0.10447	0.0019	0.0064
NR2F2-AS1	0	0.00424	0	0	0
NR2F6	0.07191	0.40957	0.12138	0.0269	0.04979
NR3C1	0.46406	0.41394	0.44532	0.66898	0.3771
NR3C2	0.00074	0.01457	0.00591	0	0
NR4A1	0.06963	0.01342	0.19035	0.07568	0.05064
NR4A2	0.6242	0.0356	0.51924	0.50134	0.23374
NR4A3	0.05565	0.00346	0.07356	0.00537	0.00931
NR5A2	0.06875	0.21002	0.03782	0.01284	0.01194
NR6A1	0.01127	0.06454	0.06063	0.0019	0.00803
NRARP	0.00094	0.00487	0	0.00129	0.00673
NRAS	0.10805	0.16532	0.18331	0.2302	0.12019
NRBF2	0.09825	0.17024	0.18693	0.15554	0.14668
NRBP1	0.32099	0.26173	0.25867	0.38517	0.28349
NRBP2	0.07141	0.34701	0.0936	0.0069	0.021
NRCAM	0.0078	0.1058	0.01729	0	0.01176
NRDE2	0.12663	0.20841	0.13693	0.25311	0.11069
NREP	0.04537	0.21813	0.10477	0.05473	0.01279
NRF1	0.08645	0.04982	0.05696	0.08897	0.04371
NRG1	0	0.002	0.00162	0.00125	0
NRG2	0	0.00875	0.00112	0	0
NRG4	0.00173	0.00249	6e-04	0	0
NRGN	0.00074	0.00192	0.00824	0.01168	0
NRIP1	0.15734	0.32662	0.38216	0.14031	0.031
NRIP2	0.02288	0.01643	0.02569	0.0193	0.02828
NRIP3	0.02134	0.00662	0.02222	0.00433	0.01372
NRL	0.00209	0.00875	0.01079	0.0025	0
NRM	0.05929	0.03493	0.03927	0.29732	0.04121
NRN1	0	0.00307	0	0	0
NRN1L	0.00838	0.00505	0.00022	0.00175	0.0024
NRON	0.06897	0.06914	0.01728	0.03377	0.05202
NRP1	0.0218	0.23236	0.66473	0.0509	0.04324
NRP2	0.00529	0.01215	0.21372	0	0.00444
NRROS	0.0053	1e-04	0.02339	0.00112	0.00596
NRSN1	0.00702	0.00925	0.00015	0.00118	0.0063
NRSN2	0.01579	0.01528	0.00412	0.00165	0.00608
NRTN	0.01076	0.04939	0.02365	0.00445	0.01516
NRXN1	0.00272	0.01103	0.00285	0.00389	0.00191
NRXN2	0.00113	0.03692	0.02385	0	0.00097
NRXN3	0.00395	0.01074	0.01033	0.00579	0.00057
NSA2	0.4567	0.28462	0.32499	0.70445	0.31187
NSD1	0.49112	0.38972	0.36535	0.62396	0.43421
NSDHL	0.09276	0.19754	0.08032	0.13257	0.03908
NSF	0.09469	0.09367	0.06741	0.08451	0.10578
NSFL1C	0.14235	0.25486	0.25184	0.22473	0.118
NSL1	0.22635	0.30082	0.23773	0.20859	0.17382
NSMAF	0.08717	0.03733	0.04502	0.07018	0.03038
NSMCE1	0.16258	0.20395	0.10227	0.29497	0.1499
NSMCE2	0.07949	0.08249	0.05479	0.0505	0.06224
NSMCE4A	0.19176	0.20587	0.06982	0.16212	0.14737
NSMF	0.03494	0.041	0.03893	0.04865	0.01844
NSRP1	0.40249	0.34958	0.28452	0.76019	0.55037
NSUN2	0.17346	0.2526	0.17784	0.27051	0.10043
NSUN3	0.07359	0.02966	0.01808	0.04424	0.02543
NSUN4	0.12601	0.20218	0.26848	0.1491	0.10765
NSUN5	0.11503	0.12057	0.18654	0.20763	0.12392
NSUN5P1	0.05566	0.14863	0.06627	0.16984	0.19002
NSUN5P2	0.0898	0.13963	0.07162	0.08546	0.13906
NSUN6	0.16426	0.31219	0.1326	0.2432	0.14578
NSUN7	0.00648	0.02349	0.01009	0.003	0.00516
NT5C	0.12184	0.11419	0.12065	0.27138	0.08838
NT5C2	0.20821	0.20793	0.19873	0.24865	0.19265
NT5C3A	0.088	0.10203	0.06541	0.1322	0.22941
NT5C3B	0.01756	0.08889	0.02421	0.0095	0.04264
NT5DC1	0.06328	0.12026	0.06612	0.14002	0.14065
NT5DC2	0.03084	0.07276	0.0344	0.0628	0.2383
NT5DC3	0.01441	0.08209	0.03583	0.01355	0.00954
NT5E	0.01557	0.18496	0.04418	0.01162	0.00661
NT5M	0.02303	0.01089	0.00142	0.01672	0
NTAN1	0.0665	0.07903	0.12212	0.21591	0.06305
NTHL1	0.03008	0.13319	0.08459	0.2356	0.05918
NTMT1	0.08282	0.09003	0.06665	0.23971	0.12563
NTN1	0.00386	0.01614	0	0.00295	0
NTN4	0	0.01411	0.00039	0	0
NTN5	0.00168	0.00232	0	0	0
NTNG2	0.02363	0.00094	0.00313	0.00306	0.00247
NTPCR	0.03744	0.11459	0.06709	0.0994	0.03833
NTRK2	0.00145	0.00229	0	0	0.01588
NTS	0.0064	0.03368	0.03168	0	0
NUAK1	0.05319	0.14544	0.04448	0.00098	0.00152
NUAK2	0.02439	0.04488	0.01989	0.02382	0.17294
NUB1	0.47335	0.33839	0.36989	0.38202	0.32725
NUBP1	0.10279	0.0664	0.13564	0.2115	0.08273
NUBP2	0.15711	0.15598	0.05724	0.34427	0.15972
NUBPL	0.08582	0.15488	0.14207	0.05927	0.0709
NUCB1	0.27721	0.54331	0.39455	0.31527	0.27248
NUCB2	0.37329	0.36767	0.21301	0.72093	0.88731
NUCKS1	0.94564	1.27577	1.13331	2.13677	0.70909
NUDC	0.51631	0.64323	0.59664	0.87516	0.48068
NUDCD1	0.04296	0.049	0.02392	0.03783	0.06219
NUDCD2	0.11843	0.15031	0.11511	0.20031	0.07047
NUDCD3	0.19791	0.20407	0.1318	0.15095	0.07164
