CD8T	Malignant	Mono/Macro	Tprolif	B
ADH4	0.15624	0.79847	0.17172	0.05097	0.07415
ADH5	0.20401	0.37625	0.14537	0.14093	0.09581
ADH6	0.1348	0.53984	0.14337	0.02602	0.05806
ADHFE1	0.07467	0.13126	0.02376	0.0118	0.02046
ADI1	0.28215	1.02229	0.53377	0.35511	0.34908
ADIPOQ	0.00164	0.00717	0.00824	0.00243	0.00331
ADIPOQ-AS1	0.08704	0.10743	0.11548	0.04136	0.09518
ADIPOR1	0.09456	0.23383	0.20037	0.16226	0.303
ADIPOR2	0.15847	0.32044	0.19901	0.2284	0.08673
ADIRF	0.00252	0.05311	0.00518	0.00044	0
ADK	0.08326	0.21161	0.07607	0.09166	0.10289
ADM	0.00574	0.08043	0.17378	0.03803	0.021
ADM2	0.23657	0.36498	0.24204	0.16927	0.32165
ADM5	0.00024	0.00368	0.01281	0.00399	0
ADNP	0.24058	0.29585	0.16123	0.30563	0.25227
ADNP2	0.07139	0.11044	0.06439	0.07574	0.04156
ADO	0.04427	0.0332	0.01888	0.0967	0.02173
ADORA1	0	0.0057	0	0	0
ADORA2A-AS1	0.03322	0.17713	0.03945	0.02021	0.02992
ADORA2B	0.01148	0.01201	0.01078	0.00709	0.01004
TMIGD3	0	0.00115	0.05142	0.01428	0
ADPGK	0.0427	0.05716	0.1356	0.06791	0.08816
ADPRH	0.02514	0.01191	0.08497	0.06624	0.03541
ADPRHL1	0.00728	0.00906	0	0	0
ADPRHL2	0.08201	0.07032	0.09736	0.18319	0.0943
ADPRM	0.02417	0.01656	0.02782	0.0289	0.006
ADRA1A	0.0044	0.09833	0.00561	0.00574	0.0148
ADRA1B	0.00605	0.00724	0	0.00043	0.01634
ADRA1D	0	0.00167	0	0	0
ADRA2A	0	0.00323	0.00095	0	0
ADRA2C	0.00511	0.00812	0.00387	0	0
ADRB2	0.03351	0.02181	0.03014	0.02494	0.08213
ADRM1	0.06169	0.10491	0.08926	0.09482	0.05184
ADSL	0.17914	0.21175	0.15937	0.54839	0.17611
ADSS	0.17831	0.11001	0.1245	0.33891	0.12483
ADSSL1	0.01274	0.05654	0.05173	0.01151	0
AEBP1	0.01194	0.01134	2e-04	0	0.12767
AEBP2	0.11605	0.07107	0.09755	0.20923	0.11285
AEN	0.05155	0.03235	0.01222	0.17781	0.09592
AES	0.74442	0.29971	0.38739	0.9263	0.46874
AFAP1	0.01206	0.03295	0.03233	0.01329	0.00606
AFAP1-AS1	0	0.00938	0.00352	3e-04	0.00162
AFAP1L1	0.23701	0.28698	0.27382	0.18887	0.22212
