Cell,UMAP_1,UMAP_2,Cluster,Celltype..malignancy.,Celltype..major.lineage.,Celltype..minor.lineage.,Patient,Sample,Tissue,Risk.Factor,RiskFactorScore
HCC2_COL6_ROW35,1.37691591301934,3.29363842544264,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.318979639597472,-0.318979639597472
HCC2_COL6_ROW36,3.28556631127374,4.69417567786879,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.346828925813246,-0.346828925813246
HCC2_COL6_ROW37,3.24810932198541,-0.204815906909043,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.215617442858257,-0.215617442858257
HCC2_COL6_ROW38,3.24404666939752,4.01078339156813,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.295030813636009,-0.295030813636009
HCC2_COL6_ROW4,4.17412899056451,5.04502411422438,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.418441376082378,0.418441376082378
HCC2_COL6_ROW40,4.20438573876397,1.96079905566878,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.193228800998518,-0.193228800998518
HCC2_COL6_ROW5,6.15041683236138,2.16442878780073,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.482564942663234,0.482564942663234
HCC2_COL6_ROW6,5.34887598076836,3.2983631664247,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.422731882362119,0.422731882362119
HCC2_COL6_ROW7,8.84962080040948,-4.41079024734789,4,Immune cells,CD8T,CD8T,Patient 2,Patient 2,Tumor,-0.306732194398939,-0.306732194398939
HCC2_COL6_ROW8,3.34498785058038,-1.5690000480681,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.260082689757391,-0.260082689757391
HCC2_COL6_ROW9,3.33569572487847,2.27804263171858,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.221702160854981,-0.221702160854981
HCC2_COL7_ROW1,3.08737085381524,3.32191534576125,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.369997659723847,0.369997659723847
HCC2_COL7_ROW10,4.63829658547418,2.4609174304933,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.542163975349091,0.542163975349091
HCC2_COL7_ROW11,3.27891681710259,-3.7618973678618,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.247289180123255,-0.247289180123255
HCC2_COL7_ROW12,1.1956476978399,3.49818583068556,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.304469927451439,-0.304469927451439
HCC2_COL7_ROW13,1.89967296639459,3.09577568111128,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.492082065683751,0.492082065683751
HCC2_COL7_ROW14,3.65006921807305,-1.32606462898546,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.251813714018254,-0.251813714018254
HCC2_COL7_ROW15,3.71101902047173,4.46124406394667,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.339652078945316,-0.339652078945316
HCC2_COL7_ROW16,3.18574331322686,-2.52348808708482,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.277088696466183,-0.277088696466183
HCC2_COL7_ROW17,4.88111827889459,3.27885528144545,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.447772837194789,0.447772837194789
HCC2_COL7_ROW18,3.62932727852837,-1.28830890121751,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.241672517357048,-0.241672517357048
HCC2_COL7_ROW19,4.64459465065972,2.64812322196669,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.467977221312115,0.467977221312115
HCC2_COL7_ROW2,3.93430660286919,2.96276827392287,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.242842655433341,-0.242842655433341
HCC2_COL7_ROW20,4.08479831734673,3.35071702537245,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.309540525782042,-0.309540525782042
HCC2_COL7_ROW21,4.00773571053521,2.66426928577132,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.223808409392308,-0.223808409392308
HCC2_COL7_ROW22,3.86591098824517,4.4594890647859,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.407286059755051,0.407286059755051
HCC2_COL7_ROW23,3.94758079567925,3.63465614852614,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.299165301505578,-0.299165301505578
HCC2_COL7_ROW24,4.67378137627618,2.69086297092146,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.31266089398549,-0.31266089398549
HCC2_COL7_ROW25,3.28584430733697,1.59461294350333,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.222248225290584,-0.222248225290584
HCC2_COL7_ROW26,3.3317937664129,-2.1348176425963,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.253919962555582,-0.253919962555582
HCC2_COL7_ROW27,3.38723133126275,-2.08486728134447,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.267415555035494,-0.267415555035494
HCC2_COL7_ROW28,3.10216568032281,2.79013355312056,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.470551525079959,0.470551525079959
HCC2_COL7_ROW29,4.37792633095757,2.04088451204008,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.209298697246275,-0.209298697246275
HCC2_COL7_ROW3,3.3604802898504,3.00200076636977,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.527108198767455,0.527108198767455
HCC2_COL7_ROW30,3.36468933144586,-1.90806202354723,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.242296590997738,-0.242296590997738
HCC2_COL7_ROW31,3.62066267052667,-1.27627305450731,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.243466729074031,-0.243466729074031
HCC2_COL7_ROW32,3.21919439354913,-2.04681853714281,6,Immune cells,Mono/Macro,Mono/Macro,Patient 2,Patient 2,Tumor,-0.247835244558858,-0.247835244558858
HCC2_COL7_ROW33,4.92622564354913,3.30247850951857,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,0.40978235431781,0.40978235431781
HCC2_COL7_ROW34,3.8657645992376,4.85380168494887,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.326468523285748,-0.326468523285748
HCC2_COL7_ROW35,4.54460285225884,3.17110379275984,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.281145175130665,-0.281145175130665
HCC2_COL7_ROW36,3.79241703072564,3.22917063770003,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.234417661284032,-0.234417661284032
HCC2_COL7_ROW37,3.70058916131036,3.76901240882582,1,Malignant cells,Malignant,Malignant,Patient 2,Patient 2,Tumor,-0.28761993915282,-0.28761993915282
