Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Malignant cells	Malignant	Malignant	ALDH1L1	1.1	95.5	2.79e-147
0	Malignant cells	Malignant	Malignant	GPR82	-1.4	69.5	3.22e-147
0	Malignant cells	Malignant	Malignant	AKR1C3	0.88	94.6	3.32e-147
0	Malignant cells	Malignant	Malignant	ABCC6	0.68	71.2	9.6e-146
0	Malignant cells	Malignant	Malignant	ADI1	1.04	94.1	1.44e-145
0	Malignant cells	Malignant	Malignant	SKIL	0.97	83.9	1.47e-144
0	Malignant cells	Malignant	Malignant	SLC1A2	0.53	46.7	1.51e-143
0	Malignant cells	Malignant	Malignant	HGD	1.04	88.4	1.72e-143
0	Malignant cells	Malignant	Malignant	HLF	0.63	68.9	3.01e-143
0	Malignant cells	Malignant	Malignant	SULT2A1	1.25	97.1	5.68e-142
0	Malignant cells	Malignant	Malignant	ABL2	-1.42	72.4	4.6e-141
0	Malignant cells	Malignant	Malignant	USP11	0.66	74.4	1.06e-140
0	Malignant cells	Malignant	Malignant	HAAO	1.01	61.9	6.19e-140
0	Malignant cells	Malignant	Malignant	NCOA4	0.94	92.2	8.35e-139
0	Malignant cells	Malignant	Malignant	GRIPAP1	0.87	80.0	1.26e-137
0	Malignant cells	Malignant	Malignant	ADH4	0.86	89.1	1.62e-137
0	Malignant cells	Malignant	Malignant	ZNF320	-1.39	67.9	1.44e-136
0	Malignant cells	Malignant	Malignant	ETNK2	0.76	66.4	4.15e-136
0	Malignant cells	Malignant	Malignant	DIS3L	-1.46	69.2	4.22e-136
0	Malignant cells	Malignant	Malignant	PPP1R3G	0.55	35.3	6.14e-136
0	Malignant cells	Malignant	Malignant	TMEM176B	0.92	98.6	7.8e-135
0	Malignant cells	Malignant	Malignant	AQP9	0.82	85.7	8.75e-134
0	Malignant cells	Malignant	Malignant	MGST1	0.78	92.0	1.18e-133
0	Malignant cells	Malignant	Malignant	HMGCS2	0.92	88.0	5.72e-133
0	Malignant cells	Malignant	Malignant	PC	0.64	72.6	1.25e-132
0	Malignant cells	Malignant	Malignant	RIPOR2	-1.17	50.5	4.06e-132
0	Malignant cells	Malignant	Malignant	SIGMAR1	0.78	79.9	7.87e-132
0	Malignant cells	Malignant	Malignant	CPS1	-1.67	0.6	5.92e-130
0	Malignant cells	Malignant	Malignant	RPL37	0.97	99.6	6.44e-130
0	Malignant cells	Malignant	Malignant	CYP2C8	0.89	87.0	1.63e-129
0	Malignant cells	Malignant	Malignant	PEX6	0.81	55.1	2.36e-129
0	Malignant cells	Malignant	Malignant	KNG1	0.9	99.7	1.52e-128
0	Malignant cells	Malignant	Malignant	MET	0.81	80.3	1.83e-128
0	Malignant cells	Malignant	Malignant	TMEM19	-1.07	59.5	1.72e-126
0	Malignant cells	Malignant	Malignant	RHBG	0.71	62.5	2.97e-125
0	Malignant cells	Malignant	Malignant	VTN	0.81	99.7	3.07e-125
0	Malignant cells	Malignant	Malignant	SMO	0.67	66.4	6.69e-125
0	Malignant cells	Malignant	Malignant	CAP2	0.7	69.8	6.69e-125
0	Malignant cells	Malignant	Malignant	CMBL	0.97	94.4	9.58e-124
0	Malignant cells	Malignant	Malignant	TSC22D1	0.69	80.2	1.01e-123
0	Malignant cells	Malignant	Malignant	MSMO1	0.79	75.4	1.64e-123
0	Malignant cells	Malignant	Malignant	LYZ	0.67	71.1	7.47e-123
0	Malignant cells	Malignant	Malignant	ZNF674	0.5	61.1	9.96e-123
0	Malignant cells	Malignant	Malignant	IDI1	0.93	84.5	3.98e-122
0	Malignant cells	Malignant	Malignant	AHSG	0.83	100.0	4.42e-122
0	Malignant cells	Malignant	Malignant	LRAT	-1.03	54.3	4.42e-122
0	Malignant cells	Malignant	Malignant	HSD17B2	0.83	54.0	6.56e-122
0	Malignant cells	Malignant	Malignant	PHC3	0.92	88.3	1.2e-121
0	Malignant cells	Malignant	Malignant	BST2	-0.82	0.9	4.71e-121
0	Malignant cells	Malignant	Malignant	LITAF	1.01	90.6	1.06e-120
0	Malignant cells	Malignant	Malignant	IFIT3	-1.09	56.6	3.01e-120
0	Malignant cells	Malignant	Malignant	TM4SF5	0.94	80.2	3.79e-120
0	Malignant cells	Malignant	Malignant	PHGDH	0.7	57.6	5.79e-120
0	Malignant cells	Malignant	Malignant	CPB2	0.84	90.9	1.59e-119
0	Malignant cells	Malignant	Malignant	ENPP1	0.71	80.8	1.66e-119
0	Malignant cells	Malignant	Malignant	DPP4	0.69	73.8	2.59e-119
0	Malignant cells	Malignant	Malignant	CYP7A1	0.73	56.0	3.81e-119
0	Malignant cells	Malignant	Malignant	A1CF	1.01	93.3	8.43e-119
0	Malignant cells	Malignant	Malignant	CARHSP1	0.77	65.1	1.36e-118
0	Malignant cells	Malignant	Malignant	APOB	0.83	100.0	4.94e-117
0	Malignant cells	Malignant	Malignant	RPL22L1	0.65	71.5	2.49e-116
0	Malignant cells	Malignant	Malignant	CAMK2N1	0.83	88.1	1.57e-115
0	Malignant cells	Malignant	Malignant	DKK3	0.28	32.6	1.93e-115
0	Malignant cells	Malignant	Malignant	SCUBE1	0.33	33.0	1.86e-113
0	Malignant cells	Malignant	Malignant	SPON2	0.91	94.1	4.68e-113
0	Malignant cells	Malignant	Malignant	SEPHS2	0.65	98.0	8.37e-113
0	Malignant cells	Malignant	Malignant	NT5E	0.45	52.7	1.15e-112
0	Malignant cells	Malignant	Malignant	FBP1	0.64	67.1	5.66e-112
0	Malignant cells	Malignant	Malignant	ZBTB8A	-1.08	58.2	6.09e-112
0	Malignant cells	Malignant	Malignant	SH3BGRL2	0.46	62.5	6.65e-111
0	Malignant cells	Malignant	Malignant	RARRES2	0.87	98.6	5.03e-110
0	Malignant cells	Malignant	Malignant	PRELID2	-0.79	51.4	1.01e-109
0	Malignant cells	Malignant	Malignant	PEBP1	0.8	99.9	1.11e-109
0	Malignant cells	Malignant	Malignant	PIGX	-0.73	54.4	1.13e-109
0	Malignant cells	Malignant	Malignant	IL11RA	0.67	53.0	2.05e-109
0	Malignant cells	Malignant	Malignant	GUCD1	0.62	67.6	2.16e-109
0	Malignant cells	Malignant	Malignant	FLVCR1	-0.96	70.9	2.36e-109
0	Malignant cells	Malignant	Malignant	SLC30A10	0.54	77.0	1.71e-108
0	Malignant cells	Malignant	Malignant	CTSS	-1.34	13.7	4.62e-108
0	Malignant cells	Malignant	Malignant	RBM10	0.74	75.0	1.15e-107
0	Malignant cells	Malignant	Malignant	ALDH3A2	0.71	93.1	5.1e-107
0	Malignant cells	Malignant	Malignant	CADM1	0.83	81.0	8.8e-107
0	Malignant cells	Malignant	Malignant	PRRT3	-0.95	50.8	2.4e-106
0	Malignant cells	Malignant	Malignant	F5	0.84	96.4	8.94e-106
0	Malignant cells	Malignant	Malignant	F7	0.74	77.3	1.03e-104
0	Malignant cells	Malignant	Malignant	RAI14	0.73	64.7	1.1e-104
0	Malignant cells	Malignant	Malignant	LCP1	-1.29	8.0	1.12e-104
0	Malignant cells	Malignant	Malignant	TGFBI	0.55	80.9	1.14e-104
0	Malignant cells	Malignant	Malignant	CFB	0.75	99.7	1.1e-103
0	Malignant cells	Malignant	Malignant	ACAA1	0.79	87.0	1.14e-103
0	Malignant cells	Malignant	Malignant	SLC12A7	0.5	75.8	1.53e-103
0	Malignant cells	Malignant	Malignant	TPPP	0.36	26.0	2.09e-103
0	Malignant cells	Malignant	Malignant	DPYS	0.57	79.7	2.2e-103
0	Malignant cells	Malignant	Malignant	AXIN2	0.26	34.2	1.87e-102
0	Malignant cells	Malignant	Malignant	SDHA	0.73	76.3	2.66e-102
0	Malignant cells	Malignant	Malignant	AARD	-0.8	43.3	4.23e-102
0	Malignant cells	Malignant	Malignant	IGFBP2	0.36	67.3	7.29e-102
0	Malignant cells	Malignant	Malignant	BAG6	0.72	84.1	2.35e-101
0	Malignant cells	Malignant	Malignant	PXDC1	0.42	59.2	6.52e-101
0	Malignant cells	Malignant	Malignant	SLC25A1	0.89	78.9	1.04e-100
0	Malignant cells	Malignant	Malignant	ELK1	0.45	46.5	1.05e-100
0	Malignant cells	Malignant	Malignant	PHYH	0.95	91.0	1.1e-100
0	Malignant cells	Malignant	Malignant	FOXQ1	0.34	40.4	1.23e-100
0	Malignant cells	Malignant	Malignant	RHOU	0.54	58.6	1.57e-100
0	Malignant cells	Malignant	Malignant	DEPP1	0.91	67.7	3.03e-100
0	Malignant cells	Malignant	Malignant	C5orf22	0.56	52.5	4.06e-100
0	Malignant cells	Malignant	Malignant	PRKCI	0.73	70.3	4.06e-100
0	Malignant cells	Malignant	Malignant	PAH	0.64	96.4	5.19e-100
0	Malignant cells	Malignant	Malignant	GUSB	0.76	77.6	1.06e-99
0	Malignant cells	Malignant	Malignant	TTPA	0.68	68.2	1.53e-99
0	Malignant cells	Malignant	Malignant	SLC25A37	-0.76	88.7	2.03e-99
0	Malignant cells	Malignant	Malignant	KRT18	0.8	90.9	2.76e-99
0	Malignant cells	Malignant	Malignant	MAT1A	0.77	96.7	3.74e-98
0	Malignant cells	Malignant	Malignant	HLA-B	-1.1	90.2	1.39e-97
0	Malignant cells	Malignant	Malignant	EEF1A1	0.66	99.4	3.76e-97
0	Malignant cells	Malignant	Malignant	PDCD6	0.75	78.1	3.86e-97
0	Malignant cells	Malignant	Malignant	CYP27A1	0.5	74.8	9.71e-97
0	Malignant cells	Malignant	Malignant	FBXO7	0.67	77.1	1.65e-96
0	Malignant cells	Malignant	Malignant	DAP	0.45	69.9	1.75e-96
0	Malignant cells	Malignant	Malignant	HNF4A	0.54	76.1	5.36e-96
0	Malignant cells	Malignant	Malignant	FNDC3B	0.64	89.0	8.36e-96
0	Malignant cells	Malignant	Malignant	ABCG5	0.62	67.4	1.27e-95
0	Malignant cells	Malignant	Malignant	GLOD5	0.29	21.7	1.37e-95
0	Malignant cells	Malignant	Malignant	ETFB	0.82	93.1	1.73e-95
0	Malignant cells	Malignant	Malignant	ZNF417	-1.01	48.0	1.76e-95
0	Malignant cells	Malignant	Malignant	SDC2	0.64	88.4	4.29e-95
0	Malignant cells	Malignant	Malignant	NUDT5	0.72	75.4	7.27e-95
0	Malignant cells	Malignant	Malignant	CLPTM1L	0.63	74.8	1.35e-94
0	Malignant cells	Malignant	Malignant	ATP9A	0.56	59.0	1.36e-94
0	Malignant cells	Malignant	Malignant	CD81	0.63	93.2	1.99e-94
0	Malignant cells	Malignant	Malignant	PCYT2	0.91	83.1	2.57e-94
0	Malignant cells	Malignant	Malignant	IRX3	0.32	21.1	2.92e-94
0	Malignant cells	Malignant	Malignant	PDE11A	-0.66	40.4	4.9e-94
0	Malignant cells	Malignant	Malignant	GJB1	0.4	67.6	5.13e-94
0	Malignant cells	Malignant	Malignant	FGB	0.71	98.7	5.74e-94
0	Malignant cells	Malignant	Malignant	KIAA0930	-0.68	58.2	7.27e-94
0	Malignant cells	Malignant	Malignant	EBP	0.83	83.2	7.56e-94
0	Malignant cells	Malignant	Malignant	CRYL1	0.59	63.2	9.47e-94
0	Malignant cells	Malignant	Malignant	TMEM45B	0.39	45.7	2.03e-93
0	Malignant cells	Malignant	Malignant	PSMF1	0.88	84.8	3.07e-93
0	Malignant cells	Malignant	Malignant	CNTNAP2	0.37	30.0	5.74e-93
0	Malignant cells	Malignant	Malignant	CCL5	-2.14	23.6	8.7e-93
0	Malignant cells	Malignant	Malignant	KANK1	0.4	59.2	1.05e-92
0	Malignant cells	Malignant	Malignant	MTCH1	0.78	82.9	1.67e-92
0	Malignant cells	Malignant	Malignant	OSGIN1	0.81	85.2	1.95e-92
0	Malignant cells	Malignant	Malignant	GLT8D1	0.5	59.6	8.56e-92
0	Malignant cells	Malignant	Malignant	LDHA	0.93	90.7	1.25e-91
0	Malignant cells	Malignant	Malignant	FGFR3	0.81	71.6	2.27e-91
0	Malignant cells	Malignant	Malignant	HSD17B6	0.51	81.8	2.37e-91
0	Malignant cells	Malignant	Malignant	GPX4	0.72	92.8	9.92e-91
0	Malignant cells	Malignant	Malignant	DKK1	0.26	27.8	2.22e-90
0	Malignant cells	Malignant	Malignant	HRG	0.9	96.2	9.08e-90
0	Malignant cells	Malignant	Malignant	STAU1	0.89	86.3	2.21e-89
0	Malignant cells	Malignant	Malignant	PCM1	-0.88	55.1	2.25e-89
0	Malignant cells	Malignant	Malignant	LIN7A	0.64	52.4	1.44e-88
0	Malignant cells	Malignant	Malignant	ZDHHC11	0.27	34.6	2.09e-88
0	Malignant cells	Malignant	Malignant	TOMM6	0.94	85.1	3.55e-88
0	Malignant cells	Malignant	Malignant	AHCY	0.64	80.5	4.64e-88
0	Malignant cells	Malignant	Malignant	FAM8A1	0.42	61.9	5.73e-88
0	Malignant cells	Malignant	Malignant	LIPC	0.51	63.0	9.11e-88
0	Malignant cells	Malignant	Malignant	GPAM	0.39	93.5	2.06e-87
0	Malignant cells	Malignant	Malignant	AK4	0.63	82.9	3.14e-87
0	Malignant cells	Malignant	Malignant	SOWAHA	0.4	36.8	3.5e-87
0	Malignant cells	Malignant	Malignant	GCLC	0.56	75.7	3.92e-87
0	Malignant cells	Malignant	Malignant	SLC4A1	-0.61	37.0	4.38e-87
0	Malignant cells	Malignant	Malignant	CLSPN	-0.83	47.8	6.69e-87
0	Malignant cells	Malignant	Malignant	FBLN1	0.33	33.0	1.38e-86
0	Malignant cells	Malignant	Malignant	AP1M2	0.39	27.9	2.11e-86
0	Malignant cells	Malignant	Malignant	PRG4	-1.16	4.1	3.52e-86
0	Malignant cells	Malignant	Malignant	FOSB	-1.7	1.0	5.96e-86
0	Malignant cells	Malignant	Malignant	PTGDS	-0.37	1.4	2.57e-85
0	Malignant cells	Malignant	Malignant	EXOC3	0.33	60.3	2.77e-85
0	Malignant cells	Malignant	Malignant	PXMP2	0.71	76.0	5.06e-85
0	Malignant cells	Malignant	Malignant	PKM	-0.81	4.2	9.77e-85
0	Malignant cells	Malignant	Malignant	PIEZO2	0.55	54.8	2.34e-84
0	Malignant cells	Malignant	Malignant	NFKBIA	-1.19	28.8	2.62e-84
0	Malignant cells	Malignant	Malignant	CYP51A1	0.7	87.4	3.53e-84
0	Malignant cells	Malignant	Malignant	SOX9	0.41	42.3	1.63e-83
0	Malignant cells	Malignant	Malignant	RHOBTB1	0.5	35.2	1.82e-83
0	Malignant cells	Malignant	Malignant	CYB5A	0.67	84.7	1.87e-83
0	Malignant cells	Malignant	Malignant	TRIM58	-0.75	56.6	3.92e-83
0	Malignant cells	Malignant	Malignant	IKZF3	-1.21	52.8	4.37e-83
0	Malignant cells	Malignant	Malignant	ABAT	0.53	58.8	4.62e-83
0	Malignant cells	Malignant	Malignant	LINC01094	-0.46	29.7	8.42e-83
0	Malignant cells	Malignant	Malignant	EIF6	0.81	86.5	1.6e-82
0	Malignant cells	Malignant	Malignant	MRPS18B	1.25	82.6	1.79e-82
0	Malignant cells	Malignant	Malignant	DNAJC21	0.76	79.2	4.08e-82
0	Malignant cells	Malignant	Malignant	GPX3	0.52	98.3	5.44e-82
0	Malignant cells	Malignant	Malignant	ALDH2	0.63	88.7	7.14e-82
0	Malignant cells	Malignant	Malignant	QDPR	0.63	71.1	1.04e-81
0	Malignant cells	Malignant	Malignant	RNU4ATAC	-1.51	42.8	1.71e-81
0	Malignant cells	Malignant	Malignant	DHCR24	0.71	98.7	2.19e-81
0	Malignant cells	Malignant	Malignant	LDHD	0.56	44.3	6.54e-81
0	Malignant cells	Malignant	Malignant	CDHR5	0.35	62.1	8.7e-81
0	Malignant cells	Malignant	Malignant	ZSCAN18	0.49	42.0	2.07e-80
0	Malignant cells	Malignant	Malignant	EHHADH	0.62	81.6	7.62e-80
0	Malignant cells	Malignant	Malignant	GALT	0.68	64.7	1.14e-79
0	Malignant cells	Malignant	Malignant	GHR	0.45	46.2	1.22e-79
0	Malignant cells	Malignant	Malignant	FAT1	0.42	55.6	1.38e-79
0	Malignant cells	Malignant	Malignant	PANK2	-0.6	60.9	1.88e-79
0	Malignant cells	Malignant	Malignant	MRPL36	0.52	59.8	3.54e-79
0	Malignant cells	Malignant	Malignant	RHEB	0.51	71.2	6.38e-79
0	Malignant cells	Malignant	Malignant	PHACTR4	-0.83	58.0	9.44e-79
0	Malignant cells	Malignant	Malignant	TBX3	0.51	58.3	1.05e-78
0	Malignant cells	Malignant	Malignant	ACAT2	0.73	59.9	1.42e-78
0	Malignant cells	Malignant	Malignant	TMEM97	0.7	60.8	1.51e-78
0	Malignant cells	Malignant	Malignant	C5orf51	0.43	60.6	1.64e-78
0	Malignant cells	Malignant	Malignant	IFITM3	0.6	99.4	1.91e-78
0	Malignant cells	Malignant	Malignant	BNIP3	0.61	87.3	2.01e-78
0	Malignant cells	Malignant	Malignant	TENM1	0.59	45.4	2.29e-78
0	Malignant cells	Malignant	Malignant	TARS	0.54	74.0	3.66e-78
0	Malignant cells	Malignant	Malignant	TIMP3	0.36	49.5	4.03e-78
0	Malignant cells	Malignant	Malignant	C2orf72	0.57	64.3	6.43e-78
0	Malignant cells	Malignant	Malignant	NBR1	0.48	79.5	7.1e-78
0	Malignant cells	Malignant	Malignant	SPINK1	-1.89	3.3	8.57e-78
0	Malignant cells	Malignant	Malignant	AGT	0.56	98.1	9.77e-78
0	Malignant cells	Malignant	Malignant	PTPN14	-0.72	55.9	2.77e-77
0	Malignant cells	Malignant	Malignant	PCDH1	0.42	44.3	3.07e-77
0	Malignant cells	Malignant	Malignant	LSM4	0.61	69.0	6.25e-77
0	Malignant cells	Malignant	Malignant	NSMCE1	0.51	47.8	9.06e-77
0	Malignant cells	Malignant	Malignant	RBM25	-1.14	61.9	1.01e-76
0	Malignant cells	Malignant	Malignant	ATF5	-2.04	11.4	2.05e-76
0	Malignant cells	Malignant	Malignant	ABCD3	0.49	72.9	2.07e-76
0	Malignant cells	Malignant	Malignant	OAF	0.53	72.8	2.22e-76
0	Malignant cells	Malignant	Malignant	RNF128	0.41	60.9	2.24e-76
0	Malignant cells	Malignant	Malignant	HP	0.8	98.8	2.64e-76
0	Malignant cells	Malignant	Malignant	SLC6A12	0.32	33.6	3.38e-76
0	Malignant cells	Malignant	Malignant	LINC00476	-0.8	52.8	5.25e-76
0	Malignant cells	Malignant	Malignant	FOS	-1.55	4.9	9.5e-76
0	Malignant cells	Malignant	Malignant	IRS1	0.53	50.2	1.83e-75
0	Malignant cells	Malignant	Malignant	LINC00261	0.51	66.9	2.33e-75
0	Malignant cells	Malignant	Malignant	AMBP	0.61	99.6	3.16e-75
0	Malignant cells	Malignant	Malignant	SLC2A4RG	0.75	84.9	3.18e-75
0	Malignant cells	Malignant	Malignant	TTC33	0.43	41.1	3.59e-75
0	Malignant cells	Malignant	Malignant	ORAI3	0.39	44.7	4.58e-75
0	Malignant cells	Malignant	Malignant	HSD17B3	0.28	27.4	6.19e-75
0	Malignant cells	Malignant	Malignant	IDH1	0.64	87.4	8.95e-75
0	Malignant cells	Malignant	Malignant	CRP	-2.85	3.8	1.82e-74
0	Malignant cells	Malignant	Malignant	MYH10	0.48	51.5	2.96e-74
0	Malignant cells	Malignant	Malignant	CERS2	0.42	88.4	4.08e-74
0	Malignant cells	Malignant	Malignant	FOXA2	0.48	60.2	6e-74
0	Malignant cells	Malignant	Malignant	REEP6	0.61	61.8	7.34e-74
0	Malignant cells	Malignant	Malignant	HNMT	0.62	71.3	7.76e-74
0	Malignant cells	Malignant	Malignant	LBP	0.46	65.7	1.29e-73
0	Malignant cells	Malignant	Malignant	HABP2	-0.83	1.6	1.34e-73
0	Malignant cells	Malignant	Malignant	APOM	0.63	70.5	1.37e-73
0	Malignant cells	Malignant	Malignant	TMPRSS11B	-0.59	33.6	1.91e-73
0	Malignant cells	Malignant	Malignant	SUMF1	0.8	46.7	2.92e-73
0	Malignant cells	Malignant	Malignant	JUNB	-0.75	7.4	3.14e-73
0	Malignant cells	Malignant	Malignant	TMEM254-AS1	-0.75	48.8	4.87e-73
0	Malignant cells	Malignant	Malignant	RPS7	0.62	93.3	6.81e-73
0	Malignant cells	Malignant	Malignant	PGRMC1	0.65	85.2	8.1e-73
