,amino_acid,lipid,nucleotide,StromalScore,ImmuneScore,ESTIMATEScore,TumourPurity
TCGA.DD.AADJ.01A.11R.A41C.07,0.860288798265948,0.777302004921395,0.79211769370266,-980.5211019264,-107.446183865624,-1087.96728579202,0.902487420761702
TCGA.G3.A5SJ.01A.11R.A27V.07,0.523005225914977,0.470580936127472,0.69176222975748,-729.521115636664,651.029395278299,-78.491720358365,0.82900760864759
TCGA.ED.A66Y.01A.11R.A311.07,0.400609604395484,0.525946760461023,0.525901152514275,-1285.91977510936,-1195.30218799916,-2481.22196310852,0.971154035970062
TCGA.BC.A112.01A.11R.A131.07,0.367699967105215,0.41065442495743,0.276892766435654,-430.032859754497,132.796584697105,-297.236275057392,0.846533849741442
TCGA.FV.A3I1.01A.11R.A22L.07,0.653260195068108,0.816825967503113,0.69709449855367,-571.641441953786,370.655644281798,-200.985797671989,0.838928542835428
TCGA.DD.A4NV.01A.11R.A311.07,0.773757109524738,0.843218756805874,0.494204707385143,-447.270430358687,-254.936637860589,-702.207068219276,0.876664609529757
TCGA.T1.A6J8.01A.11R.A32O.07,0.738083072329799,0.778212712794931,0.581337628980496,-692.946807876931,-265.11317074075,-958.059978617681,0.894110562909792
TCGA.UB.A7MD.01A.12R.A352.07,0.769324626033511,0.616248109125631,0.506878832649514,-387.392463998182,333.508958141724,-53.8835058564575,0.826982127299109
TCGA.DD.AACT.01A.11R.A41C.07,0.679159057355784,0.724516203235329,0.480801252120125,-512.145853870843,350.516966242743,-161.628887628101,0.835770401961276
TCGA.DD.AADS.01A.11R.A41C.07,0.906677240481534,0.573510326219711,0.812622646364746,-611.057354626564,624.301960003402,13.2446053768374,0.821402082112612
TCGA.ED.A7PX.01A.51R.A352.07,0.273773086106637,0.346563186237964,0.511139234961396,-252.150442456715,-114.373182701495,-366.52362515821,0.851904128010098
TCGA.FV.A23B.01A.11R.A16W.07,0.612356497274675,0.617909018184057,0.510704997654131,-812.881162985809,-123.6088567466,-936.490019732409,0.892688103800905
TCGA.DD.A4NF.01A.11R.A27V.07,0.722851683347142,0.742633963107275,0.396075813524143,-926.248394980746,-821.642396774027,-1747.89079175477,0.939914305619152
TCGA.DD.AACO.01A.11R.A41C.07,0.801400738059951,0.696298469234872,0.745599572902311,-685.652566330745,366.102882534147,-319.549683796598,0.848272888727019
TCGA.G3.A7M7.01A.12R.A352.07,0.958511826750761,0.776598937657752,0.763834400440035,-985.343232768294,-645.5662459653,-1630.90947873359,0.933913495836828
TCGA.CC.5262.01A.01R.A131.07,0.755023645254578,0.707668512120718,0.750152197767393,-49.1322181879246,613.190296977259,564.058078789334,0.772654442364178
TCGA.G3.A7M8.01A.11R.A33R.07,0.873076169689281,0.732163620682608,0.869584000595772,-417.084514631825,-200.11199289214,-617.196507523965,0.870593048944034
TCGA.DD.AAEH.01A.11R.A41C.07,0.923264857944417,0.73918082370072,0.68352679892485,-423.369675368505,841.854471095006,418.484795726502,0.786042293086697
TCGA.BC.4073.01B.02R.A131.07,0.459306475095258,0.615874030791627,0.64851582988509,-196.154538105522,1413.4640933718,1217.30955526628,0.708324809856993
TCGA.G3.AAV4.01A.11R.A38B.07,0.593884894069586,0.666700445669826,0.540724909880444,-989.753908980917,-627.808605444859,-1617.56251442578,0.933211299071565
TCGA.DD.AACQ.01A.11R.A41C.07,0.696615378131206,0.772384394386014,0.522144261068937,-1508.75399623056,-848.534227501244,-2357.2882237318,0.966655632291422
TCGA.DD.A1ED.01A.11R.A155.07,0.814089703523572,0.729596079307876,0.399106271178022,-316.144561075457,563.426685718633,247.282124643176,0.801327490817758
TCGA.EP.A2KB.01A.11R.A180.07,0.660738142489677,0.66227246877513,0.468163218385928,-1271.88032241096,-563.146704958058,-1835.02702736902,0.944204143669117
TCGA.BD.A2L6.01A.11R.A213.07,0.721976330951562,0.712709366846666,0.794861205975827,-793.493607933952,-164.33059606534,-957.824203999293,0.894095062871406
TCGA.G3.A5SI.01A.31R.A27V.07,0.678902596254884,0.606732075042014,0.778159586148069,-1179.13937714015,-872.034257962046,-2051.1736351022,0.954177085202608
TCGA.G3.AAV2.01A.11R.A37K.07,0.720276789731429,0.680072634592523,0.182280175599264,-929.210033708411,-416.978564571066,-1346.18859827948,0.918161106621469
TCGA.GJ.A6C0.01A.12R.A311.07,0.647123749015435,0.683199469842214,0.683580713266769,-618.085057731944,594.691738434949,-23.3933192969952,0.824457541269156
TCGA.DD.A73D.01A.12R.A32O.07,0.755401472130324,0.749066815510016,0.674478107126011,-1553.94558679535,-1089.49560909993,-2643.44119589528,0.976556206651894
TCGA.ED.A7XO.01A.11R.A352.07,0.90306930224553,0.66970708138042,0.736450575787313,-460.478888955743,193.784791214125,-266.694097741618,0.844138766649639
TCGA.G3.A5SK.01A.11R.A27V.07,0.766612192057903,0.812548025442579,0.525141517034767,-533.243869111601,312.489683488884,-220.754185622717,0.840504272536631
TCGA.ED.A8O5.01A.11R.A36F.07,0.609851375565949,0.577499322427876,0,-791.354551079928,-765.384199937297,-1556.73875101722,0.929965986103262
TCGA.2Y.A9GT.01A.11R.A38B.07,0.764993901502011,0.80124260903684,0.689018769284503,-304.608957789435,890.635909018358,586.026951228923,0.77060325431449
TCGA.DD.AAW1.01A.11R.A41C.07,0.693319266643089,0.743964967581456,0.426852137470432,-1164.51949132619,-573.397301501904,-1737.91679282809,0.939413450551345
TCGA.CC.A3MB.01A.11R.A213.07,0.693030959551379,0.767689427804584,0.839298897633617,-1094.40106206298,-465.61335182564,-1560.01441388862,0.930142653359987
TCGA.ZP.A9CZ.01A.11R.A38B.07,0.780372145127266,0.715479269527404,0.79772574160422,-401.491009317403,560.755494922646,159.264485605244,0.808989455688736
TCGA.G3.A7M6.01A.11R.A33R.07,0.436001192614845,0.420263348472877,0.133703286465863,-789.926895981147,-209.520640699146,-999.447536680293,0.896814808017325
TCGA.G3.A3CG.01A.11R.A213.07,0.744417600673855,0.76110481784351,0.42908921959475,-635.960232522631,-81.7760511479412,-717.736283670572,0.877759007192046
TCGA.ES.A2HS.01A.11R.A180.07,0.863901817959803,0.716387028242455,0.705459311499134,-615.467041179111,-477.135416639803,-1092.60245781891,0.902780266626885
TCGA.UB.A7MA.01A.11R.A33R.07,0.424057122832246,0.377581756339018,0.312191979837509,-863.961107983191,-362.297903935622,-1226.25901191881,0.911044256546249
TCGA.KR.A7K2.01A.12R.A33R.07,0.768653531068328,0.595094075341978,0.474165270976489,-538.597697333311,8.50715101689388,-530.090546316417,0.864231224835167
TCGA.DD.AACP.01A.11R.A41C.07,0.712334694832583,0.549324532427987,0.734342207993101,-1500.06378568832,-797.488319103467,-2297.55210479178,0.964373045388654
TCGA.2Y.A9HA.01A.11R.A39D.07,0.785849094646782,0.734842196081687,0.342124503213979,-1127.47692147421,-472.63625087998,-1600.11317235419,0.932287869940947
TCGA.WJ.A86L.01A.12R.A39D.07,0.46223444427722,0.777435498427647,0.264765497905445,-1324.71324743292,-500.158756576995,-1824.87200400992,0.943712136579318
TCGA.RC.A6M3.01A.11R.A32O.07,0.674339062547008,0.294541273951118,0.735423809404838,-1397.0151946751,-174.69984952626,-1571.71504420136,0.93077195052691
TCGA.DD.A39X.01A.11R.A213.07,0.815425090637368,0.671563944044642,0.90300568538056,-619.622395704031,17.8534761277315,-601.768919576299,0.869476630172532
TCGA.DD.AADL.01A.11R.A41C.07,0.740078669412077,0.812924483488114,0.736870402894902,-1219.58800391317,-766.492312316598,-1986.08031622977,0.951274326680295
TCGA.2Y.A9GU.01A.11R.A38B.07,0.806753141474246,0.711325941820164,0.442788014190718,-1090.30614359787,-708.43044732807,-1798.73659092594,0.942436245172753
TCGA.WQ.AB4B.01A.11R.A41C.07,0.838666178277379,0.764642345507386,0.762556299439337,-577.03163640911,69.4126196754146,-507.619016733695,0.862567037856347
TCGA.DD.AAE9.01A.11R.A41C.07,0.678718327465683,0.714808236611551,0.522349763098337,-1383.65071200373,-488.748580660216,-1872.39929266395,0.945996739537453
TCGA.2Y.A9H1.01A.11R.A38B.07,0.860091271904524,0.639489692637744,0.735709744922207,-854.994108813495,414.11618899926,-440.877919814235,0.857569094054549
TCGA.DD.AADK.01A.11R.A41C.07,0.729027877984811,0.712731989334074,0.826264167839574,-329.195589245322,233.494282638686,-95.7013066066363,0.830417689206888
TCGA.BC.A10U.01A.11R.A131.07,0.704240507642127,0.683968791131881,0.379229933631039,-1328.66557161804,-323.312288589353,-1651.97786020739,0.935014627508915
TCGA.DD.AAE1.01A.11R.A41C.07,0.649528190984812,0.657422499300276,0.458067149333009,-1233.70480298714,-278.777160557344,-1512.48196354448,0.927558012862715
TCGA.FV.A4ZP.01A.12R.A266.07,0.523700721033821,0.374158154214753,0.851229624044755,-720.447798399136,631.868992075446,-88.5788063236895,0.829834743965568
TCGA.DD.AAVP.01A.11R.A41C.07,0.775206692137986,0.701604943765423,0.421749506733666,-747.289079492562,-409.687998066459,-1156.97707755902,0.90680412778605
TCGA.DD.A4NP.01A.11R.A28V.07,0.777422700827437,0.818945623444881,0.611221663755209,-792.051681629256,-267.863589980652,-1059.91527160991,0.900706210130898
TCGA.DD.A11C.01A.11R.A131.07,0.701250914459752,0.668540510538466,0.519723770032252,-321.920259779598,-73.5289346251204,-395.449194404718,0.854120030567927
TCGA.CC.A9FW.01A.11R.A37K.07,0.694180176342233,0.672766406311311,0.444999693657544,-1359.71131178271,-388.439460565878,-1748.15077234859,0.939927333886698
TCGA.MI.A75E.01A.11R.A32O.07,0.870903910201698,0.763156392878458,0.751372459771509,-364.698333961112,328.962285067428,-35.7360488936839,0.825481511085051
TCGA.WX.AA46.01A.11R.A39D.07,0.889700825240354,0.817259056984625,0.500355667906845,-552.623697589095,-106.912252491886,-659.535950080981,0.873633989426112
TCGA.G3.A25X.01A.11R.A16W.07,0.502156397831977,0.299619378625059,0.476814542089476,-216.23774436051,996.73525682685,780.497512466339,0.752098960358885
TCGA.DD.AAW2.01A.11R.A41C.07,0.782820036578581,0.677315282821154,0.453086034232341,-970.754079881905,-707.035743604065,-1677.78982348597,0.936351490344075
TCGA.DD.AAD2.01A.11R.A41C.07,0.822905481229216,0.751452209606014,0.869358853430079,82.6820889514305,445.728034039384,528.410122990814,0.775965711568214
TCGA.5C.A9VG.01A.11R.A37K.07,0.800608505739008,0.501510686810996,0.40717832304435,-720.272902953587,-804.546566940063,-1524.81946989365,0.928233225478138
TCGA.BC.A3KF.01A.11R.A213.07,0.790081908671768,0.841705602200012,0.558554229483208,-988.995430283997,-527.25357882247,-1516.24900910647,0.927764500160781
TCGA.G3.A7M9.01A.23R.A352.07,0.49952528196067,0.348998879062765,0.667474411909029,-1219.13179344301,-676.989326416748,-1896.12111985976,0.947119812368446
TCGA.2Y.A9H7.01A.11R.A39D.07,0.691369245440967,0.645103460074147,0.676073408911976,-1200.96680115203,-325.263657888954,-1526.23045904099,0.92831025277608
TCGA.DD.AAVW.01A.11R.A41C.07,0.649603067626142,0.667782534972904,0.433779217429669,-7.78420415652827,330.942839092155,323.158634935626,0.794615010985793
TCGA.DD.A4NB.01A.12R.A266.07,0.770759392642817,0.627054441072265,0.412925424267501,787.152563202039,358.918018784208,1146.07058198625,0.715667443489007
TCGA.PD.A5DF.01A.11R.A27V.07,0.599696321450614,0.720523480572475,0.582828970394686,-103.716660453059,443.800547867351,340.083887414293,0.793104228389598
TCGA.DD.A1EF.01A.11R.A131.07,0.517635220169694,0.612486934393126,0.292309657391444,-918.528416989664,-81.4115246188995,-999.939941608563,0.89684678249537
TCGA.MI.A75G.01A.11R.A32O.07,0.89352776562228,0.803861727770524,0.718651810031366,-1257.12513194306,-708.769034470961,-1965.89416641402,0.950356494685853
TCGA.DD.AADW.01A.11R.A39D.07,0.472558039630041,0.545424559194523,0.380728265765245,-636.277519591688,-648.610551745506,-1284.88807133719,0.914558829748072
TCGA.XR.A8TF.01A.11R.A36F.07,0.821480558702528,0.605697901587634,0.516170115971463,-1241.66029852085,-709.1193498624,-1950.77964838325,0.949663798424059
TCGA.CC.A5UE.01A.11R.A28V.07,0.647279935863749,0.581011276687837,0.847215991668944,-1433.7868200042,-435.632549140498,-1869.4193691447,0.9458548484962
TCGA.DD.A1EL.01A.11R.A155.07,0.699758700978493,0.577482200153017,0.771520090351041,-1440.65042699219,-256.279031421949,-1696.92945841414,0.937334099500309
TCGA.5R.AA1C.01A.11R.A41C.07,0.703285655929811,0.679439718654306,0.631692808330055,-1000.07768416392,-208.393463033564,-1208.47114719749,0.909964592988872
TCGA.DD.AAD8.01A.11R.A41C.07,0.766778816857272,0.707566129600722,0.677315527181508,-1163.18214050681,-312.50494017024,-1475.68708067705,0.925526229155971
TCGA.MR.A520.01A.11R.A266.07,0.810699615500752,0.935205399490934,0.829907155308494,-950.397138305424,-373.99007236332,-1324.38721066874,0.916888468456571
TCGA.G3.AAV5.01A.11R.A37K.07,0.76864736457707,0.63888545054865,0.835037111427298,-1277.76751356228,-530.220184410423,-1807.9876979727,0.942889457146557
TCGA.EP.A3JL.01A.11R.A213.07,0.788530061977271,0.674427170312172,0.823327651929682,-155.44313561671,751.871219411279,596.428083794569,0.769629325668572
TCGA.DD.AADF.01A.11R.A41C.07,0.818219793574253,0.693028639651343,0.906819949890324,-1270.96802766863,-239.799065424577,-1510.76709309321,0.927463919797732
TCGA.XR.A8TC.01A.11R.A36F.07,0.745192193107496,0.709289850873364,0.521641538981482,-970.577712860894,-594.109386572107,-1564.687099433,0.930394294453201
TCGA.ZP.A9D2.01A.11R.A38B.07,0.446560267132809,0.437845368620252,0.339977551402905,-623.236491560123,-78.3703279338748,-701.606819493998,0.876622216443629
TCGA.ZP.A9CY.01A.11R.A38B.07,0.767122366157922,0.854699856802242,0.638542529931884,-279.697051969288,139.008096612931,-140.688955356357,0.834078730631396
TCGA.ZS.A9CD.01A.11R.A37K.07,0.807168694371479,0.718628036235877,0.688772816428833,-484.00790993983,164.981194038819,-319.02671590101,0.84823223427539
TCGA.CC.A3MC.01A.11R.A22L.07,0.709905690767947,0.674432125592659,0.896872044404456,-816.3687594833,-39.278059898322,-855.646819381622,0.88727728515215
TCGA.LG.A9QC.01A.11R.A37K.07,0.64253561244106,0.752803298548734,0.412234488017582,-1070.30063635431,-820.325491072716,-1890.62612742703,0.946860682010905
TCGA.CC.A8HU.01A.11R.A36F.07,0.751820915179864,0.613047096923362,0.539256959223749,-1343.37440397529,-534.773906723286,-1878.14831069857,0.946269971388588
TCGA.DD.A11D.01A.11R.A131.07,0.736881702125377,0.909878029536211,0.615605560990918,-836.43704288048,-475.52944179599,-1311.96648467647,0.916159219116021
TCGA.G3.A25Y.01A.11R.A16W.07,0.528262556448914,0.491942461209521,0.532665525295313,-334.0732287411,76.6183735411555,-257.454855199945,0.84341089086688
TCGA.K7.AAU7.01A.11R.A38B.07,0.476498510916647,0.472421816729473,0.44639175327756,-376.172051611668,289.506722950186,-86.6653286614816,0.829677979653397
TCGA.DD.AAD1.01A.11R.A41C.07,0.48212581870628,0.618717924473809,0.212922703650187,61.8434035421174,733.64829807907,795.491701621187,0.750646588142318
TCGA.DD.AACH.01A.11R.A41C.07,0.566890359312198,0.495255710315293,0.525613603661353,-842.461846089056,-31.4653951578212,-873.927241246877,0.888511749788013
TCGA.2V.A95S.01A.11R.A37K.07,0.507771774762206,0.449590605495621,0.533498068917852,-509.967945553924,1550.94270483777,1040.97475928385,0.726356603805929
TCGA.RC.A7SH.01A.11R.A38B.07,0.523333222651886,0.493603604287618,0.490611878533266,-1311.74059038192,-746.880016888462,-2058.62060727039,0.954503625772712
TCGA.CC.A7IE.01A.21R.A38B.07,0.687203485675329,0.49151376524507,0.490237434641686,-764.133139101847,642.85107843606,-121.282060665787,0.832503872244544
TCGA.BC.A10Q.01A.11R.A131.07,0.169077435084346,0.3048998913422,0.174618314177337,-977.280230958385,-312.800569133111,-1290.0808000915,0.914866851121033
TCGA.FV.A3R2.01A.11R.A22L.07,0.811151708974633,0.840041226688617,0.710370111002047,-1242.80692196495,-370.235822242201,-1613.04274420715,0.932972697546487
TCGA.RC.A7SB.01A.21R.A352.07,0.776891390152755,0.799998140050312,0.835878952318929,-1176.81599402209,-368.115313997105,-1544.9313080192,0.929327387921563
TCGA.5R.AAAM.01A.12R.A41C.07,0.790926471172774,0.863507566160845,0.637343356591444,310.856059124463,541.493619678841,852.349678803304,0.745106212768748
TCGA.DD.AACX.01A.11R.A41C.07,0.736123210210577,0.657167570361288,0.685991014749132,-1299.8003789632,-414.697913131716,-1714.49829209492,0.938229552887093
TCGA.DD.AADQ.01A.11R.A41C.07,0.84200118499981,0.670357619411168,0.665779680116574,-1213.25523034233,-28.6540596954156,-1241.90929003774,0.911989039652407
TCGA.DD.A1EI.01A.11R.A131.07,0.689258213430102,0.703179178593869,0.532345287498513,-287.165512440728,48.4248781829299,-238.740634257798,0.841931815872882
TCGA.DD.AAEE.01A.11R.A41C.07,0.810655659822965,0.679737959558304,0.713686219147755,-1088.13565891749,-589.405812446649,-1677.54147136414,0.936338691612192
TCGA.GJ.A9DB.01A.11R.A37K.07,0.763077226076435,0.817677719578298,0.641090319614392,-376.493354454268,-55.5534017675395,-432.046756221808,0.856901591077621
TCGA.DD.A3A3.01A.11R.A22L.07,0.779365566405103,0.671870547460794,0.766029140288722,-1223.94788083345,-238.972978673972,-1462.92085950742,0.924814976931019
TCGA.ED.A459.01A.11R.A266.07,0.635785583040644,0.7254234153259,0.515640751150278,-924.967231550081,175.694726847047,-749.272504703034,0.879967432154331
TCGA.2Y.A9H5.01A.11R.A38B.07,0.581186255875696,0.666578186102214,0.293292657505019,-465.484317328568,-208.576059442976,-674.060376771544,0.874669407885463
TCGA.DD.AAE0.01A.11R.A41C.07,0.361273591319567,0.279988491732113,0.215796409502567,-814.813356609172,-334.367021642397,-1149.18037825157,0.906321082257347
TCGA.CC.A7IG.01A.11R.A33J.07,0.550295013732759,0.463165805045317,0.686282635722766,-1117.65813105991,14.3006409708185,-1103.3574900891,0.903458149477833
TCGA.DD.A73B.01A.12R.A32O.07,0.800271455062376,0.825778981632156,0.817664820531055,-1168.46361471061,-699.320378053396,-1867.78399276401,0.945776902047628
TCGA.CC.5264.01A.01R.A131.07,0.438608487527767,0.675491955135448,0.533774289104192,-1115.16927308633,-398.616377823233,-1513.78565090956,0.927629505437168
TCGA.BC.A5W4.01A.11R.A28V.07,0.652482890914603,0.749606357641109,0.647803183330098,-1255.0349483359,-990.58106019862,-2245.61600853452,0.962328242741263
TCGA.RC.A7SF.01A.11R.A352.07,0.747011266663685,0.785523689443576,0.840038277296071,-1034.77900642773,-211.999647969021,-1246.77865439675,0.912282014173164
TCGA.DD.A1EE.01A.11R.A131.07,0.716543511026269,0.741170705872599,0.54642656885561,-1204.14657516201,-590.616688247447,-1794.76326340946,0.942241058202914
TCGA.BC.A3KG.01A.11R.A213.07,0.537991824623072,0.628345687208624,0.232875125375161,-1257.48123820691,-497.763753705249,-1755.24499191216,0.940282314319869
TCGA.DD.A119.01A.11R.A131.07,0.891611374027068,0.710501202500149,0.818632744553237,-555.840330180104,-60.4026262028295,-616.242956382934,0.870524174522445
TCGA.DD.AAEK.01A.11R.A41C.07,0.704661053380757,0.839568392318536,0.46616591650075,-377.878994976742,928.641533697659,550.762538720918,0.773891917878822
TCGA.O8.A75V.01A.11R.A32O.07,0.732043205655975,0.760416662676008,0.677331836484433,-406.777255617338,588.50580282523,181.728547207892,0.807046735536874
TCGA.ED.A7PZ.01A.11R.A33R.07,0.866869598697347,0.604427505178276,0.401767696654215,-1595.26854214534,-879.408966240469,-2474.67750838581,0.970924517997394
TCGA.ED.A97K.01A.21R.A38B.07,0.391852331520669,0.533021976654729,0.37018518243131,-474.838493547454,89.7667461918495,-385.071747355605,0.853326814055519
TCGA.DD.A1EA.01A.11R.A131.07,0.738655299627255,0.750842339083876,0.398728144124264,-965.26049794122,185.93003778843,-779.330460152791,0.882054785846953
TCGA.DD.A118.01A.11R.A131.07,0.662443399123922,0.643254860941681,0.248193357386439,-503.141072621817,-443.245357071262,-946.386429693079,0.893341847392979
TCGA.DD.A4NG.01A.11R.A27V.07,0.561609363496719,0.791038477726231,0.529919104163101,-1066.96791625392,-66.681405157629,-1133.64932141155,0.905355316611553
TCGA.DD.A4NJ.01A.11R.A27V.07,0.681156076842401,0.675945113141317,0.679615080397293,-376.568697846697,377.98459399704,1.41589615034377,0.822391151241969
TCGA.DD.AADG.01A.11R.A41C.07,0.772554943858798,0.757455616331301,0.351623100204639,-1177.86777657238,-835.411925035851,-2013.27970160823,0.952497829017059
TCGA.K7.A6G5.01A.11R.A311.07,0.833313569887155,0.883528656102685,0.864774565095524,-602.531385979198,276.977250936698,-325.5541350425,0.848739304210061
TCGA.BC.A10T.01A.11R.A131.07,0.824877222541573,0.700902253850073,0.829826667411524,-107.133741266566,-320.070117349459,-427.203858616025,0.856534929531082
TCGA.HP.A5N0.01A.11R.A28V.07,0.738205409586374,0.77183203687158,0.535889938955823,63.3562500296689,56.1900186771452,119.546268706814,0.812402798145063
TCGA.FV.A496.01A.11R.A266.07,0.678306746949168,0.783181598304622,0.611988567595473,-1334.10919277564,-776.59648668001,-2110.70567945565,0.956755584865635
TCGA.DD.AACV.01A.11R.A41C.07,0.773460649075103,0.777742109142287,0.656272136246051,-1413.43573389841,-1123.81685451862,-2537.25258841703,0.973082358849032
TCGA.3K.AAZ8.01A.12R.A39D.07,0.838788115855721,0.756270751961524,0.579866990152661,-1250.71097997222,-215.144292948978,-1465.8552729212,0.92497875122696
TCGA.UB.A7MF.01A.11R.A33J.07,0.785569409403615,0.633056422572948,0.49852384280444,-659.208716646902,1196.90689967762,537.698183030719,0.775105004841113
TCGA.DD.A1EK.01A.11R.A213.07,0.716588956996792,0.871264420849621,0.448047126683087,-450.803362872363,303.806705424758,-146.996657447605,0.834589140151757
TCGA.DD.AAE6.01A.11R.A41C.07,0.816730962391148,0.698138665821382,0.851251964650595,-1504.23537763319,-1198.06666927191,-2702.3020469051,0.978379621245888
TCGA.MI.A75C.01A.11R.A32O.07,0.810416018733692,0.637509915536165,0.878033248443578,-1399.39039509481,23.4424850674517,-1375.94791002736,0.919883101583549
TCGA.DD.A3A4.01A.11R.A22L.07,0.968954011437116,0.734175819600096,0.844162742980127,-1037.54682736302,-725.833973132188,-1763.38080049521,0.940688158542264
TCGA.DD.A113.01A.11R.A131.07,0.760008132943855,0.673507607978986,0.689780242695742,-812.201764959669,43.9368934375717,-768.264871522098,0.881288338745866
TCGA.DD.AACE.01A.11R.A41C.07,0.676428120183494,0.759743386163109,0.344837338106784,-971.594763274311,-550.758773917713,-1522.35353719202,0.928098512161913
TCGA.UB.A7MB.01A.11R.A33R.07,0.688070893497613,0.783445541646021,0.754037585145814,-1287.52096954814,-765.131009208248,-2052.65197875639,0.954241999471201
TCGA.ED.A66X.01A.11R.A311.07,0.645803553199014,0.631850545282225,0.509403370655432,91.9604520877243,451.31580461047,543.276256698195,0.774587402877514
TCGA.QA.A7B7.01A.11R.A32O.07,0.704024192521329,0.642923481200346,0.607860122624259,-1373.98254949009,-523.663560691547,-1897.64611018163,0.94719161794172
TCGA.G3.A25S.01A.11R.A16W.07,0.824838980833277,0.614228388686579,0.817028092643141,-1117.49817018522,50.566644220742,-1066.93152596448,0.901153152575339
TCGA.DD.A4NE.01A.11R.A27V.07,0.643863209895452,0.795048427460695,0.708753017794791,-926.523982879816,-420.180208263752,-1346.70419114357,0.918191090165342
TCGA.FV.A495.01A.11R.A266.07,0.80732693079759,0.649037494716484,0.809550666154262,-57.2198643971931,684.799657040269,627.579792643076,0.766701655848653
TCGA.G3.A25U.01A.11R.A16W.07,0.720918294744215,0.718702283470859,0.736835417761319,-1246.531086371,-673.650439048053,-1920.18152541905,0.948247183804941
