,StromalScore,ImmuneScore,ESTIMATEScore,sample_name,TumourPurity
TCGA.CC.5260.01A.01R.A131.07,-138.654541460241,196.968356715932,58.3138152556917,TCGA-CC-5260,0.817610908926625
TCGA.DD.AADU.01A.11R.A41C.07,-1242.68255448322,-456.233085778652,-1698.91564026187,TCGA-DD-AADU,0.937435644442976
TCGA.G3.A3CJ.01A.11R.A213.07,-888.526733708694,-307.228434898261,-1195.75516860696,TCGA-G3-A3CJ,0.909188972816838
TCGA.BD.A3EP.01A.11R.A22L.07,-23.9445000007562,825.802210881705,801.857710880949,TCGA-BD-A3EP,0.750028861526107
TCGA.DD.AACK.01A.11R.A41C.07,-1176.39766698068,-394.64234448811,-1571.04001146879,TCGA-DD-AACK,0.930735719730444
TCGA.DD.A3A5.01A.11R.A22L.07,-812.610590386016,-402.544189246657,-1215.15477963267,TCGA-DD-A3A5,0.910370994970205
TCGA.CC.A123.01A.11R.A131.07,-1009.66717371273,-184.559748161555,-1194.22692187429,TCGA-CC-A123,0.909095543039475
TCGA.DD.AACY.01A.11R.A41C.07,-935.504052802479,-230.581419423422,-1166.0854722259,TCGA-DD-AACY,0.907366935256104
TCGA.UB.AA0V.01A.11R.A38B.07,-65.5325363108058,102.426279271926,36.8937429611206,TCGA-UB-AA0V,0.819417214504127
TCGA.CC.A7IH.01A.11R.A33J.07,-1067.871573568,-876.966172150768,-1944.83774571877,TCGA-CC-A7IH,0.949390201592034
TCGA.BC.A8YO.01A.11R.A37K.07,-1014.36503809598,670.518184723022,-343.846853372954,TCGA-BC-A8YO,0.850156185626349
TCGA.DD.AACI.01A.11R.A41C.07,-268.572802602932,1251.17596248336,982.603159880425,TCGA-DD-AACI,0.732218998109836
TCGA.G3.AAV1.01A.11R.A38B.07,-998.367542199162,-580.227025306321,-1578.59456750548,TCGA-G3-AAV1,0.931140671568578
TCGA.RC.A7S9.01A.11R.A33R.07,-1128.11091687674,-70.6694538934266,-1198.78037077017,TCGA-RC-A7S9,0.909373784436689
TCGA.2Y.A9H9.01A.21R.A39D.07,-902.942930740676,-234.225349287119,-1137.16828002779,TCGA-2Y-A9H9,0.905574548020712
TCGA.DD.AAEB.01A.11R.A41C.07,-888.191313313856,-187.469973511012,-1075.66128682487,TCGA-DD-AAEB,0.901707912530305
TCGA.EP.A3RK.01A.11R.A22L.07,-163.316663529326,1161.56241351764,998.245749988312,TCGA-EP-A3RK,0.730653231531136
TCGA.MI.A75H.01A.11R.A32O.07,-737.11537623544,405.91510231224,-331.2002739232,TCGA-MI-A75H,0.849177285120794
TCGA.DD.AAEI.01A.11R.A41C.07,-792.302493491735,123.611011544681,-668.691481947054,TCGA-DD-AAEI,0.874287132640765
TCGA.G3.A25Z.01A.11R.A16W.07,-627.087112005531,-84.0067469917222,-711.093858997254,TCGA-G3-A25Z,0.877291450374517
TCGA.FV.A3R3.01A.11R.A22L.07,279.844369080953,282.194380967921,562.038750048874,TCGA-FV-A3R3,0.772842580002363
TCGA.2Y.A9GW.01A.11R.A38B.07,-200.439540042226,916.426290404269,715.986750362044,TCGA-2Y-A9GW,0.75830597760464
TCGA.ZS.A9CG.01A.11R.A37K.07,-928.360845388649,-400.227570632309,-1328.58841602096,TCGA-ZS-A9CG,0.917134441186052
TCGA.ZP.A9D0.01A.11R.A37K.07,-904.764038324919,-643.50194372391,-1548.26598204883,TCGA-ZP-A9D0,0.929508024646552
TCGA.DD.AADC.01A.11R.A41C.07,-1222.65830164674,-566.367857613237,-1789.02615925998,TCGA-DD-AADC,0.941958661423166
TCGA.DD.AAD6.01A.11R.A41C.07,-1401.23699822338,-462.878285280659,-1864.11528350404,TCGA-DD-AAD6,0.945601843203224
TCGA.DD.AACD.01A.11R.A41C.07,-370.159937352865,523.864103843457,153.704166490592,TCGA-DD-AACD,0.809468961758359
TCGA.NI.A8LF.01A.11R.A36F.07,-536.742159893028,-365.346778903085,-902.088938796113,TCGA-NI-A8LF,0.89040096772032
TCGA.ZP.A9D4.01A.11R.A37K.07,-1032.81373846382,-689.931044236688,-1722.74478270051,TCGA-ZP-A9D4,0.938647710926895
TCGA.DD.AAE7.01A.11R.A41C.07,-447.124821604139,308.894379699004,-138.230441905134,TCGA-DD-AAE7,0.833879597829951
TCGA.DD.A39Z.01A.11R.A213.07,-1348.28486754498,-702.579916517396,-2050.86478406238,TCGA-DD-A39Z,0.954163517837645
TCGA.EP.A2KA.01A.11R.A180.07,-857.780793409048,887.988581707233,30.2077882981849,TCGA-EP-A2KA,0.819979367661994
TCGA.G3.A3CH.01A.11R.A22L.07,-557.078673461264,-14.1934208763151,-571.272094337579,TCGA-G3-A3CH,0.867256610949637
TCGA.DD.A3A9.01A.11R.A266.07,-288.035406196972,281.06330871401,-6.97209748296217,TCGA-DD-A3A9,0.823091019284914
TCGA.DD.AAC8.01A.11R.A41C.07,-1118.84898144041,-129.470185243369,-1248.31916668378,TCGA-DD-AAC8,0.912374604966638
TCGA.BC.A216.01A.11R.A155.07,-899.220472138267,359.959149409175,-539.261322729093,TCGA-BC-A216,0.864907689491305
TCGA.DD.AADV.01A.11R.A39D.07,-643.574947048094,-278.278399215238,-921.853346263331,TCGA-DD-AADV,0.891717771746598
TCGA.DD.AAE2.01A.11R.A41C.07,-407.1990469766,325.069141305921,-82.1299056706783,TCGA-DD-AAE2,0.829306147418473
TCGA.G3.AAV7.01A.11R.A38B.07,-783.021254929921,469.543275454159,-313.477979475762,TCGA-G3-AAV7,0.847800579059129
TCGA.CC.A9FU.01A.11R.A37K.07,-1525.49430884151,-694.50504819703,-2219.99935703854,TCGA-CC-A9FU,0.961299072380863
TCGA.5C.A9VH.01A.11R.A37K.07,-441.873655045569,-333.569187191371,-775.442842236941,TCGA-5C-A9VH,0.881785778892174
TCGA.WX.AA44.01A.11R.A39D.07,-998.655811632798,-68.0900018305015,-1066.7458134633,TCGA-WX-AA44,0.901141334815926
TCGA.BC.A10Y.01A.11R.A131.07,-1076.23712276146,-78.5230638948043,-1154.76018665626,TCGA-BC-A10Y,0.906666900837244
TCGA.DD.A1EG.01A.11R.A213.07,-219.905616661145,738.325134564617,518.419517903472,TCGA-DD-A1EG,0.776889911609838
TCGA.2Y.A9GY.01A.11R.A38B.07,-875.356897637185,1162.46414293887,287.107245301686,TCGA-2Y-A9GY,0.797816670017314
TCGA.DD.A4NO.01A.11R.A28V.07,-643.562406302153,-296.329170099473,-939.891576401626,TCGA-DD-A4NO,0.892913018621301
TCGA.DD.AACW.01A.11R.A41C.07,-1193.31525323199,-452.191563591602,-1645.50681682359,TCGA-DD-AACW,0.934677371701126
