,sample_subtypes,scores_aa_df$amino_acid,scores_lp_df$lipid,scores_nt_df$nucleotide
TCGA-DD-AADW-01A-11R-A39D-07,1,0.472558039630041,0.545424559194523,0.380728265765245
TCGA-XR-A8TF-01A-11R-A36F-07,2,0.821480558702528,0.605697901587634,0.516170115971463
TCGA-CC-A5UE-01A-11R-A28V-07,1,0.647279935863749,0.581011276687837,0.847215991668944
TCGA-DD-A1EL-01A-11R-A155-07,1,0.699758700978493,0.577482200153017,0.771520090351041
TCGA-5R-AA1C-01A-11R-A41C-07,2,0.703285655929811,0.679439718654306,0.631692808330055
TCGA-DD-AAD8-01A-11R-A41C-07,2,0.766778816857272,0.707566129600722,0.677315527181508
TCGA-MR-A520-01A-11R-A266-07,2,0.810699615500752,0.935205399490934,0.829907155308494
TCGA-G3-AAV5-01A-11R-A37K-07,1,0.76864736457707,0.63888545054865,0.835037111427298
TCGA-EP-A3JL-01A-11R-A213-07,2,0.788530061977271,0.674427170312172,0.823327651929682
TCGA-DD-AADF-01A-11R-A41C-07,2,0.818219793574253,0.693028639651343,0.906819949890324
TCGA-XR-A8TC-01A-11R-A36F-07,2,0.745192193107496,0.709289850873364,0.521641538981482
TCGA-ZP-A9D2-01A-11R-A38B-07,1,0.446560267132809,0.437845368620252,0.339977551402905
TCGA-ZP-A9CY-01A-11R-A38B-07,2,0.767122366157922,0.854699856802242,0.638542529931884
TCGA-ZS-A9CD-01A-11R-A37K-07,2,0.807168694371479,0.718628036235877,0.688772816428833
TCGA-CC-A3MC-01A-11R-A22L-07,2,0.709905690767947,0.674432125592659,0.896872044404456
TCGA-LG-A9QC-01A-11R-A37K-07,2,0.64253561244106,0.752803298548734,0.412234488017582
TCGA-CC-A8HU-01A-11R-A36F-07,1,0.751820915179864,0.613047096923362,0.539256959223749
TCGA-DD-A11D-01A-11R-A131-07,2,0.736881702125377,0.909878029536211,0.615605560990918
TCGA-G3-A25Y-01A-11R-A16W-07,1,0.528262556448914,0.491942461209521,0.532665525295313
TCGA-K7-AAU7-01A-11R-A38B-07,1,0.476498510916647,0.472421816729473,0.44639175327756
TCGA-DD-AAD1-01A-11R-A41C-07,1,0.48212581870628,0.618717924473809,0.212922703650187
TCGA-DD-AACH-01A-11R-A41C-07,1,0.566890359312198,0.495255710315293,0.525613603661353
TCGA-2V-A95S-01A-11R-A37K-07,1,0.507771774762206,0.449590605495621,0.533498068917852
TCGA-RC-A7SH-01A-11R-A38B-07,1,0.523333222651886,0.493603604287618,0.490611878533266
TCGA-CC-A7IE-01A-21R-A38B-07,1,0.687203485675329,0.49151376524507,0.490237434641686
TCGA-BC-A10Q-01A-11R-A131-07,1,0.169077435084346,0.3048998913422,0.174618314177337
TCGA-FV-A3R2-01A-11R-A22L-07,2,0.811151708974633,0.840041226688617,0.710370111002047
TCGA-RC-A7SB-01A-21R-A352-07,2,0.776891390152755,0.799998140050312,0.835878952318929
TCGA-5R-AAAM-01A-12R-A41C-07,2,0.790926471172774,0.863507566160845,0.637343356591444
TCGA-DD-AACX-01A-11R-A41C-07,2,0.736123210210577,0.657167570361288,0.685991014749132
TCGA-DD-AADQ-01A-11R-A41C-07,2,0.84200118499981,0.670357619411168,0.665779680116574
TCGA-DD-A1EI-01A-11R-A131-07,1,0.689258213430102,0.703179178593869,0.532345287498513
