sampleName,riskScore,Angiogenesis,Antigen processing machinery,CD8 T effector,Cell cycle,Cell cycle regulators,DNA damage repair,DNA replication,EMT_1,EMT_2,EMT_3,Fanconi anemia,FGFR3-related genes,Homologous recombination,Immune checkpoint,Mismatch repair,Nucleotide excision repair,Pan-F-TBRS,WNT target
L012P,2.6662689730495,0.502541533476955,0.728214257169641,0.572888985031354,0.568528730260261,0.606733460329859,0.581183218411822,0.606931172274095,0.598628993965778,0.44868269643229,0.499281088459457,0.52182088090003,0.347077943021975,0.548150633812769,0.481618383637943,0.611681145433206,0.636703748553038,0.648294682816681,0.655989231119658
L012T,25.924193654573,0.541496687591041,0.730361195119541,0.492214128861981,0.604241228007005,0.658685568949256,0.613779145320036,0.643978619022257,0.572735743563397,0.436445195515111,0.410016302749141,0.562088329616185,0.0131555158088185,0.590557328418777,0.405301235115494,0.6375662717259,0.655929534860875,0.644474569847138,0.558686372687825
L014P,0.680043851222365,0.51388904408008,0.675080007236888,0.484942837458827,0.558797925030054,0.594392223604275,0.587535552091682,0.599132408912658,0.572582012407281,0.410319777288952,0.455453016433285,0.518401391418663,0.098608584599698,0.544625092763873,0.41779325481341,0.606724949497787,0.638404443603297,0.624485851944917,0.645003203450967
L014T,2.44998201912804,0.53140704395482,0.701184205792562,0.468577077717431,0.641256086063603,0.663764980851433,0.617482467312931,0.679312276840412,0.5827096572828,0.447151755979149,0.456889866411885,0.568549027691021,0.0751558437604612,0.605337245286669,0.328554279004329,0.675786251791822,0.668297760524161,0.64606445316583,0.611773873318736
L016P,1.5100008558055,0.540785012235636,0.761667112294933,0.413405103668119,0.620093316674552,0.607456181337747,0.604374392233771,0.647367207890464,0.557014582458945,0.453951289522679,0.333995194729363,0.554518692450215,0.0998932642338813,0.579047922100637,0.370679222937468,0.637547377379037,0.642254005396333,0.633779171177373,0.584067958733547
L016T,0.270222999526558,0.53916265427851,0.721358370859221,0.556304531760075,0.558228294268971,0.586015549175523,0.581775436568343,0.601992262106566,0.528578683257593,0.430669143540338,0.352086502153153,0.524550842721863,0.37989375370835,0.546272334654162,0.455806422944508,0.596334490077952,0.628114369069264,0.630175757945032,0.639008194142166
L017P,0.095725797886244,0.622342301397968,0.713578247694502,0.499846598129415,0.592514985720321,0.629866367245361,0.576978383813431,0.594729202293221,0.659483076373354,0.491956898238604,0.551292620974823,0.513704261495535,0.422527761871894,0.54846318540911,0.464833192407497,0.59255561129096,0.623555940235691,0.679797210375611,0.687216457027564
L017T,8.05713393841048,0.451316948771922,0.717407894502979,0.471097776527355,0.67525602343469,0.612722115853168,0.637069474640912,0.719710324449257,0.499027852605994,0.406362231826685,0.484204611548393,0.596672288014722,0.327501454909289,0.640143303932448,0.444493332390153,0.682910844535168,0.669657500685542,0.625377475427627,0.667969422399622
L019P,1.33552046260015,0.543013265385977,0.698195728087875,0.467932390495392,0.604868641096335,0.612096571302744,0.604298473587806,0.629317798417536,0.655254316150436,0.467227656160835,0.512641671996265,0.538943650547058,0.354570141561315,0.575173602304177,0.342736055246045,0.624008300793868,0.641895694021024,0.642802715022633,0.647872232331769
L019T,0.918435411540426,0.546032716571151,0.735241367817486,0.62661561656617,0.587961955930277,0.624273434574888,0.586334879944627,0.61790799520145,0.659744251656116,0.46328991114154,0.532075885208541,0.532175630957384,0.391637797244006,0.549628875188529,0.493699139852252,0.605294089888279,0.629057426849525,0.636625816318754,0.683781351238633
L021P,0.479267685656154,0.561955352849964,0.682468022113594,0.48564050495676,0.560644003185363,0.591298673346658,0.584925123576052,0.590420797821998,0.633470626682502,0.387177709825307,0.523678057924898,0.523820023717462,0.400533583555652,0.53691660970692,0.38380000409197,0.588616733419158,0.629686435579855,0.639686062346595,0.670107571687697
L021T,0.103975978692188,0.615394455235512,0.709259022951649,0.467068845171842,0.634057260977442,0.652257801033908,0.594399713263472,0.643971328757496,0.6362590355479,0.622473531218097,0.611248897672212,0.546387071056191,0.358655569251031,0.57665965146502,0.422544753410402,0.623529371466765,0.626326475944572,0.747891922482342,0.676354008946734
L023P,0.244353661224364,0.542623553459178,0.707739209686751,0.591880510018655,0.578521028792303,0.613753846341955,0.585810231000927,0.606751848970637,0.634264559165279,0.460019002486785,0.518014952973634,0.524002370985605,0.411857545672059,0.545129441475799,0.478864386295534,0.604529513350707,0.629567470331248,0.632114110333898,0.63742367431195
L023T,0.0106828776377925,0.576566645638942,0.709348640522792,0.463187425130293,0.598883169035866,0.631680754286232,0.596319945955097,0.603988118245657,0.591518448295364,0.476965096617758,0.470503030272954,0.524636921888487,0.121591129651371,0.548164167997613,0.355555425580316,0.594494430334645,0.6251566691544,0.663602241308143,0.609252883332077
L024P,0.224256805232521,0.551392590781406,0.718416376290398,0.562701841921819,0.5874075135667,0.616586939832834,0.579503651452702,0.611393565988481,0.627963060047133,0.465360841380272,0.503638253724817,0.515932679598613,0.420942702667538,0.540633448716727,0.476387946396252,0.601414481378562,0.626887390094076,0.638980247331549,0.661217708387132
L024T,0.49600911005716,0.614290039165634,0.685507478856286,0.417726731973807,0.606133633759063,0.610959245249088,0.60183725769182,0.633420595503983,0.5244984249926,0.460744276457207,0.506368396190726,0.533526668419372,0.139146104513861,0.56811176163205,0.363036133180531,0.627207965477007,0.644244684147583,0.65075301865183,0.579574263316203
L025P,0.557591656951241,0.548247896925191,0.688747098970849,0.476198930410035,0.555036698176976,0.603490448338083,0.573115533238315,0.572486478165361,0.58990166388852,0.431167732194834,0.477629790845878,0.494476427838082,0.374273183985617,0.487839705927616,0.430605977035165,0.566619142978745,0.616825439948593,0.616649068647283,0.667677293172414
L025T,2.65479089775159,0.520009310989225,0.711017150566355,0.428407982106778,0.588381885269441,0.628441354602887,0.604344325471447,0.622233532239873,0.488798734054644,0.435104334567875,0.332802382429379,0.552441297695738,0.0867465098956097,0.562884959704617,0.335265941081425,0.631206557748297,0.648317978134175,0.63666112096829,0.606932828809565
L026P,0.166812857031813,0.515540602385121,0.713597845619042,0.54731661056352,0.553432268122877,0.605697452220731,0.582309629880004,0.589963023149093,0.619614303697276,0.425553853590707,0.478436188698446,0.519032831035551,0.385269150255079,0.542695916443954,0.432495126748839,0.597578223431424,0.630730802656029,0.627471950073458,0.638656959331188
L026T,1.22571193103192,0.519586416994932,0.727961933429576,0.471179597309541,0.627241561794299,0.663691320782758,0.621547732926341,0.661790619703225,0.606840032511508,0.362259524948658,0.404470692608043,0.567142391463949,0.0975688160528562,0.590113794674918,0.409149126138116,0.660132355720777,0.662977622219988,0.62743250777032,0.591889654783261
L028P,1.00149525319794,0.499578457249762,0.688753702607479,0.532485951837746,0.566711764756581,0.609446565661446,0.584670094892681,0.597455360304594,0.617800938021774,0.423780220204957,0.4850857042895,0.518169563350706,0.371347920515753,0.545203688545699,0.443319126591594,0.596925752598504,0.634377484910935,0.610601885258395,0.628443657258271
L028T,0.00928788738923052,0.486006831035518,0.700854387937002,0.556857748952168,0.633538090619158,0.659212561770595,0.624457194579989,0.661716029127849,0.543212870630842,0.457959187678294,0.428873840434122,0.564768539044532,0.346298935467104,0.610173143875879,0.446775865805549,0.642235941164313,0.660596030515859,0.630510258365252,0.616833882171524
L030P,5.11656684139722,0.460210777909058,0.702440604291363,0.492002913600868,0.567057982895719,0.612765854632782,0.596277213651292,0.60407176741082,0.588531605155412,0.382340711394987,0.431918728080429,0.532679377307113,0.129667565710446,0.542922482677051,0.399143546962154,0.617798353925236,0.646034993510365,0.580767509858889,0.653730500715037
L030T,0.705588578508007,0.537140698400321,0.716516711467102,0.592973148805864,0.628888223726428,0.630249615837829,0.614530822653922,0.652281100733752,0.502640388593544,0.207480470539467,0.321409803129468,0.560788349875122,0.127719214331349,0.588456012612747,0.430710219458464,0.637239268320561,0.648026796639638,0.629665083249925,0.588320192494362
L032P,1.81953082009949,0.55650924444708,0.683706035212496,0.450826547700503,0.557540765609198,0.604793441224462,0.561160738098003,0.574240104091409,0.534932783100609,0.39008367912236,0.362533624370602,0.506951561423087,0.147168739875876,0.520378467969122,0.478542798159735,0.561048861450075,0.610690671366992,0.623774847603425,0.634225337640466
L032T,0.717723894424502,0.46876614253535,0.696246949991072,0.371714458399253,0.64453191902949,0.677190111112335,0.61144378673068,0.641109774918796,0.579506958658692,0.365519765837762,0.442776970525121,0.544404827567822,0.188969995083154,0.56577294818582,0.109950498778493,0.623018290876599,0.630117997491803,0.617053074063076,0.607045815363051
