,amino_acid,lipid,nucleotide,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
TCGA.DD.A1EL.01A.11R.A155.07,0.699758700978493,0.577482200153017,0.771520090351041,-0.32923519184289,-0.0206209090254431,0.131756664248952,0.286801453961054,0.224857523625527,0.267366233493823,0.325160518165746,0.275530458592203,-0.116717602743696,0.0187094137112819,-0.211778522808564,0.252227925970101,0.14936054767,0.246015433568403,-0.0202516813326266,-0.151034307137024,0.0430582960676732,0.0776990778039144,0.444132270941493,0.23298602451053,0.0834428371884827,-0.328778100245279,0.371581018967695,0.137489712642558,0.0467270426367118,-0.0194099454028201,-0.076207199687014,-0.12065876391159
TCGA.5R.AA1C.01A.11R.A41C.07,0.703285655929811,0.679439718654306,0.631692808330055,-0.306050341499937,-0.131782121183642,0.145474279117078,0.159214865035598,0.245956195116826,0.345878604253326,0.204861597526975,0.274323344355458,-0.169836461954825,0.123635101273555,-0.210851229120595,0.176647657668686,0.0744286062312186,0.264453903815711,-0.122231600975059,-0.122332118993283,-0.00689467233957049,-0.0851223161868959,0.418073935496017,0.238882200861908,-0.0307479549162259,-0.276244874170797,0.272293443279181,0.0198970805037122,0.0573952259313271,-0.0188832916775323,0.0342816770603711,-0.0783696869468706
TCGA.DD.AAD8.01A.11R.A41C.07,0.766778816857272,0.707566129600722,0.677315527181508,-0.304840919302861,-0.00411238548860586,0.130794293430702,0.185369938282657,0.224375534942449,0.4230836178505,0.314257808851419,0.32264822244626,-0.141827690457326,-0.00271580242468016,-0.164258244975454,0.243826445780681,-0.00390102618821361,0.237044750905071,0.0458424407760064,-0.123157348160986,0.0794680889711188,0.0174100457446524,0.417521182609882,0.356488207266773,0.0209621846632501,-0.0637799523356582,0.34490538722814,-0.195843583099996,0.00355152818209879,0.0279390217394245,0.0610391950380691,-0.127182377781391
TCGA.MR.A520.01A.11R.A266.07,0.810699615500752,0.935205399490934,0.829907155308494,-0.294249840090839,-0.208470305301606,0.121977168377414,0.176372890160985,0.200414730420705,0.414968911196214,0.23473037804222,0.2564747991588,-0.163895069275988,0.0012201683911528,-0.231735291215424,0.163047142671537,-0.0522208672688837,0.280857126800268,-0.0620515935781878,-0.133451601780841,0.0575694371990508,0.0721572174572324,0.47053218477634,0.279089039327675,-0.0704835014062529,-0.0783561667934583,0.302440216603308,-0.0169275018390937,0.0126034123684189,-0.0498499683564187,0.0216114588634154,-0.0471878008787782
TCGA.G3.AAV5.01A.11R.A37K.07,0.76864736457707,0.63888545054865,0.835037111427298,-0.304091087081721,-0.0705242562818752,0.152794753061177,0.164060237077545,0.257959336546978,0.379406776386645,0.267323252253859,0.260183916796752,-0.0804832749633059,-0.0291940584896568,-0.126110250024141,0.181435505480535,-0.0385750552218049,0.260757934735462,-0.0886858588897368,-0.168950685173361,0.0246093053909211,0.124686083511654,0.418616731187631,0.168244778661712,-0.0250041757338304,-0.318464409273305,0.204389749684241,-0.0866629205175324,-0.0439498980920347,-0.045420716369602,0.0276929808626007,-0.104276954889119
TCGA.EP.A3JL.01A.11R.A213.07,0.788530061977271,0.674427170312172,0.823327651929682,-0.247479368500951,0.115019863378486,0.241280118650213,0.31926135277976,0.239508222037449,0.438664853503446,0.345320818771209,0.373408335130385,-0.122108734541264,0.133225859823864,-0.215547378481202,0.246709145406251,0.153660307832704,0.258925309397874,0.0923967430675346,-0.125713948645937,0.331838756677519,0.0866699756502168,0.4390313191302,0.332825317954834,0.134073416412127,-0.0731619892182292,0.334353606637791,0.149795432147986,0.10634196965875,0.0113321254342785,0.0200355416027676,-0.157962170855291
TCGA.DD.AADF.01A.11R.A41C.07,0.818219793574253,0.693028639651343,0.906819949890324,-0.227052505798211,-0.0482590481906212,0.217198952556554,0.163356411854101,0.284406196526036,0.350307826934375,0.244028124360054,0.330506716201393,-0.0937672847542372,0.0554524692520343,-0.242447925968468,0.22387979354983,0.012310119977506,0.236782659312387,0.0119500353578702,-0.156196773884119,0.138963395468158,0.0192208869414247,0.435566964845948,0.331263021969586,-0.0414801886070809,-0.133535146797801,0.302856628138847,-0.121056721872913,-0.0440837951902021,-0.0687059510400667,0.032947043639034,-0.115368353031897
TCGA.XR.A8TC.01A.11R.A36F.07,0.745192193107496,0.709289850873364,0.521641538981482,-0.299377480955649,-0.0186874743805172,0.0605554651422597,0.147562423232708,0.18338673387,0.419399401286688,0.274508452138567,0.335286228146743,-0.210636339726504,-0.0619684061723365,-0.147141880662911,0.189090649876691,-0.0562810265841086,0.173726572189548,-0.039609698717032,-0.205033340298198,-0.0136151072846338,0.11548460093919,0.478068617657688,0.321691848982927,0.00901682484336022,-0.125537421974409,0.268803863539837,-0.164332330440363,-0.00385244111538846,-0.071317434096412,-0.0425745570028732,-0.0961467146315954
TCGA.ZP.A9D2.01A.11R.A38B.07,0.446560267132809,0.437845368620252,0.339977551402905,-0.216203236603211,-0.0400133404109269,0.0521824113435474,0.174612614700545,0.255949826147469,0.387488258374158,0.423007427767163,0.268126375668909,-0.0632711287456174,0.051310875477153,-0.308928964257007,0.146884780561762,-0.00844855310518712,0.266797829771226,-0.0891658328425532,-0.0718133282937673,0.100808020440825,-0.185271003246762,0.488751503009413,0.384908876993777,0.0862055649982068,-0.232454092677174,0.418593851973564,-0.0481402567444943,0.0772157214207885,0.0116373077913547,0.0177430338511903,-0.00483707031716978
TCGA.ZP.A9CY.01A.11R.A38B.07,0.767122366157922,0.854699856802242,0.638542529931884,-0.259113395005676,-0.0874068274593838,0.0947086375669057,0.310903180883997,0.225607674186955,0.379029972034069,0.339868862365846,0.350023477108905,-0.174626705605399,0.0975750671038163,-0.296779795985368,0.215666507718548,0.0541761915289849,0.265879754001801,0.0505512608898284,-0.128020983608844,0.142510344874901,0.0403534276707059,0.454061660527361,0.360449423498059,0.0595322685792694,-0.0586429608629012,0.304423408041462,0.121760777001481,0.0348787473266548,0.047646716818862,0.0340686754003575,-0.106726852099916
