,x
617,NUDT9
618,OAT
619,OAZ1
620,OAZ2
621,OCA2
622,OCRL
623,ODC1
624,OGDH
625,OLAH
626,ORMDL1
627,ORMDL2
628,ORMDL3
629,OSBPL1A
630,OSBPL2
631,OSBPL3
632,OSBPL5
633,OSBPL6
634,OSBPL8
635,OSBPL9
636,OSBP
637,OTC
638,OXCT1
639,P4HB
640,PAH
641,PAICS
642,PAOX
643,PAPSS1
644,PAPSS2
645,PCBD1
646,PCCA
647,PCCB
648,PCSK5
649,PCSK6
650,PCSK9
651,PCTP
652,PCYT1A
653,PCYT1B
654,PCYT2
655,PDHA1
656,PDHB
657,PDHX
658,PDSS1
659,PDSS2
660,PECR
661,PEMT
662,PEX11A
663,PFAS
664,PGS1
665,PHGDH
666,PHYH
667,PI4K2A
668,PI4K2B
669,PI4KA
670,PI4KB
671,PIK3C2A
672,PIK3C2B
673,PIK3C2G
674,PIK3C3
675,PIK3CA
676,PIK3CB
677,PIK3CD
678,PIK3CG
679,PIK3R1
680,PIK3R3
681,PIK3R4
682,PIKFYVE
683,PIP4K2A
684,PIP4K2B
685,PIP4K2C
686,PIP5K1A
687,PIP5K1B
688,PIP5K1C
689,PIPOX
690,PISD
691,PITPNB
692,PITPNM1
693,PITPNM2
694,PLA1A
695,PLA2G12A
696,PLA2G1B
697,PLA2G2A
698,PLA2G2D
699,PLA2G2E
700,PLA2G4A
701,PLA2G4C
702,PLA2G5
703,PLA2G6
704,PLBD1
705,PLD1
706,PLD2
707,PLD3
708,PLD4
709,PLD6
710,PLEKHA1
711,PLEKHA2
712,PLEKHA3
713,PLEKHA4
714,PLEKHA5
715,PLEKHA6
716,PLEKHA8
717,PLIN1
718,PLIN2
719,PLIN3
720,PLTP
721,PMVK
722,PNLIP
723,PNMT
724,PNPLA2
725,PNPLA3
726,PNPLA4
727,PNPLA5
728,PNPLA6
729,PNPLA7
730,PNPLA8
731,PNP
732,POMC
733,POMP
734,PON1
735,PON2
736,PON3
737,PPARA
738,PPARD
739,PPARGC1A
740,PPARG
741,PPAT
742,PPM1K
743,PPM1L
744,PPP1CA
745,PPP1CB
746,PPP1CC
747,PPT1
748,PPT2
749,PRKAA2
750,PRKAB2
751,PRKACA
752,PRKACB
753,PRKAG2
754,PRKD1
755,PRKD2
756,PRKD3
757,PRODH
758,PSAP
759,PSAT1
760,PSMA1
761,PSMA3
762,PSMA4
763,PSMA5
764,PSMA6
765,PSMA7
766,PSMA8
767,PSMB10
768,PSMB1
769,PSMB2
770,PSMB3
771,PSMB4
772,PSMB5
773,PSMB6
774,PSMB7
775,PSMB8
776,PSMB9
777,PSMC1
778,PSMC2
779,PSMC3
780,PSMC4
781,PSMC5
782,PSMC6
783,PSMD10
784,PSMD11
785,PSMD12
786,PSMD13
787,PSMD14
788,PSMD1
789,PSMD2
790,PSMD3
791,PSMD4
792,PSMD5
793,PSMD6
794,PSMD7
795,PSMD8
796,PSME1
797,PSME2
798,PSME3
799,PSME4
800,PSMF1
801,PSPH
802,PSTK
803,PTDSS1
804,PTDSS2
805,PTEN
806,PTGDS
807,PTGES2
808,PTGES3
809,PTGES
810,PTGIS
811,PTGR1
812,PTGS1
813,PTGS2
814,PTPN13
815,PYCR1
816,PYCR2
817,QDPR
818,RAB14
819,RAB4A
820,RAB5A
821,RAN
822,RELN
823,RGL1
824,RORA
825,RPL10A
826,RPL10L
827,RPL10
828,RPL11
829,RPL12
830,RPL13A
831,RPL13
832,RPL14
833,RPL15
834,RPL17
835,RPL18A
836,RPL18
837,RPL19
838,RPL21
839,RPL22L1
840,RPL22
841,RPL23A
842,RPL23
843,RPL24
844,RPL26L1
845,RPL26
846,RPL27A
