Immune cells	Malignant cells	Stromal cells
ARHGEF19	0.00799	0.01547	0.01176
RSG1	0.00337	0.00404	0.00115
FBXO42	0.07042	0.04534	0.04614
SZRD1	0.19818	0.13745	0.1119
SPATA21	0.0011	0.00312	0.00308
NECAP2	0.32431	0.09979	0.10357
RP4-798A10.2	0.00667	0.00302	0.00567
RP4-798A10.7	0.00598	0.01405	0.01213
NBPF1	0.03817	0.05547	0.04409
CROCC	0.0194	0.0216	0.02554
RP11-108M9.4	0.08585	0.02435	0.03837
RP11-108M9.6	0.01054	0.00335	0.01427
MFAP2	0.00128	0.02777	0.02658
ATP13A2	0.0671	0.02957	0.03629
SDHB	0.235	0.29259	0.1371
PADI2	0.00785	0.00464	0.0012
RP11-380J14.4	0.00012	0.00268	0.00717
PADI1	0.00034	0.01011	0.01026
PADI4	0.00152	0.00012	0.00037
RCC2	0.15042	0.14115	0.11292
ARHGEF10L	0.04209	0.06472	0.0587
ACTL8	8e-05	0.00044	0
IGSF21	0.07281	0.00299	0.0135
KLHDC7A	0.00026	0.01099	0.00526
ALDH4A1	0.01194	0.12237	0.04589
IFFO2	0.04198	0.01341	0.02586
UBR4	0.14876	0.15242	0.11853
RP1-43E13.2	0.01068	0.00382	0.0073
EMC1	0.07273	0.06849	0.06627
MRTO4	0.11527	0.19553	0.09581
AKR7A3	0.0022	0.07472	0.01608
AKR7A2	0.20364	0.28516	0.13211
PQLC2	0.03609	0.06233	0.03341
CAPZB	0.99263	0.40032	0.37943
MINOS1	0.72893	0.60338	0.37905
NBL1	0.1004	0.12031	0.12667
TMCO4	0.0367	0.03823	0.03573
RNF186	1e-04	0.00797	0.00545
OTUD3	0.02191	0.02816	0.0282
PLA2G2A	0.00049	0.00213	0.00531
PLA2G5	5e-05	0.00014	0.01916
PLA2G2D	0.01353	0.00063	0.00202
RP3-340N1.2	0.00243	0.00017	8e-04
PLA2G2C	0.00175	0.00025	0.00163
UBXN10-AS1	0.01034	0.00117	0.00296
UBXN10	0.00114	0.0095	0.008
CAMK2N1	0.0561	0.81538	0.51849
MUL1	0.03682	0.04806	0.02646
CDA	0.02535	0.07391	0.03866
PINK1	0.06213	0.08556	0.08107
PINK1-AS	0.00373	0.00215	0.00245
DDOST	0.27197	0.44993	0.26744
KIF17	0.00601	0.00134	0.01339
SH2D5	3e-05	0.00063	0.00089
HP1BP3	0.55062	0.36166	0.44146
EIF4G3	0.17272	0.14007	0.16115
ECE1	0.03599	0.11218	0.18005
RP5-1071N3.1	0.00114	5e-05	0.00077
NBPF3	0.0015	0.00169	0.0022
ALPL	0.00122	0.00331	0.00892
RAP1GAP	0.0016	0.06638	0.04033
USP48	0.19015	0.14463	0.12101
LDLRAD2	0.00051	0.00126	0.00598
HSPG2	0.01249	0.24912	0.35271
CELA3B	0.00012	0.00139	0
CELA3A	5e-05	0.00306	0.00113
RP1-224A6.3	0.00149	0.00053	7e-05
LINC00339	0.03005	0.01226	0.01643
CDC42	1.46151	0.95335	0.64056
RP1-224A6.9	0.00152	0.00106	0.00065
WNT4	3e-04	0.00627	0.00615
ZBTB40	0.03633	0.02864	0.03159
C1QA	1.44183	0.13858	0.24693
C1QC	1.00385	0.07573	0.15218
C1QB	1.3861	0.1336	0.23216
EPHB2	0.03453	0.01649	0.01135
C1orf234	0.00035	0.00085	0.00113
KDM1A	0.0775	0.09808	0.06216
LUZP1	0.14437	0.06741	0.15174
HTR1D	0	0.00092	0.00013
LINC01355	0.01043	0.0242	0.03319
HNRNPR	0.43501	0.42817	0.30181
ZNF436	0.01334	0.0102	0.02031
ZNF436-AS1	0.00476	0.00454	0.00982
RP5-1057J7.7	8e-05	0.00263	0.00384
TCEA3	0.01356	0.36241	0.11434
ASAP3	0.00105	0.02274	0.02049
E2F2	0.00822	0.00201	0.00225
RP1-150O5.3	2e-04	0.00128	0.00037
ID3	0.22293	0.10438	0.36278
MDS2	0.00074	7e-05	0.00044
RPL11	3.16289	2.82318	2.16876
TCEB3	0.0935	0.0905	0.05372
TCEB3-AS1	0.01031	0.0254	0.01123
PITHD1	0.31903	0.12988	0.11138
LYPLA2	0.14065	0.12977	0.09538
GALE	0.05943	0.19023	0.11323
HMGCL	0.0903	0.17	0.0682
FUCA1	0.26161	0.16959	0.10187
CNR2	0.00273	0.00014	0
PNRC2	0.40837	0.24724	0.19037
SRSF10	0.41157	0.46356	0.36267
MYOM3	0	0.00355	0.00552
IL22RA1	0.00014	0.01157	0.00773
IFNLR1	0.00588	0.00871	0.00358
STPG1	0.00848	0.01984	0.01416
NIPAL3	0.06111	0.05603	0.04705
RCAN3	0.22541	0.06113	0.05892
RP4-594I10.3	0.01011	0.00492	0.00364
NCMAP	0.00086	0.03068	0.01329
SRRM1	0.92018	0.4473	0.40903
CLIC4	0.14708	0.07776	0.17416
RUNX3	0.51366	0.03742	0.05805
SYF2	0.52355	0.35432	0.32192
RSRP1	0.59496	0.25934	0.42621
RP3-465N24.6	0.00191	0.00098	0.00092
RHD	0.00329	0.00057	0.00124
TMEM50A	0.763	0.55113	0.384
RHCE	0.00128	0.00341	0.00188
TMEM57	0.09976	0.13389	0.07245
LDLRAP1	0.03102	0.02896	0.03277
RP11-70P17.1	0.00143	2e-04	0.00098
MAN1C1	0.04757	0.00288	0.0191
RP1-187B23.1	0.01532	0.00125	0.0051
SEPN1	0.06488	0.06704	0.11213
RP1-317E23.3	0.00283	0.00374	0.00276
MTFR1L	0.07205	0.07659	0.05487
AUNIP	0.00285	0.00461	0.00077
RP1-125I3.2	0.00056	0.00014	0.00136
PAQR7	0.01846	0.04007	0.0266
STMN1	0.6568	0.41231	0.24225
PAFAH2	0.03814	0.02963	0.02493
EXTL1	0.00047	0.00037	0.00034
SLC30A2	0.00259	0.00037	0.00044
TRIM63	0.00146	0	0.00086
PDIK1L	0.03333	0.02645	0.0172
FAM110D	0.00048	0.00046	0.02564
RP11-96L14.8	4e-05	0.00042	1e-04
ZNF593	0.16257	0.4155	0.15672
CNKSR1	0.00194	0.03085	0.01846
CEP85	0.02134	0.02014	0.01509
SH3BGRL3	2.54431	0.96513	0.82683
UBXN11	0.09974	0.03134	0.04017
CD52	1.65055	0.09355	0.1814
AIM1L	0.00567	0.03609	0.01607
ZNF683	0.02477	6e-04	0.00129
LIN28A	0.00033	0.00682	0.00232
DHDDS	0.07828	0.06764	0.05525
HMGN2	1.03369	0.62903	0.46831
RPS6KA1	0.13602	0.03832	0.03026
RP5-968P14.2	0.00046	0.00059	0
ARID1A	0.26748	0.18673	0.16909
PIGV	0.02404	0.03765	0.01555
ZDHHC18	0.08135	0.03356	0.03745
SFN	0.00907	0.34992	0.11836
GPN2	0.05256	0.09128	0.05213
GPATCH3	0.03051	0.04323	0.01834
NUDC	0.46701	0.87021	0.37439
NR0B2	0.00643	0.22491	0.05566
KDF1	0.00044	0.02065	0.00517
TRNP1	0.03385	0.80616	0.27631
FAM46B	0.00118	0.00289	0.00235
SLC9A1	0.04211	0.0537	0.05385
WDTC1	0.04792	0.03924	0.03386
TMEM222	0.05777	0.10861	0.06854
SYTL1	0.09659	0.09069	0.04845
MAP3K6	0.02041	0.02022	0.03435
FCN3	0	4e-05	0.00608
CD164L2	0.00011	0.00317	0.00099
GPR3	0.00048	0.00031	0.00198
WASF2	0.37157	0.36269	0.26568
AHDC1	0.02942	0.04522	0.05661
FGR	0.13564	0.00709	0.02309
RP11-288L9.1	0.00107	0.00038	0
IFI6	0.39875	0.63116	0.35573
FAM76A	0.07304	0.06699	0.0548
STX12	0.28951	0.15332	0.15934
PPP1R8	0.08415	0.10005	0.06044
THEMIS2	0.20096	0.01032	0.02404
RPA2	0.17699	0.20327	0.0751
SMPDL3B	0.00269	0.04722	0.01758
XKR8	0.0199	0.05677	0.02039
EYA3	0.05848	0.03666	0.04164
PTAFR	0.12028	0.01221	0.02176
DNAJC8	0.6069	0.33742	0.26007
ATPIF1	0.68244	1.11373	0.56422
RP5-1092A3.4	0.00649	0.0277	0.02299
SESN2	0.04468	0.04017	0.031
MED18	0.01648	0.01547	0.00757
PHACTR4	0.17924	0.17358	0.15887
RCC1	0.0413	0.0615	0.03517
TRNAU1AP	0.14727	0.0837	0.09827
SNHG12	0.25667	0.07508	0.10239
TAF12	0.17527	0.20074	0.09599
RAB42	0.12862	0.00509	0.01931
RP11-442N24--B.1	0.00247	0.00649	0.00192
RNU11	0.03589	0.00315	0.01469
GMEB1	0.0783	0.03528	0.03409
YTHDF2	0.26374	0.28125	0.16986
EPB41	0.11671	0.08365	0.05492
TMEM200B	0.00044	0.01071	0.01226
SRSF4	0.35797	0.21822	0.26635
MECR	0.02728	0.06393	0.03252
PTPRU	6e-04	0.02548	0.01877
MATN1	0.00082	0.00039	0.00076
MATN1-AS1	0.0088	0.00854	0.01048
LAPTM5	1.5382	0.08268	0.19392
RP5-1125N11.2	0.00014	0.00054	0.00061
SDC3	0.26066	0.05085	0.05667
PUM1	0.30037	0.26035	0.21724
NKAIN1	5e-05	0.00042	0.00014
SNRNP40	0.15409	0.16214	0.08244
ZCCHC17	0.13375	0.12138	0.07728
FABP3	0.10408	0.00432	0.01373
SERINC2	0.03733	0.60787	0.2292
LINC01226	9e-05	0.00076	0.00065
RP11-73M7.1	0	0.00113	0.00025
TINAGL1	0.00512	0.22105	0.30333
PEF1	0.10245	0.19688	0.10089
RP11-73M7.9	0.00051	0.00014	0.00016
COL16A1	0.00072	0.02891	0.03877
ADGRB2	0.00171	0.00181	0.00201
SPOCD1	0.0163	0.00343	0.00525
RP11-84A19.2	0.00053	0.00106	0.00076
RP11-84A19.4	0.00758	0.00365	0.00636
PTP4A2	0.74617	0.62951	0.36249
KHDRBS1	0.5115	0.60126	0.31711
RP11-277A4.4	0.00196	0.00049	0.00077
TMEM39B	0.03479	0.06758	0.04085
KPNA6	0.13631	0.14156	0.13141
TXLNA	0.09854	0.16258	0.11713
CCDC28B	0.0444	0.02541	0.03854
RP4-622L5.7	0.00064	0.00209	0.00149
IQCC	0.00423	0.0087	0.00729
TMEM234	0.03672	0.05888	0.0387
EIF3I	0.39079	0.59393	0.30062
FAM167B	0.00216	0.00215	0.05618
LCK	0.25575	0.03145	0.03222
HDAC1	0.16096	0.29427	0.15987
MARCKSL1	0.19324	1.03608	0.5858
TSSK3	7e-04	0.00264	0.00319
FAM229A	0.00635	0.0257	0.01526
BSDC1	0.09606	0.14012	0.13897
ZBTB8B	0.00024	0.00049	0.00069
ZBTB8A	0.00571	0.02516	0.02856
ZBTB8OS	0.21294	0.42696	0.16624
RBBP4	0.28875	0.35205	0.23638
SYNC	0.04497	0.05507	0.04557
RP11-114B7.6	3e-05	0.00142	0.00091
KIAA1522	0.00703	0.14263	0.0634
YARS	0.1099	0.32438	0.1393
S100PBP	0.09623	0.07774	0.07536
FNDC5	0.00044	0.00025	0.01522
HPCA	0	0.00071	0.00173
TMEM54	0.00428	0.19316	0.11308
RNF19B	0.11171	0.04252	0.04994
AK2	0.18216	0.38795	0.19297
AZIN2	0.00398	0.00452	0.01432
TRIM62	0.01018	0.00543	0.00885
ZNF362	0.03317	0.02388	0.03324
RP11-415J8.7	5e-05	0.00047	0.00095
PHC2	0.15923	0.14247	0.13566
RP11-415J8.5	0	0.00103	0.00055
ZSCAN20	0.00316	0.00078	0.00177
CSMD2	0	0.00054	0.00221
SMIM12	0.15671	0.2155	0.1113
GJB5	0	0.0207	0.00283
GJB4	0.00057	0.03572	0.01541
GJB3	0.00069	0.06098	0.02149
GJA4	0.00044	0.00072	0.13534
DLGAP3	0.02553	0.007	0.00602
RP11-244H3.4	0.00907	0.01687	0.00538
ZMYM6NB	0.00122	0.0021	0.00217
ZMYM6	0.0647	0.07096	0.06934
ZMYM1	0.04965	0.13657	0.07722
SFPQ	0.86825	0.76199	0.67437
ZMYM4	0.10616	0.17369	0.12537
KIAA0319L	0.08346	0.28215	0.23011
NCDN	0.01675	0.0436	0.03259
RP4-728D4.2	0.00999	0.00092	0.00055
TFAP2E	0.00332	0.0011	0.00296
PSMB2	0.40202	0.98678	0.38251
C1orf216	0.01728	0.03302	0.02097
CLSPN	0.05306	0.04631	0.02612
AGO4	0.08684	0.07059	0.07524
AGO1	0.07683	0.14218	0.09868
RP4-789D17.5	0.00085	0.001	0
AGO3	0.16027	0.16869	0.17834
ADPRHL2	0.11508	0.15048	0.06722
COL8A2	0.015	0.00092	0.00388
TRAPPC3	0.2105	0.36969	0.15622
MAP7D1	0.20521	0.11205	0.1149
THRAP3	0.43054	0.41997	0.29092
SH3D21	0.02643	0.03491	0.03384
EVA1B	0.19616	0.12134	0.21153
RP11-268J15.5	0.00741	0.07845	0.04984
STK40	0.08987	0.12345	0.06736
LSM10	0.21435	0.24337	0.1172
OSCP1	0.0035	0.01826	0.01022
MRPS15	0.2602	0.7237	0.26047
CSF3R	0.10089	0.00783	0.02135
LINC01137	0.00817	0.04171	0.01417
