Immune cells	Malignant cells	Stromal cells
ZC3HAV1L	0.00178	0.00799	0.00629
ZC3HAV1	0.47915	0.20823	0.18503
TTC26	0.00648	0.01611	0.01248
UBN2	0.07282	0.13671	0.14658
C7orf55	0.0882	0.41985	0.16287
LUC7L2	0.19381	0.25486	0.17403
RP11-634H22.1	0.00804	0.00944	0.01
CLEC2L	0.00011	0.00056	0
HIPK2	0.0869	0.16616	0.12311
TBXAS1	0.20894	0.05798	0.03821
PARP12	0.10236	0.15305	0.08026
KDM7A	0.13419	0.07721	0.08022
JHDM1D-AS1	0.02601	0.03658	0.02159
SLC37A3	0.01944	0.14271	0.10178
RAB19	0.00076	7e-04	0.00099
MKRN1	0.21171	0.27733	0.15343
DENND2A	0.001	0.01091	0.02915
ADCK2	0.0632	0.08483	0.03878
NDUFB2	1.0158	1.51755	0.77198
NDUFB2-AS1	0.0079	0.00632	0.0099
BRAF	0.08932	0.11431	0.10178
MRPS33	0.21086	0.60395	0.1994
AGK	0.03512	0.06437	0.04229
RP5-894A10.2	0.01037	0.01682	0.01995
KIAA1147	0.05639	0.08684	0.09117
WEE2-AS1	9e-04	0.00281	0.00185
SSBP1	0.59381	1.18737	0.51937
TAS2R4	0.00222	0.01531	0.01436
MGAM	0.00155	0.01021	0.00648
CLEC5A	0.06203	0.00286	0.00402
MGAM2	0.00018	0.00385	0.00361
TRBV3-1	0.00119	9e-05	0.00095
TRBV5-1	0.00254	0.00012	0
TRBV6-2	0.00367	1e-05	0.00039
TRBV7-2	0.00117	0	0.00031
TRBV9	0.00091	0	0
TRBV6-5	0.00127	0	0
TRBV5-4	0.00154	4e-05	0
TRBV7-9	0.00098	0	0
TRBV14	0.00682	0.00033	0.00152
TRBV18	0.00284	4e-05	0.00099
TRBV19	0.00101	0	0
TRBV20-1	0.0014	0	0.00066
TRBV21-1	0.00125	6e-05	0
TRBV24-1	0.00105	0	0.00025
MTRNR2L6	0.00032	0.00243	0.00379
TRBVB	0.0011	0	0
TRBV28	0.02152	0.00057	0.00225
TRBC1	0.46534	0.02554	0.0489
PRSS2	0.00029	0.01203	0.00808
PRSS1	0.00024	0.00434	0.00278
TRBC2	0.60657	0.03593	0.07414
EPHB6	0.0329	0.01927	0.02857
TRPV6	0.00025	0.00852	0.01125
KEL	0.00073	0.00023	0.00011
PIP	0.0011	0.00656	0.00613
GSTK1	0.50421	0.65936	0.40712
TMEM139	0.00108	0.03369	0.01796
CASP2	0.08084	0.08438	0.07716
CLCN1	0.00076	0.00334	0.00071
FAM131B	0.00128	0.00028	0.00061
AC093673.5	0.05762	0.14103	0.04513
ZYX	0.49981	0.21765	0.2059
EPHA1	0.00869	0.05434	0.01946
EPHA1-AS1	0.04145	0.01102	0.01639
TCAF2	0.0318	0.00892	0.0093
CTAGE6	0.00096	0.00073	0.00021
TCAF1	0.06782	0.33133	0.15569
RP4-669B10.3	5e-05	0.00176	0.00025
ARHGEF35	0.01158	0.15005	0.07048
RP4-545C24.1	0.00031	0.00043	0.00239
OR2A1-AS1	0.00505	0.06047	0.03106
ARHGEF5	0.01644	0.10555	0.11119
TPK1	0.06544	0.02591	0.02339
CNTNAP2	0.00084	0.00585	0.00018
C7orf33	0.00068	0	0
RP5-1136G13.2	0.0109	0.02776	0.01347
CUL1	0.11682	0.13535	0.08595
EZH2	0.10471	0.06344	0.04734
GHET1	0.00181	0.00285	0.00828
PDIA4	0.30895	0.80374	0.44809
ZNF786	0.01242	0.01681	0.0088
ZNF425	0.00136	0.00354	0.00544
ZNF398	0.02045	0.03199	0.02632
ZNF282	0.02828	0.05606	0.04152
ZNF212	0.01511	0.02861	0.02723
ZNF783	0.02092	0.05092	0.06027
AC004941.3	8e-05	0.00034	0.00033
ZNF777	0.02211	0.02901	0.01432
ZNF746	0.04566	0.03315	0.02826
KRBA1	0.0102	0.02338	0.01831
ZNF467	0.0437	0.13374	0.07508
SSPO	0.00066	0.004	0.00627
ZNF862	0.00784	0.00864	0.00999
ATP6V0E2-AS1	0.00286	0.00149	0.00294
ATP6V0E2	0.07458	0.10442	0.05019
RP11-728K20.3	0.00026	0.00055	0.00055
ACTR3C	0.01226	0.07943	0.05247
LRRC61	0.0211	0.19193	0.04407
ZBED6CL	0.00467	0.02953	0.01977
RARRES2	0.0905	1.35238	0.65115
REPIN1	0.07882	0.25538	0.10653
ZNF775	0.01828	0.02073	0.01551
RP11-511P7.5	0.02912	0.02256	0.01658
LINC00996	0.02711	0.00063	0.003
GIMAP8	0.07458	0.00312	0.01922
GIMAP7	0.37775	0.01855	0.07609
GIMAP4	0.43701	0.01856	0.09037
GIMAP6	0.10168	0.00328	0.0311
GIMAP2	0.16567	0.02477	0.03571
GIMAP1	0.17663	0.00742	0.04141
GIMAP5	0.04641	0.00176	0.01065
TMEM176B	0.31029	1.05698	0.45819
TMEM176A	0.2661	1.10455	0.46295
AOC1	0.00136	0.09772	0.05703
KCNH2	0.00327	0.02857	0.00892
NOS3	0.00139	0.0013	0.02974
ATG9B	0.00472	0.00562	0.00508
ABCB8	0.05377	0.07659	0.05294
ASIC3	0.00166	0.0017	0.00166
CDK5	0.04962	0.10144	0.03361
SLC4A2	0.06176	0.18212	0.1044
RP11-148K1.12	0.00021	0.00031	0
FASTK	0.11184	0.25999	0.15195
TMUB1	0.15565	0.27567	0.1437
AGAP3	0.10952	0.05788	0.06241
ABCF2	0.06234	0.10596	0.04967
CHPF2	0.04458	0.07798	0.04366
SMARCD3	0.02595	0.01128	0.03117
RP4-548D19.3	0.00179	0.01149	0.01443
NUB1	0.24875	0.27266	0.19019
WDR86	0.00347	0.00065	0.00087
RHEB	0.52174	0.69382	0.32866
PRKAG2	0.14347	0.09504	0.09002
PRKAG2-AS1	0.03632	0.01191	0.00802
GALNT11	0.10631	0.12539	0.09384
RP5-981O7.2	0.00053	0.00017	0
KMT2C	0.29254	0.25123	0.27093
LINC01003	0.05177	0.11312	0.05378
XRCC2	0.00795	0.02679	0.01982
ACTR3B	0.00921	0.05053	0.03162
LINC01287	9e-05	0.00085	6e-04
PAXIP1-AS2	0.02247	0.03201	0.02443
PAXIP1	0.0284	0.06027	0.05328
RP11-5C23.1	0.00827	0.01511	0.01183
RP11-5C23.2	0.00102	0.00178	0.00183
PAXIP1-AS1	0.0251	0.0941	0.07545
AC144652.1	0.03242	0.02338	0.0239
INSIG1	0.32311	0.41909	0.21606
EN2	0.00049	0.00678	0.00316
AC009403.2	0.02716	0.14332	0.06853
RBM33	0.2036	0.22213	0.2131
SHH	0.00231	0.09957	0.04519
AC021218.2	0.00073	0.0326	0.02559
LINC01006	0.01473	0.08409	0.04372
RNF32	0.00434	0.01629	0.00816
AC005534.8	0.00039	0.00049	0.00163
LMBR1	0.04503	0.10869	0.06346
NOM1	0.07091	0.07428	0.08251
MNX1	0.00066	0.04351	0.03729
MNX1-AS2	9e-05	0.00095	0.00038
MNX1-AS1	0.00095	0.03614	0.00605
RP4-639J15.3	0.00138	8e-05	0
UBE3C	0.10983	0.15493	0.1111
DNAJB6	1.05572	0.49897	0.457
PTPRN2	0.03277	0.07433	0.07017
AC005481.5	0.00016	0.00088	0.00069
AC011899.9	0.0186	0.00078	0.00217
RP11-452C13.1	0.00262	0.00017	0
NCAPG2	0.03649	0.04206	0.02029
ESYT2	0.11172	0.15133	0.12728
WDR60	0.05128	0.11817	0.18494
VIPR2	0.00323	8e-05	0.00509
PLCXD1	0.03707	0.17449	0.10393
GTPBP6	0.13099	0.1229	0.08554
LINC00685	0.02811	0.04462	0.05054
PPP2R3B	0.03422	0.042	0.0379
RP11-309M23.1	0.00068	0.00026	0.00468
CRLF2	0.00299	0.00026	0.001
CSF2RA	0.12481	0.01576	0.01885
IL3RA	0.02044	0.00136	0.05141
SLC25A6	0.85991	0.74274	0.55127
LINC00106	0.0019	0.0019	0.00393
ASMTL-AS1	0.00396	0.00592	0.00964
ASMTL	0.05724	0.05953	0.04889
P2RY8	0.06469	0.00339	0.00623
AKAP17A	0.16419	0.10966	0.13278
ASMT	0.00138	0.00017	0
DHRSX	0.1004	0.11522	0.05618
ZBED1	0.09238	0.09155	0.06969
CD99	0.91476	0.35572	0.4556
GYG2	0.00076	0.02922	0.01322
ARSD	0.05538	0.19901	0.12152
ARSD-AS1	0.00035	0.00072	0
ARSE	0.00684	0.30253	0.13082
ARSF	5e-05	0.00268	0.00031
MXRA5	0.00076	0.11423	0.08994
PRKX	0.21741	0.06835	0.08162
RP11-706O15.1	0.02356	0.02658	0.02324
RP11-706O15.3	0.00126	0.00103	0.00106
RP11-706O15.5	0.00165	0.00573	0.00213
RP11-733O18.1	0.01211	0.00053	0.00044
NLGN4X	0.00019	9e-05	0.00503
PUDP	0.03309	0.1013	0.03057
STS	0.00972	0.02315	0.01514
PNPLA4	0.03234	0.16326	0.05176
VCX3B	0.00027	0.00136	0.00204
ANOS1	0.00423	0.0024	0.00306
FAM9A	0.00076	0.01057	0.00668
FAM9B	0.00043	0.02149	0.00734
TBL1X	0.06829	0.13265	0.07607
GPR143	5e-05	0.00333	0.00296
SHROOM2	0.00086	0.02065	0.00974
WWC3	0.04617	0.04037	0.05702
CLCN4	0.01003	0.04174	0.01072
MID1	0.00092	0.04139	0.0413
RP11-120D5.1	0.00092	0.00299	0.00165
HCCS	0.09419	0.17143	0.06192
ARHGAP6	0.01768	0.03323	0.05819
MSL3	0.20643	0.10561	0.09535
PRPS2	0.10111	0.0941	0.05607
TLR7	0.03921	0.00137	0.00528
TLR8	0.06147	0.00205	0.00846
TMSB4X	4.50254	1.81331	2.32134
GS1-600G8.5	0.00552	0.00042	0.00012
EGFL6	0.00063	9e-05	0.0175
TCEANC	0.01202	0.00858	0.01002
RAB9A	0.24518	0.16025	0.10184
TRAPPC2	0.08259	0.12886	0.08891
OFD1	0.2013	0.20565	0.17955
GPM6B	0.0526	0.01364	0.03935
GEMIN8	0.027	0.07621	0.03342
FANCB	0.01933	0.02845	0.01285
MOSPD2	0.14378	0.10205	0.07427
ASB9	0.00552	0.04614	0.01919
ASB11	0.00034	0.00025	0.00092
PIGA	0.07389	0.04501	0.03864
FIGF	0.00029	0.00271	0.00191
PIR	0.02212	0.35358	0.08786
ACE2	0.00029	0.00716	0.00564
TMEM27	0.00038	0.00163	0.00268
CA5B	0.05225	0.02384	0.03853
INE2	0.00097	2e-04	0.00042
ZRSR2	0.10587	0.05649	0.06391
AP1S2	0.66969	0.06671	0.1371
CTPS2	0.01868	0.04773	0.03521
SYAP1	0.45521	0.37575	0.21995
TXLNG	0.08201	0.13235	0.05626
RBBP7	0.22293	0.37718	0.23424
REPS2	0.02029	0.07803	0.04101
NHS	0.01164	0.08999	0.074
SCML1	0.10714	0.33536	0.19455
RAI2	0.00036	0.02301	0.02056
LINC01456	5e-04	0.00762	0.00173
SCML2	0.00244	0.01673	0.00806
CDKL5	0.0165	0.03791	0.03681
PHKA2	0.03394	0.14741	0.1091
ADGRG2	0.00019	0.01001	0.00825
PDHA1	0.13021	0.29044	0.12275
MAP3K15	0.00049	0.00582	0.00441
SH3KBP1	0.39427	0.18325	0.15625
CXorf23	0.04713	0.07826	0.06825
MAP7D2	0.00187	0.00288	0.00079
EIF1AX	0.68031	0.89671	0.49695
RPS6KA3	0.27888	0.35659	0.24306
CNKSR2	0.0028	0.0024	0.00058
KLHL34	0.00135	0.00161	0.00146
SMPX	4e-05	0.00184	0.00054
MBTPS2	0.03661	0.10638	0.05174
YY2	0.00527	0.01419	0.01447
SMS	0.56879	0.55845	0.22859
PHEX	0.00347	0.00355	0.00264
PTCHD1	9e-04	5e-05	0
PRDX4	0.25937	1.24334	0.50423
ACOT9	0.17457	0.115	0.08016
RP13-314C10.5	0.00014	0.00056	0.00038
SAT1	2.45463	1.41252	1.45179
APOO	0.03538	0.09253	0.03183
CXorf58	0.00046	0.00054	4e-04
KLHL15	0.06479	0.02367	0.04108
EIF2S3	0.38647	0.73682	0.38805
ZFX	0.14928	0.15497	0.10908
PDK3	0.086	0.04297	0.02625
POLA1	0.02938	0.03506	0.01931
RP11-268G12.3	0	0.00161	0.00024
RP11-268G12.1	0.00014	0.01856	0.01602
IL1RAPL1	0.00151	0.00507	0.00603
MAGEB2	1e-04	0.00431	0.00101
NR0B1	0.00376	0.11851	0.03204
CXorf21	0.13539	0.00522	0.0129
GK	0.15654	0.0849	0.05158
GK-AS1	0.00308	0.00051	0.00064
TAB3	0.07474	0.08298	0.06375
DMD	0.01136	0.03173	0.06282
RP11-545D19.1	0.00016	0.00922	0.00299
TMEM47	0.00146	0.11813	0.1424
CFAP47	5e-05	0.00195	0.00327
PRRG1	0.00536	0.04848	0.05636
LANCL3	0.00278	0.00193	0.00244
XK	0.00036	0.01194	0.00615
CYBB	0.74477	0.041	0.09397
DYNLT3	0.26496	0.33417	0.17619
SYTL5	0.00044	0.01995	0.01793
SRPX	0.00112	0.00104	0.02476
RPGR	0.07184	0.05068	0.07638
OTC	7e-05	0.00302	0.00153
TSPAN7	0.00238	0.07585	0.0557
MID1IP1	0.1309	0.27212	0.11034
LINC01281	0.00862	0.00033	0
RP11-157D23.2	0.00082	4e-05	0
BCOR	0.08023	0.07269	0.05253
ATP6AP2	0.74682	0.64094	0.43189
CXorf38	0.14936	0.08731	0.06488
MED14	0.08254	0.1013	0.06922
MED14OS	0.0133	0.01011	0.0092
USP9X	0.25083	0.31435	0.19589
RP5-1172N10.2	4e-04	0.00185	0.00046
DDX3X	0.87852	0.57943	0.61552
CASK	0.09244	0.17063	0.09061
GPR34	0.31707	0.01282	0.02965
GPR82	0.08799	0.01482	0.01965
RP3-326I13.1	0	6e-04	0.00048
MAOA	0.01031	0.16186	0.05032
MAOB	0.00933	0.17652	0.0523
NDP	3e-05	0.00364	6e-04
EFHC2	0.00154	0.02399	0.00761
FUNDC1	0.0707	0.25899	0.09197
KDM6A	0.07814	0.12489	0.07872
CXorf36	0.00016	0.00015	0.06872
MIR222HG	0.08496	0.05212	0.08574
RP6-99M1.3	0.01626	0.00511	0.01006
RP5-1158E12.3	0.00014	0.00078	0.00027
LINC01186	0.00024	0.00803	0.00414
KRBOX4	0.03376	0.04701	0.04271
ZNF674	0.00688	0.02379	0.01779
ZNF674-AS1	0.00691	0.03057	0.02695
CHST7	0.06464	0.01561	0.02757
SLC9A7	0.04149	0.07749	0.04757
RP2	0.16441	0.07327	0.06271
LINC01545	0.00067	0.00925	0.00256
JADE3	0.00671	0.04694	0.02542
RGN	0.00412	0.23332	0.14881
NDUFB11	0.82148	1.73848	0.79554
RBM10	0.08279	0.10504	0.08672
UBA1	0.20237	0.4004	0.21372
CDK16	0.08523	0.24003	0.11583
USP11	0.09184	0.1639	0.11105
ZNF41	0.01335	0.01579	0.0203
LINC01560	0.01046	0.033	0.02593
ARAF	0.08807	0.12679	0.08083
SYN1	0.00204	0.00119	0.00471
TIMP1	0.80902	1.69609	1.30526
CFP	0.0972	0.00417	0.01317
ELK1	0.05773	0.07262	0.0487
UXT	0.59801	0.69674	0.34686
UXT-AS1	0.00314	0.00026	0.00318
AL022578.1	0.00063	3e-04	0.00089
ZNF81	0.00889	0.0132	0.01309
ZNF182	0.01818	0.03044	0.02268
ZNF630	0.00338	0.00633	0.01023
SLC38A5	0.01323	0.00159	0.00579
FTSJ1	0.03982	0.06443	0.04169
AF196972.9	0.00076	0.0023	0.00183
PORCN	0.01282	0.02102	0.01276
EBP	0.15798	0.83171	0.26313
TBC1D25	0.03163	0.0372	0.02634
RP11-1148L6.9	0.00081	0.00069	0.00108
RBM3	0.74783	0.61783	0.48179
WDR13	0.09346	0.26864	0.18957
WAS	0.37074	0.01541	0.04107
SUV39H1	0.0105	0.01708	0.00906
GLOD5	0.00034	0.01064	0.00226
GATA1	0.0013	0	0
HDAC6	0.04382	0.07485	0.0671
ERAS	0.00016	0.00113	0.00103
PCSK1N	0.04122	0.7759	0.29024
TIMM17B	0.14623	0.43169	0.13757
PQBP1	0.1818	0.34784	0.17476
SLC35A2	0.04663	0.16051	0.07774
PIM2	0.1181	0.0297	0.02054
OTUD5	0.1273	0.11673	0.10022
KCND1	0.00137	0.00201	0.00298
GRIPAP1	0.14063	0.11193	0.10826
TFE3	0.08207	0.0643	0.06122
CCDC120	0.00677	0.03765	0.0219
PRAF2	0.03508	0.06411	0.06328
WDR45	0.10585	0.25401	0.13119
GPKOW	0.0462	0.08981	0.04302
MAGIX	0.01212	0.05016	0.03507
PLP2	0.37779	0.34584	0.20769
PRICKLE3	0.01131	0.02064	0.01298
SYP	0.01294	0.01056	0.03316
CACNA1F	0.00153	0.00116	0.00187
CCDC22	0.06749	0.07694	0.03987
FOXP3	0.10312	0.00623	0.01169
PPP1R3F	0.00627	0.00502	0.00498
LL0XNC01-7P3.1	0.00166	0.00349	0.00491
GAGE10	4e-05	0.00052	0.00043
GAGE12J	0	0.00133	0.00024
GAGE13	0.00276	0.15556	0.02492
GAGE12E	0.00012	0.0023	0
GAGE1	0	0.00534	0.00176
GAGE2A	0.07975	1.35511	0.39586
PAGE4	0	0.00051	0
USP27X-AS1	0.00092	0.00319	0.00242
USP27X	0.0073	0.01688	0.01566
CLCN5	0.03825	0.10873	0.06066
CCNB3	0.00166	0.00455	0.00292
DGKK	0.00018	0.00444	0.001
SHROOM4	0.00019	0.0036	0.03752
RP11-348F1.2	0.00028	0.00046	0.00049
CXorf67	2e-04	0.00101	0.00092
NUDT11	0.00099	0.00367	0.00206
GSPT2	0.03728	0.29053	0.08644
MAGED1	0.04323	0.4148	0.16412
MAGED4	6e-05	0.00084	0
FAM156A	0.00075	0.00026	0.00103
GPR173	0.00042	0.00055	0.00388
TSPYL2	0.36992	0.11326	0.19278
KANTR	0.00175	0.00238	0.00295
RP11-258C19.7	0.01642	0.03391	0.0356
KDM5C	0.08473	0.10804	0.09588
IQSEC2	0.0173	0.02596	0.02119
SMC1A	0.21599	0.234	0.15885
RIBC1	0.00076	0.0051	0.00093
HSD17B10	0.22828	0.59648	0.21779
HUWE1	0.18893	0.32277	0.1761
PHF8	0.04819	0.05464	0.04268
FAM120C	0.01747	0.04799	0.03017
WNK3	0.00107	0.02002	0.01525
TSR2	0.10507	0.19385	0.082
FGD1	0.00022	0.00392	0.01025
GNL3L	0.04029	0.042	0.04421
ITIH6	0	0.00083	4e-04
MAGED2	0.12637	0.38207	0.26014
TRO	0.00027	0.00028	0.00391
PFKFB1	3e-04	0.0011	0.00048
APEX2	0.05433	0.07542	0.03451
PAGE2B	0.00042	0.00016	3e-04
FAM104B	0.06576	0.16013	0.04863
MTRNR2L10	0.00035	0.00063	0.00111
PAGE5	0.00779	0.00061	0.00068
MAGEH1	0.08124	0.18195	0.10117
USP51	0.03342	0.02112	0.02196
RRAGB	0.03995	0.06277	0.06104
RP13-188A5.1	0.01149	0.01277	0.02665
KLF8	0.00304	0.00407	0.02722
UBQLN2	0.12104	0.11208	0.07985
LINC01420	0.28653	0.63029	0.2625
SPIN3	0.0025	0.02155	0.01732
SPIN2B	0.02087	0.04182	0.02604
RP3-323P24.3	0.00158	0.00303	0.00452
SPIN2A	0.00183	0.003	0.00771
FAAH2	0.00706	0.03183	0.01742
ZXDB	0.01577	0.0327	0.0199
ZXDA	0.009	0.00982	0.01372
SPIN4	0.01343	0.01961	0.01539
ARHGEF9	0.05293	0.07517	0.09087
AMER1	0.00255	0.0131	0.00871
ASB12	0.00015	0.00133	0
MTMR8	0.00206	0.00382	0.00312
ZC4H2	0.00557	0.02125	0.01098
ZC3H12B	0.00072	0.00618	0.00363
LAS1L	0.05665	0.10981	0.05756
MSN	0.88815	0.31217	0.34866
RP6-159A1.4	0.01628	0.00115	0.00155
VSIG4	0.24262	0.00828	0.02836
HEPH	0.00124	0.06642	0.04913
EDA2R	0.00077	0.00111	0.00347
AR	0.00201	0.02496	0.02174
RP6-201G10.2	2e-04	9e-04	0.00117
OPHN1	0.00704	0.01818	0.02007
YIPF6	0.15286	0.38891	0.17787
STARD8	0.02676	0.01463	0.02252
EFNB1	0.02343	0.11211	0.0979
PJA1	0.02607	0.09182	0.04096
FAM155B	0.00027	0.00312	0.00341
EDA	0.01595	0.05869	0.04222
OTUD6A	3e-04	0.00047	0.00096
IGBP1	0.21768	0.34593	0.16911
PDZD11	0.12611	0.34609	0.11985
KIF4A	0.0295	0.04437	0.015
GDPD2	4e-05	0.01038	0.00184
DLG3	0.01913	0.07821	0.05047
DLG3-AS1	6e-05	0.00056	0.00045
TEX11	0.00014	0.00246	9e-04
SNX12	0.05724	0.08625	0.04696
FOXO4	0.01494	0.0178	0.02406
CXorf65	0.00583	0.00048	0.00152
IL2RG	0.7159	0.06793	0.08214
MED12	0.03924	0.05323	0.03955
NLGN3	0.00118	0.00219	0.00193
RP5-1091N2.9	0.00578	0.00013	0.00044
GJB1	0.00772	0.38857	0.12278
ZMYM3	0.04154	0.09369	0.06979
NONO	0.39629	0.61838	0.36872
ITGB1BP2	0.00168	0.00268	0.00374
TAF1	0.09203	0.09894	0.10694
OGT	0.26027	0.31563	0.34656
ACRC	0.02016	0.00959	0.0123
CXCR3	0.09635	0.01959	0.01555
LINC00891	0.01383	0.00064	0.00307
NHSL2	0.00806	0.00202	0.03906
RGAG4	0.01136	0.00101	0.00872
PIN4	0.18729	0.52119	0.22104
ERCC6L	0.00546	0.01162	0.00265
RPS4X	2.63018	3.28059	2.19119
CITED1	0.00019	0.00062	7e-04
HDAC8	0.04377	0.08381	0.055
PHKA1	0.00146	0.02092	0.0084
NAP1L6	0.00287	0.00436	0.00253
NAP1L2	0.00939	0.01199	0.00788
CHIC1	0.02036	0.05165	0.03464
TSIX	0.01725	0.01518	0.02084
XIST	0.43019	0.73912	0.96959
JPX	0.12933	0.29072	0.16372
RP13-216E22.4	0.00175	0.00286	0.00264
FTX	0.071	0.07153	0.12491
SLC16A2	0.00015	0.01849	0.01965
RLIM	0.12655	0.11153	0.09724
KIAA2022	0.00186	0.00098	0.00118
ABCB7	0.06616	0.09611	0.03938
UPRT	0.04463	0.04267	0.0261
ZDHHC15	0.00106	0.00031	0.00175
PBDC1	0.23698	0.3854	0.135
MAGEE1	0.00284	0.00862	0.00439
MIR325HG	6e-05	0.00069	0.00065
ATRX	0.54692	0.72229	0.69219
MAGT1	0.23653	0.56119	0.26247
COX7B	1.11514	1.91891	0.96836
ATP7A	0.09155	0.11489	0.07883
PGK1	1.16709	1.27622	0.61824
TAF9B	0.02738	0.08635	0.03226
CYSLTR1	0.14816	0.00547	0.03422
P2RY10	0.16767	0.00641	0.01835
GPR174	0.00636	2e-04	0.00061
ITM2A	0.41003	0.16018	0.15649
BRWD3	0.08505	0.13946	0.10925
HMGN5	0.02966	0.20072	0.07834
SH3BGRL	0.90479	0.3896	0.44132
RPS6KA6	0.00074	0.01096	0.00877
HDX	0.01172	0.00839	0.01559
APOOL	0.06653	0.1846	0.10349
ZNF711	0.00233	0.04064	0.0312
POF1B	0.00372	0.16803	0.11298
CHM	0.13837	0.23808	0.14957
KLHL4	0.00024	0.00056	0.00282
PABPC5	5e-05	0.00126	0.00846
NAP1L3	0.00381	0.03581	0.01433
FAM133A	0.00242	0.10264	0.02724
DIAPH2	0.13244	0.19411	0.17463
RPA4	0.01015	0.02019	0.01735
DIAPH2-AS1	0.00212	0.00683	0.00475
PCDH19	0	0.00065	0.00185
TSPAN6	0.02214	0.76718	0.27957
SRPX2	0.00023	0.00255	0.00765
SYTL4	0.00116	0.03257	0.03083
CSTF2	0.01994	0.05085	0.01982
XKRX	0.00089	0.0029	0.00167
TRMT2B	0.01963	0.03652	0.02665
CENPI	0.00799	0.01078	0.00689
TAF7L	0.00031	0.00143	7e-04
TIMM8A	0.04647	0.21015	0.06669
BTK	0.13662	0.00451	0.0159
RPL36A	1.57913	2.07645	1.36834
GLA	0.23031	0.20126	0.12265
HNRNPH2	0.23977	0.43075	0.21633
ARMCX4	0.0096	0.03812	0.03394
ARMCX1	0.08745	0.07569	0.06614
ARMCX6	0.14748	0.19095	0.14336
ARMCX3	0.29676	0.27162	0.2474
ARMCX2	0.01777	0.05317	0.04751
ZMAT1	0.05604	0.11973	0.135
TCEAL2	0.00072	0.00025	0.0022
BEX5	0.03962	0.09395	0.04475
TMSB15A	0.00092	0.00314	0.01549
ARMCX5	0.0292	0.0986	0.07468
GPRASP1	0.01883	0.01832	0.03512
GPRASP2	0.00275	0.01235	0.01505
BHLHB9	0.00418	0.01548	0.01383
LINC00630	0.00595	0.01315	0.01493
LL0XNC01-237H1.2	0.00164	0.00547	0.00905
RAB40AL	0.00162	0.01657	0.01256
BEX1	0.00221	0.00219	0.0038
NXF3	0.00243	0.0537	0.02314
BEX4	0.21617	0.10773	0.12149
TCEAL8	0.22654	0.34628	0.22304
TCEAL5	0.00087	6e-05	0.00056
BEX2	0.03884	0.24502	0.07742
TCEAL7	0.00067	0.00048	0.04718
WBP5	0.20908	0.41056	0.44367
NGFRAP1	0.15557	1.19247	0.58042
RAB40A	6e-05	0.00059	0.00176
TCEAL4	0.25726	0.74495	0.48131
TCEAL3	0.13988	0.12397	0.11825
TCEAL1	0.05357	0.15527	0.08737
MORF4L2	0.41592	1.02771	0.53333
MORF4L2-AS1	0.00648	0.00914	0.01817
TMEM31	9e-05	0.00128	0
RAB9B	0.00159	0.0191	0.01193
LL0XNC01-116E7.2	0.00125	0.00577	0.00359
TMSB15B	0.00444	0.00599	0.00778
RP11-722G7.1	0.00163	0.0053	0.00449
SLC25A53	0.03864	0.05255	0.03204
ZCCHC18	0.00609	0.00039	0.00241
FAM199X	0.09894	0.17962	0.09929
IL1RAPL2	0	0.0019	0.00376
SERPINA7	0.00101	0.04558	0.01142
MUM1L1	7e-05	0.00489	0.00263
CXorf57	0.00626	0.0323	0.01795
RNF128	0.00835	0.38417	0.15104
TBC1D8B	0.01224	0.18957	0.09358
MORC4	0.02131	0.17802	0.06079
RIPPLY1	3e-05	0.00115	0.00042
CLDN2	0.00479	0.35439	0.10816
RBM41	0.03898	0.14186	0.113
NUP62CL	0.0035	0.05048	0.02734
PRPS1	0.1376	0.18215	0.07598
TSC22D3	1.05689	0.23116	0.33944
MID2	0.00131	0.01264	0.00574
VSIG1	0.0082	0.1946	0.10156
PSMD10	0.10334	0.33655	0.09275
ATG4A	0.04182	0.10231	0.04782
COL4A6	0	0.00123	0.0011
COL4A5	0.00237	0.07219	0.04851
NXT2	0.04464	0.07634	0.02442
KCNE5	0.00115	0.00436	0.0031
ACSL4	0.26601	0.85792	0.37364
TMEM164	0.02816	0.10734	0.05084
AMMECR1	0.04027	0.10729	0.06028
CHRDL1	0.00031	0.005	0.0061
PAK3	0.00492	0.00438	0.0069
CAPN6	8e-04	0.05319	0.01205
DCX	0	0.00181	0.00101
ALG13	0.22884	0.28601	0.19951
TRPC5	0.00017	0.00084	0.00015
LHFPL1	0.00013	0.00233	0.00095
AMOT	0.00232	0.0736	0.03634
HTR2C	0.00029	0.01921	0.01001
IL13RA2	0.00257	0.08017	0.03212
LRCH2	0	0.00118	0.00955
PLS3-AS1	6e-05	0.00132	0.00031
PLS3	0.02367	0.59025	0.31667
DANT2	0.00068	0.06972	0.04144
SLC6A14	0.00361	0.25516	0.09056
KLHL13	0.00236	0.01137	0.01252
WDR44	0.06693	0.08114	0.0564
DOCK11	0.17281	0.01511	0.03309
IL13RA1	0.20144	0.35443	0.19274
ZCCHC12	0.00116	0.00054	0.00252
LINC01285	0.00074	0.01768	0.01034
LONRF3	0.01683	0.04613	0.03026
PGRMC1	0.14858	0.85786	0.38573
SLC25A43	0.05186	0.10746	0.05037
SLC25A5	0.91496	1.59183	0.70917
CXorf56	0.04148	0.06504	0.03947
UBE2A	0.37016	0.38094	0.20346
NKRF	0.1032	0.07922	0.04753
SEPT6	0.45146	0.07808	0.13822
SOWAHD	0.02393	0.00251	0.00452
