M1	cDC1	M2	CD8Tcm	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	DC	B	Monocyte	Endothelial	Mast
PRKCZ	0.00163	0.00303	0.00742	0.03209	0.0413	0.02864	0.04932	0.00603	0.00665	0.00412	0.02276	0.00094	0.06286	0.04854
RP5-892K4.1	0	0.00183	0.00382	0.00342	0.00118	0.00061	0.00261	0	0.00263	0.00122	0.00313	0	0.01106	0
RP11-181G12.2	0	0.00015	0	0.00028	0.00037	0.00027	0.00099	0	0	0	0	0	0	0
FAAP20	0.33018	0.43591	0.364	0.1817	0.38254	0.16713	0.27091	0.51161	0.47454	0.4278	0.17599	0.42322	0.2838	0.1494
RP11-181G12.4	0.00051	0	0	0.00035	0.00031	0.0015	0	0	0	0	0	0	0	0
SKI	0.03446	0.0638	0.08112	0.24518	0.05544	0.05768	0.11854	0.19772	0.11025	0.06	0.13646	0.05463	0.35105	0.1453
MORN1	0.00379	0.00554	0.00423	0.00345	0.01349	0.01187	0.00352	0.00989	0.01056	0.00482	0.01168	0.00213	0	0
RER1	0.40573	0.53871	0.35886	0.19847	0.50349	0.19483	0.33739	0.49131	0.67108	0.47507	0.21677	0.5183	0.30615	0.2439
PEX10	0.02999	0.06283	0.03667	0.01172	0.05899	0.02661	0.01117	0.05825	0.05486	0.0503	0.016	0.0505	0.02978	0.01637
PLCH2	0	0.00079	0.00251	0.02069	0.03462	0.04419	0.017	0.00336	0	0.00095	0.01978	0.00091	0	0
PANK4	0.01923	0.03297	0.02381	0.01917	0.01662	0.01063	0.01862	0.05005	0.04207	0.02489	0.00678	0.02591	0.04005	0.01173
HES5	0.00076	0.00265	0.0038	0.00132	0.00099	0.00017	0	0.09972	0.00429	0.00433	0	0.00215	0.07378	0
RP3-395M20.12	0.0854	0.09481	0.17421	0.06887	0.02853	0.03068	0.07721	0.1659	0.05557	0.09791	0.07848	0.15074	0.00795	0
RP3-395M20.8	0.04303	0.03456	0.03945	0.04246	0.02494	0.03865	0.05573	0.00713	0.03664	0.03415	0.02678	0.03028	0.01581	0.03328
TNFRSF14	0.54595	0.54269	0.35526	0.25326	0.13768	0.16243	0.35247	0.19011	0.39465	0.60873	0.26127	0.52487	0.3095	0.2208
RP3-395M20.9	0.00268	0.00155	0.00184	0.00437	0.00213	0.00074	0.01515	0	0.00541	0.00184	0.00603	0.00267	0	0
FAM213B	0.21259	0.10646	0.04127	0.02323	0.05382	0.02121	0.04109	0.04153	0.07759	0.20578	0.01759	0.15587	0.06474	0.0186
MMEL1	0.01847	0.01623	0.00957	0.00138	0.034	0.02146	0.02312	0.00227	0.00618	0.02085	0	0.03006	0.01347	0
TTC34	0	0.0042	0	0.00073	0.00168	0.00195	0.00235	0.00248	0.00317	0.00366	0.00549	0.0033	0	0
LINC00982	0	0.00054	0	0	0.00926	0.0095	0	0.01884	0	0.00118	0	0	0	0.01088
PRDM16	0	0	0.0014	0.00014	0.02168	0.01282	0	0.03129	0.00071	0	0	0	0.02473	0
RP11-22L13.1	0.00052	0.00055	0	0	0.00031	0	0	0.00309	0	0	0	0	0	0
ARHGEF16	0.00473	0.00692	0.00203	0.00322	0.08338	0.10313	0.00288	0.0194	0.00685	0.00145	0.00485	0.00234	0.00351	0
RP11-168F9.2	0	0	0	0	0.0023	0.00152	0	0	0	0	0	0	0	0
MEGF6	0.00657	0.01083	0.00087	0.01276	0.00757	0.00817	0.00355	0.0234	0.00311	0.01101	0	0.00356	0.04342	0.00921
RP11-46F15.2	0.00057	0.00108	0	0.00205	0.00061	5e-04	0	0	0	0	0.00606	0	0	0
TPRG1L	0.0648	0.08425	0.04184	0.05632	0.06524	0.02886	0.05622	0.07141	0.05746	0.0932	0.04012	0.05334	0.09124	0.04763
WRAP73	0.02388	0.05701	0.04662	0.04409	0.04564	0.02869	0.05981	0.07758	0.07597	0.03733	0.0594	0.0535	0.07133	0.01034
TP73	0	0.00176	0	0.00083	0.00084	0	0.01316	0.00069	0.01349	0	0	0	0	0
TP73-AS1	0.02257	0.02442	0.01029	0.00781	0.01432	0.01497	0.01036	0.04311	0.01987	0.02516	0.01283	0.01123	0.05422	0.0189
SMIM1	0.02462	0.02988	0.01677	0.00886	0.1303	0.03935	0.02896	0.02282	0.01303	0.03809	0.0211	0.01433	0.02046	0.14404
LRRC47	0.05109	0.08562	0.0524	0.03719	0.08037	0.03194	0.0528	0.08477	0.10129	0.0848	0.03129	0.04883	0.10347	0.01765
CEP104	0.05665	0.07479	0.04121	0.03886	0.04791	0.02848	0.04397	0.05552	0.06708	0.05865	0.03308	0.05369	0.04863	0.01034
DFFB	0.00784	0.01233	0.00758	0.01122	0.01182	0.01423	0.01152	0.01521	0.01301	0.01138	0.00913	0.00652	0.04318	0.00856
C1orf174	0.08254	0.10595	0.0785	0.08595	0.07863	0.04252	0.08109	0.10635	0.15821	0.09273	0.07732	0.09701	0.06575	0.07039
LINC01134	0.00596	0.00222	0.00083	0	0.00205	0.00099	0.00108	0	0	0.0013	0	0.00513	0.00351	0
NPHP4	0.0079	0.01653	0.01139	0.00885	0.01195	0.0069	0.00388	0.02609	0.01728	0.02525	0.00878	0.0163	0.01794	0.00933
KCNAB2	0.28691	0.23818	0.15687	0.11588	0.01038	0.02159	0.14483	0.04014	0.25493	0.31441	0.04635	0.2914	0.03781	0.03559
RPL22	2.23034	2.29602	2.65638	2.23429	2.15089	1.25391	2.60529	2.58997	2.42424	2.16255	2.41058	2.50563	2.32375	2.72267
RP1-120G22.11	0	0	0.00065	0	0.00106	0	0.00098	0.00212	0	0	0.00318	0	0	0
RNF207	0.00292	0.00695	0.00648	0.01617	0.04472	0.05491	0.04133	0.02016	0.01202	0.00451	0.00912	0.00468	0.03931	0
ICMT	0.05814	0.1247	0.04162	0.02174	0.06515	0.02938	0.02983	0.18821	0.17802	0.09503	0.01553	0.06438	0.14899	0.02767
LINC00337	0.00147	0.00189	0.00168	0	0.00063	0.00038	0	0	0.00347	0	0	0.00138	0	0
GPR153	0.00457	0.00329	0.00223	0.00221	0.00428	0.00297	0.00132	0.04643	0.00289	0.00302	0.00295	0.00289	0.01182	0.02556
ACOT7	0.03803	0.05852	0.02422	0.02968	0.04927	0.01959	0.02536	0.05154	0.20169	0.05239	0.01173	0.04601	0.12849	0.24104
RP1-202O8.3	0.00105	0.00359	0.00607	0.00783	0.00344	0.00108	0.00698	0.0087	0.00457	0.00508	0.00325	0.00185	0.01066	0
HES2	0	0	0	0.00044	0.00099	0.00427	0.00169	0.00147	0	0.00088	0	0	0.01469	0
ESPN	0.00382	0.00246	0.00573	0.00942	0.06903	0.02614	0.00629	0.00715	0.00126	0.00206	0.00627	0.00507	0	0.00949
TNFRSF25	0.01311	0.06853	0.0157	0.32238	0.01574	0.02682	0.42105	0.03019	0.0995	0.00832	0.01957	0.00829	0.2036	0.00949
PLEKHG5	0.00422	0.06897	0.00447	0.00251	0.00743	0.0039	0.00484	0.02185	0.01126	0.01461	0	0.00426	0.1961	0
NOL9	0.02685	0.07194	0.04346	0.0532	0.0492	0.03712	0.04441	0.07534	0.07855	0.04762	0.04215	0.03556	0.07514	0.03918
ZBTB48	0.0459	0.07884	0.06365	0.03335	0.03966	0.03077	0.03308	0.07243	0.07096	0.08104	0.03645	0.03984	0.04257	0.08561
KLHL21	0.10757	0.03006	0.04506	0.05446	0.0303	0.02032	0.02641	0.02405	0.02908	0.05149	0.03804	0.04933	0.06016	0.01018
PHF13	0.0303	0.04283	0.0173	0.01578	0.03162	0.01923	0.02611	0.05219	0.04628	0.03198	0.01872	0.01873	0.04587	0.0302
THAP3	0.03659	0.04932	0.03774	0.02533	0.04251	0.02012	0.02545	0.07193	0.04966	0.04036	0.04482	0.02265	0.0429	0.05128
DNAJC11	0.03431	0.06496	0.04193	0.01752	0.05007	0.03145	0.02102	0.05485	0.06275	0.06838	0.02255	0.05225	0.07831	0.02159
RP11-312B8.1	0	0.00025	0.00079	0.00077	0.00068	0.00059	0	0.00267	0	0.00143	0	0	0	0
CAMTA1	0.3985	0.50452	0.36777	0.18155	0.39396	0.14464	0.24772	0.53109	0.53814	0.44209	0.19081	0.46279	0.544	0.28921
VAMP3	0.42925	0.37652	0.23522	0.06026	0.10804	0.05124	0.05334	0.22282	0.29933	0.42117	0.05578	0.32969	0.33807	0.14121
PER3	0.08526	0.12929	0.01814	0.01177	0.05018	0.05383	0.01285	0.0927	0.06077	0.11808	0.01519	0.04438	0.13747	0.02447
UTS2	0.10246	0.06892	0.06764	0.08303	0.00393	0.00802	0.1961	0.01674	0.09681	0.08991	0.01906	0.08437	0.00929	0.14142
TNFRSF9	0.02169	0.01713	0.02291	0.08261	0.00541	0.01017	0.5234	0.00716	0.06993	0.02321	0.0084	0.03472	0.00513	0.35183
PARK7	0.54298	0.84194	0.89855	0.56103	0.88076	0.33037	1.25747	1.19895	1.18591	0.71973	0.43821	0.86958	0.74645	0.70546
ERRFI1	0.07624	0.03427	0.02729	0.03031	0.23384	0.15824	0.01855	0.09458	0.0413	0.09388	0.00798	0.06815	0.01999	0.04373
RP11-431K24.1	0.00048	0.00097	0	3e-04	0.00467	0.0098	0.00409	0.01033	0.00434	0.00507	0	0.00301	0	0
SLC45A1	0	0.00067	0.0013	0.00212	0.00013	0	0.00302	0.01311	0	0.00114	0	0.00092	0.01324	0
RERE	0.11052	0.16079	0.10897	0.10559	0.12135	0.13768	0.11554	0.23307	0.15673	0.14302	0.18772	0.10867	0.4371	0.25504
ENO1	2.09715	1.53786	1.73061	0.67704	1.33742	0.66468	1.23186	1.17886	2.02238	1.79459	0.37828	2.24052	1.00122	0.58444
ENO1-AS1	0.00064	0.00207	0.00542	0.00243	0.00288	0.00122	0	0.0015	0.00343	0	0	0.00266	0.00392	0
SLC2A5	0.77139	0.13012	0.03964	0.00483	0.00755	0.01068	0.00353	0.02667	0.18766	0.38261	0.0288	0.39853	0.00677	0
GPR157	0.05909	0.01369	0.05039	0.00677	0.03934	0.02574	0.00397	0.01141	0.01415	0.01841	0.04258	0.06587	0.00989	0
MIR34AHG	0.03588	0.0266	0.0042	0.00569	0.01653	0.03217	0.00363	0.01986	0.01598	0.03552	0.00487	0.02108	0.04299	0
RP3-510D11.2	0.0011	0.00336	0.00161	0.00141	0.00669	0.00438	0.00143	0.01192	0.00044	0.00318	0.00316	0	0.00157	0
H6PD	0.04286	0.05173	0.02942	0.02264	0.08238	0.07919	0.03311	0.06809	0.03882	0.05831	0.02235	0.04825	0.14271	0.093
SPSB1	0.07144	0.00332	0.00746	0.04407	0.02883	0.01132	0.03892	0.0671	0.01606	0.00951	0.02822	0.0276	0.17105	0.15038
SLC25A33	0.03494	0.06009	0.10661	0.07651	0.08758	0.03263	0.04193	0.05469	0.0756	0.05951	0.10248	0.12121	0.07352	0.11844
TMEM201	0.00466	0.02001	0.00464	0.01022	0.01118	0.00967	0.00452	0.01818	0.02326	0.01638	0.0193	0.01132	0.0385	0.01034
PIK3CD	0.04622	0.12559	0.08056	0.09379	0.00516	0.01071	0.06219	0.04124	0.16603	0.08816	0.03271	0.07075	0.00704	0.0618
PIK3CD-AS1	0	0.00415	0.00537	0.00184	3e-05	0	0	0.00152	0.00622	0.00067	0.00222	0.00083	0	0
PIK3CD-AS2	0.00653	0.00417	0.00411	0.00368	0.08543	0.02589	0.02745	0.05487	0.01207	0.01145	0.03344	0.00385	0.0045	0.01933
CLSTN1	0.06549	0.11407	0.06586	0.0919	0.13247	0.10479	0.12877	0.21362	0.12466	0.1216	0.05717	0.06111	0.24017	0.03723
CTNNBIP1	0.0926	0.14914	0.13663	0.04146	0.11511	0.05537	0.06006	0.11511	0.18429	0.14413	0.03008	0.16607	0.11224	0.04822
LZIC	0.23558	0.19674	0.19463	0.08907	0.12916	0.04394	0.13736	0.23562	0.30702	0.17513	0.05544	0.25146	0.10962	0.05016
NMNAT1	0.03767	0.04825	0.02944	0.00751	0.02097	0.01635	0.02007	0.02552	0.04505	0.04206	0.00618	0.03209	0.03299	0.0107
RBP7	0.04865	0.13592	0.18536	0.00286	0.003	0.00362	0.00139	0.02249	0.04098	0.10334	0.00061	0.10777	0.61087	0
UBE4B	0.07256	0.08679	0.05842	0.05599	0.0631	0.04324	0.07016	0.06138	0.07393	0.10396	0.0495	0.07458	0.07297	0.03886
KIF1B	0.23726	0.18976	0.12784	0.05637	0.10481	0.0727	0.0523	0.17599	0.14209	0.28746	0.03528	0.24922	0.19412	0.03242
PGD	0.24304	0.28114	0.21003	0.0403	0.24494	0.08411	0.05118	0.10991	0.26607	0.29563	0.05265	0.28909	0.0856	0.15622
RP4-736L20.3	0	0	0	0	0.00079	0	0	0	0.00112	0	0	0	0	0
APITD1-CORT	0.00069	0.00241	0.00241	0.001	0.00199	0.00141	0	0	0.01142	0	0.00192	0.00143	0.00179	0
APITD1	0.01068	0.01923	0.00445	0.00693	0.04504	0.01215	0.02266	0.01886	0.09043	0.01306	0.01397	0.01029	0.03345	0
CORT	0	0	0.00074	0	0.00053	0	0.00121	0.0013	0.00134	0	0	0	0.00275	0
DFFA	0.07886	0.10139	0.09063	0.05313	0.12478	0.07116	0.07531	0.12359	0.13095	0.08632	0.06884	0.09782	0.124	0.04189
PEX14	0.01567	0.02434	0.01339	0.02555	0.02381	0.01966	0.02533	0.02914	0.02721	0.03403	0.03386	0.02526	0.04272	0.02525
CASZ1	0.00165	0.00368	0.00418	0.03162	0.04532	0.04319	0.0166	0.00736	0.00909	0.00264	0.01871	0.00121	0.0731	0.02306
C1orf127	0.00097	0.0068	0.00174	0	0.00021	0.00073	0	0	0.00321	0.00413	0	0.00059	0	0
TARDBP	0.15679	0.21255	0.12951	0.11296	0.18446	0.13048	0.09673	0.18826	0.25511	0.22591	0.14294	0.1529	0.17455	0.19598
MASP2	0.00426	0.00116	0.00315	0.00124	0.0551	0.01941	0	0.00206	0.00193	0.00126	0	0.00107	0	0
RP4-635E18.8	0.00318	0.00176	0.00186	0.00116	0.00136	0.00219	0.00137	0.00577	0	0.00084	0	0.00148	0	0
SRM	0.17744	0.31999	0.30085	0.12677	0.51492	0.16725	0.22327	0.37841	0.3584	0.2608	0.2208	0.28825	0.30372	0.12424
EXOSC10	0.06855	0.097	0.06367	0.05143	0.06221	0.04245	0.05591	0.10854	0.15522	0.075	0.06472	0.07836	0.06321	0.01747
RP4-635E18.7	0	0.0013	0	0.00142	0.00135	0.00265	0.00459	0.00192	0	0	0	0	0	0
RP4-635E18.6	0.00264	0.00388	0.00142	0.00027	0.00209	0	0.00184	0.00418	0.00696	0.00439	0.00373	0.00327	0.00447	0.00625
MTOR	0.0184	0.03899	0.0294	0.02949	0.05215	0.0348	0.0496	0.05944	0.05555	0.0389	0.02157	0.02399	0.04082	0.02375
UBIAD1	0.02578	0.03605	0.02509	0.03654	0.05674	0.01841	0.0313	0.02853	0.04883	0.03138	0.05861	0.01958	0.07554	0.04151
FBXO2	0.0032	0.00254	0.00426	0.01945	0.0501	0.01232	0.05852	0	0.01096	0.00199	0.02274	0.00675	0	0
FBXO44	0.01785	0.0246	0.0097	0.03193	0.02214	0.02396	0.0429	0.02195	0.02376	0.02161	0.03637	0.00671	0.03376	0
FBXO6	0.04455	0.09733	0.09107	0.033	0.04725	0.02142	0.03555	0.02872	0.10051	0.06019	0.03771	0.08041	0.01437	0
MAD2L2	0.13735	0.16727	0.18004	0.07186	0.0871	0.03017	0.13745	0.1223	0.41837	0.12782	0.06564	0.14751	0.12143	0.01662
DRAXIN	0.00558	0.00274	0.0054	0.00719	0.00047	0.00061	0.00602	0.00069	0.00525	0	0.00363	0.00077	0	0
AGTRAP	0.20216	0.34805	0.36855	0.10173	0.1951	0.07561	0.24248	0.18166	0.40539	0.26488	0.02132	0.34604	0.17658	0.17517
C1orf167	0	0.00041	0.00154	0	0.00475	0.00295	0	0.00296	0.00053	0	0.00146	0.00088	0	0
MTHFR	0.08182	0.13857	0.16255	0.03182	0.04097	0.03175	0.0366	0.12079	0.10354	0.14577	0.06525	0.14279	0.06749	0.01482
CLCN6	0.04606	0.0603	0.04456	0.01115	0.02985	0.02521	0.01182	0.04282	0.04698	0.05102	0.04917	0.0426	0.04057	0.01177
NPPA-AS1	0.00313	0.00398	0.00435	0.00109	0.00255	0.00539	0.00142	0	0.00108	0.00779	0.00699	0.00234	0.00657	0
NPPB	0.00364	0.0013	0.00419	0.00148	0.01859	0.01454	0.00129	0.00175	0.00279	0.00228	0	0.00925	0	0
KIAA2013	0.20783	0.23063	0.11212	0.0654	0.12971	0.07084	0.08255	0.19276	0.24332	0.2522	0.09381	0.15915	0.17582	0.05216
PLOD1	0.17874	0.18699	0.06853	0.00657	0.1259	0.07933	0.01281	0.29946	0.14923	0.21056	0.01612	0.1403	0.22605	0
MFN2	0.05918	0.08833	0.0581	0.03256	0.04884	0.02461	0.02917	0.05779	0.08564	0.10298	0.03781	0.05703	0.07785	0.02131
MIIP	0.04532	0.109	0.11648	0.06943	0.05731	0.03549	0.16195	0.11072	0.19002	0.09056	0.06719	0.07627	0.05432	0.14645
