M1	cDC1	M2	CD8Tcm	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	DC	B	Monocyte	Endothelial	Mast
RP11-644N4.1	0	0.00062	0	0.00079	0.00081	0	0	0.00095	0	0.00223	0	0	0	0
AC015987.1	0	0.00029	0.00121	0.00261	0.00052	0.00073	0	0	0.00046	0	0.00327	0	0	0
MTPN	0.62543	0.65552	0.66587	0.27804	0.38472	0.14358	0.30452	0.46207	0.77971	0.63529	0.3812	0.65205	0.41907	0.34436
AC009784.3	0.00138	0.00015	0	0.00125	0.00288	0.00526	0	0	0.00087	0	0	0	0	0
AC009264.1	0.0014	0.00068	0	0	0.01226	0.01368	0.00124	0.00212	0.00048	0.00121	0	0	0	0
CHRM2	0	0	0	0	0.00046	0.00086	0	0	0	0	0	0	0	0
PTN	0.00137	6e-04	0	0	0.00197	0.01005	0.01801	0.39292	0	0.00154	0	0	0.00167	0
DGKI	0.0011	0.00025	0	0	0.00255	0.00433	0.00874	0.00341	0.00553	0.00095	0.0013	0.00083	0.01187	0
AC090498.1	0.23716	0.27743	0.35303	0.36516	0.59166	0.20485	0.35517	0.35577	0.34319	0.26247	0.38279	0.34894	0.22946	0.39059
CREB3L2	0.1547	0.24108	0.12001	0.08076	0.31049	0.21267	0.22493	0.25035	0.26947	0.23466	0.13319	0.1983	0.18353	0.1696
AKR1D1	0.00402	0.0012	0.0023	0.00073	0.07898	0.02227	0.00294	0	0.00453	0.007	0	0.00726	0	0
TRIM24	0.0913	0.08753	0.07866	0.0691	0.24875	0.09487	0.04629	0.14252	0.13725	0.08382	0.0582	0.1002	0.12177	0.17213
SVOPL	0	0	0	0.00044	0.00158	0.00094	0	0	0	0	0	0	0	0.23372
ATP6V0A4	0	0	0	0.00027	0.00419	0.00164	0	0	0.00059	0	0	0	0	0
TMEM213	0	0	0	0.00104	0.0311	0.01351	0.00096	0	0	0	0	0	0	0
KIAA1549	0	0.00356	6e-04	0.00188	0.04898	0.03812	0.00113	0.00907	0.00229	0.00119	0	0.00173	0.02602	0.06231
ZC3HAV1L	0.00111	0.00423	0.00063	0	0.00799	0.00628	0	0.00459	0.00289	0.00707	0	0.00336	0.00998	0
ZC3HAV1	0.298	0.35893	0.39873	0.67755	0.20823	0.14602	0.47365	0.28215	0.42211	0.46168	0.37288	0.41918	0.34273	0.3344
TTC26	0.00855	0.01111	0.00067	0.00302	0.01611	0.00755	0.00454	0.02624	0.01424	0.00838	0.00772	0.00471	0.02924	0
UBN2	0.07666	0.11039	0.06522	0.04903	0.13671	0.14251	0.03251	0.13551	0.08638	0.11704	0.05737	0.07117	0.20798	0.1075
C7orf55	0.05993	0.097	0.07996	0.07188	0.41985	0.14632	0.12637	0.23478	0.15789	0.06251	0.09047	0.08062	0.16465	0.1331
LUC7L2	0.16216	0.23514	0.14224	0.17667	0.25486	0.15051	0.15643	0.24969	0.30589	0.18444	0.1647	0.17704	0.23282	0.335
RP11-634H22.1	0.00738	0.00863	0.0107	0.00978	0.00944	0.00959	0	0.00713	0.01361	0.00118	0.00716	0.0049	0.01993	0
CLEC2L	0	0	0	0.00034	0.00056	0	0	0	0	0	0	0	0	0
HIPK2	0.09137	0.08021	0.09929	0.08013	0.16616	0.10591	0.07089	0.19701	0.06866	0.078	0.21517	0.09478	0.12661	0.17893
TBXAS1	0.14044	0.46913	0.34018	0.03405	0.05798	0.03595	0.02659	0.06549	0.27011	0.35946	0.04361	0.25561	0.00135	0.228
PARP12	0.11646	0.16435	0.09228	0.05151	0.15305	0.08812	0.0607	0.03611	0.13339	0.17969	0.06816	0.12047	0.10073	0.07483
KDM7A	0.19439	0.16389	0.25992	0.08213	0.07721	0.0684	0.05966	0.09575	0.09775	0.13243	0.08178	0.23587	0.15754	0.06429
JHDM1D-AS1	0.0508	0.02497	0.05503	0.01406	0.03658	0.02712	0.00949	0.00558	0.02186	0.0214	0.01267	0.0643	0.00393	0
SLC37A3	0.0056	0.01041	0.01817	0.03494	0.14271	0.10332	0.01921	0.08041	0.01303	0.00871	0.01929	0.00751	0.13281	0.02092
RAB19	0	0	0	0.00125	7e-04	0.00132	0.00304	0	0	0	0.00358	0	0	0
MKRN1	0.2386	0.26137	0.22918	0.15234	0.27733	0.15223	0.146	0.18529	0.29246	0.27764	0.19399	0.23846	0.09707	0.21216
DENND2A	0	0.00236	0.00166	0.00047	0.01091	0.00396	0.00118	0.15361	0.00053	0	0	0.00115	0	0
ADCK2	0.08108	0.10087	0.0396	0.03521	0.08483	0.04052	0.02482	0.03051	0.09865	0.07288	0.04402	0.09986	0.0401	0.05911
NDUFB2	0.8807	1.27977	1.26476	0.69329	1.51755	0.63033	1.09578	1.31124	1.40908	1.13848	0.57309	1.30489	0.94874	0.85154
NDUFB2-AS1	0.00285	0.00534	0.00763	0.0122	0.00632	0.00946	0.00817	0.00902	0.00613	0.00632	0.00541	0.00696	0.01591	0.00761
BRAF	0.07052	0.07464	0.06322	0.11927	0.11431	0.09866	0.07086	0.08862	0.06823	0.06633	0.1509	0.08531	0.15883	0.08265
MRPS33	0.17442	0.27773	0.23895	0.13423	0.60395	0.19085	0.24194	0.25948	0.34984	0.21698	0.193	0.20636	0.15158	0.14013
AGK	0.01796	0.04397	0.02857	0.02861	0.06437	0.04057	0.04197	0.03494	0.05574	0.04132	0.04424	0.03164	0.07403	0.02927
RP5-894A10.2	0.01526	0.01261	0.0051	0.00787	0.01682	0.01449	0.01664	0.01011	0.00695	0.01381	0.0016	0.00634	0.09183	0.04146
KIAA1147	0.08616	0.09689	0.02019	0.0326	0.08684	0.07915	0.0389	0.04619	0.05079	0.07393	0.04858	0.04084	0.29873	0.12314
WEE2-AS1	0.00165	0.00169	0	6e-04	0.00281	0.00248	0.00136	0	0	0	0.00219	0	0	0
SSBP1	0.54213	0.68884	0.70178	0.42968	1.18737	0.45685	0.63177	0.7749	0.92254	0.6465	0.41786	0.7386	0.56012	0.43632
TAS2R4	0.0037	0.00227	0	0.00247	0.01531	0.01542	0.00071	0.00908	0.00377	0.00187	0.00304	0.00171	0.01572	0
MGAM	0.00365	0.00089	0.00219	0.00039	0.01021	0.00779	0.00161	0.00376	0.00253	0.00248	0	0.00624	0	0
CLEC5A	0.07141	0.06346	0.21041	0.00169	0.00286	0.00193	0	0.01511	0.1183	0.04944	0	0.28553	0	0
MGAM2	0	0.00028	0.00149	0	0.00385	0.00407	0	0.00327	0	0	0	0	0	0
TRBV3-1	0	0	0	0.00256	9e-05	0.00127	0.00418	0	0.00057	0	0	0	0	0
TRBV5-1	0.0014	0	0	0.00578	0.00012	0	0.00517	0	0.00221	0	0	0	0	0
TRBV6-2	0	0.00013	0.00081	0.00818	1e-05	0.00052	0.01065	0	0.00146	0	0	0	0	0
TRBV7-2	0	0	0	0.00293	0	0.00041	0.00188	0	0.00127	0	0	0	0	0
TRBV9	0	0	0	0.00169	0	0	0.00243	0	0.0026	0	0	0	0	0
TRBV6-5	0	0	0.00072	0.00102	0	0	0.01045	0	0.00056	0	0	0	0	0
TRBV5-4	0	0	0	0.00187	4e-05	0	0.01162	0	0	0	0	0	0	0
TRBV7-9	0	0	0	0.00171	0	0	0.00353	0	0.00225	0	0	0	0	0
TRBV14	0.00043	0.00026	0.00085	0.01799	0.00033	0.00203	0.01128	0	0	0	0	0	0	0
TRBV18	0	0	9e-04	0.004	4e-05	0.00132	0.01602	0	0.00282	0	0	0	0	0
TRBV19	0	0.00025	0	0.00221	0	0	0.00162	0	0.00179	0	0	0	0	0
TRBV20-1	0	0	0	0.00303	0	0	0.0053	0.00389	0	0	0	0	0	0
TRBV21-1	0	0	0	0.00253	6e-05	0	0.00393	0	0.00186	0	0	0	0	0
TRBV24-1	0	0	0	0.00227	0	0	0.00398	0.00144	0	0	0	0	0	0
MTRNR2L6	0	0.00024	0	0.00083	0.00243	0.00495	0	0	0	0	0	0	0.00105	0
TRBVB	0	0.00102	0.0026	0.00058	0	0	0	0	0.00031	0.00581	0	0.00388	0	0
TRBV28	0.00074	0.00084	0.00308	0.04133	0.00057	0.00243	0.08614	0.00131	0.01131	6e-04	0.00188	0	0.00259	0
TRBC1	0.03357	0.03293	0.03385	1.0049	0.02554	0.0497	1.3116	0.04438	0.30881	0.00933	0.0656	0.02756	0.05099	0.12026
PRSS2	0	0	0	0	0.01203	0.01013	0	0	0.0025	0	0.00392	0	0.00616	0
PRSS1	0	0	0	0.00076	0.00434	0.00372	0	0	0	0	0	0	0	0
TRBC2	0.03201	0.0383	0.06734	1.28028	0.03593	0.08133	1.7842	0.03857	0.37939	0.02022	0.27001	0.02897	0.08251	0.08301
EPHB6	0.01049	0.02415	0.02068	0.04298	0.01927	0.02856	0.06517	0.04022	0.04535	0.02725	0.01756	0.02145	0.00391	0
TRPV6	0.00072	0.00014	0	0	0.00852	0.01502	0.00077	0	0.00054	0.0011	0	0	0	0
KEL	0.00226	0.00129	0.00122	0	0.00023	0	0.00085	0	0	0.00063	0	0.00068	0.00137	0
PIP	0.00618	0.00067	0	0.00018	0.00656	0.00819	0	0	0	0.00571	0	0.00066	0	0
GSTK1	0.24571	0.55279	0.53756	0.53018	0.65936	0.38113	0.61965	0.48185	0.55784	0.40456	0.34383	0.52002	0.49089	0.39352
TMEM139	0	0	0.00055	0.00251	0.03369	0.02316	0.00289	0	0	0	0	0	0.00758	0
CASP2	0.05501	0.09499	0.06604	0.07399	0.08438	0.06571	0.09444	0.10289	0.14235	0.06367	0.09985	0.03867	0.12931	0.04181
CLCN1	0.00067	0.00044	0.00464	3e-04	0.00334	0.00046	0	0.00213	0	0	0	0.0028	0	0
FAM131B	0.00099	1e-04	0.00157	0.00161	0.00028	3e-04	0.00292	0.00223	0.0012	0.00441	0	0	0	0
AC093673.5	0.0878	0.05624	0.08072	0.04777	0.14103	0.04541	0.03036	0.03682	0.07148	0.06372	0.01308	0.09121	0.06017	0
ZYX	0.75361	0.74057	0.7023	0.19123	0.21765	0.12656	0.18724	0.45834	0.72116	0.84167	0.07476	0.83671	0.41018	0.03368
EPHA1	0.00122	0.00084	0.00146	0.02289	0.05434	0.02399	0.00292	0.00418	0.00813	0.00213	0.00314	0	0.00964	0
EPHA1-AS1	0.03339	0.00612	0.00842	0.09237	0.01102	0.0121	0.04886	0.0306	0.00968	0.01311	0.01752	0.01702	0.02627	0.0244
TCAF2	0.04241	0.009	0.0107	0.04886	0.00892	0.00689	0.06099	0.01136	0.01874	0.02207	0.01682	0.03312	0.02736	0
CTAGE6	0.00058	0	0	0.00209	0.00073	0.00029	0.00216	0	0	0	0	0.00128	0	0
TCAF1	0.05807	0.10798	0.03888	0.04219	0.33133	0.12604	0.04959	0.2463	0.0981	0.12093	0.04161	0.08003	0.23986	0.03877
RP4-669B10.3	0.00056	0	0	0	0.00176	0.00034	0	0	0	0	0	0	0	0
ARHGEF35	0.0098	0.01136	0.00092	0.01449	0.15005	0.08853	0.02016	0.01929	0.01145	0.00771	0.00927	0.00792	0.01073	0
RP4-545C24.1	0	0	0	0.00067	0.00043	0.00055	7e-04	0.00481	0.00061	0	0	0	0.01438	0
OR2A1-AS1	0.00272	0.00461	0.00274	0.00516	0.06047	0.03605	0.00961	0.0136	0.00408	0.00618	0.01263	0.00173	0.0215	0.00889
ARHGEF5	0.00399	0.00604	0.00258	0.03237	0.10555	0.14749	0.02937	0.00225	0.01029	0.00341	0.01809	0.00385	0.00382	0.02475
TPK1	0.04973	0.09236	0.06064	0.0417	0.02591	0.01478	0.07344	0.02164	0.10898	0.08831	0.02511	0.07546	0.1074	0.02297
CNTNAP2	0	4e-04	0.00065	0.00033	0.00585	0.00024	0	0	0.00049	0	0.0181	0	0	0
C7orf33	0	0.00037	0.00624	0	0	0	0	0	0.00072	0	0	0.00089	0	0
RP5-1136G13.2	0.01896	0.0109	0.02237	0.00605	0.02776	0.00988	0.00603	0.02337	0.00988	0.01826	0	0.01908	0.02587	0
CUL1	0.1134	0.15917	0.1385	0.06965	0.13535	0.07015	0.13955	0.14119	0.15764	0.13026	0.05508	0.14834	0.11615	0.04892
EZH2	0.04103	0.07626	0.05001	0.11077	0.06344	0.04405	0.10283	0.05997	0.44343	0.04511	0.04201	0.05819	0.05125	0.04993
GHET1	0	0.00098	0.0012	0.00329	0.00285	0.01084	0.00232	0	0.00056	0	0	0.00103	0.00203	0.02056
PDIA4	0.29603	0.60965	0.24052	0.09092	0.80374	0.48887	0.15002	0.31731	0.50691	0.49599	0.20037	0.43243	0.34533	0.07064
ZNF786	0.00606	0.01336	0.00581	0.01863	0.01681	0.00986	0.00948	0.00481	0.00956	0.01197	0.0071	0.00332	0.00741	0.01186
ZNF425	0.00105	0.00154	0.00077	0.0016	0.00354	0.00466	0.00127	0.00977	0.00248	0.00075	0	0.00076	0.00351	0
ZNF398	0.01585	0.02984	0.01593	0.01499	0.03199	0.0251	0.0189	0.03291	0.02594	0.02951	0.02137	0.01328	0.02365	0.03084
ZNF282	0.02266	0.03809	0.01947	0.02239	0.05606	0.03385	0.03596	0.05765	0.04086	0.03663	0.01124	0.0255	0.07883	0
ZNF212	0.01217	0.01725	0.01203	0.01354	0.02861	0.02621	0.01558	0.03844	0.022	0.01916	0.01763	0.00802	0.01288	0.02836
ZNF783	0.02997	0.02907	0.01445	0.01291	0.05092	0.06549	0.02633	0.03866	0.02188	0.03015	0.01534	0.01679	0.05741	0
AC004941.3	0	0.00035	0	0	0.00034	0.00043	0	0	0	0	0	0	0	0
ZNF777	0.01684	0.02635	0.01676	0.02281	0.02901	0.01416	0.02437	0.0197	0.02233	0.02412	0.02571	0.01104	0.00436	0.00761
ZNF746	0.04007	0.0672	0.03263	0.03845	0.03315	0.02381	0.03024	0.04134	0.04788	0.07976	0.0251	0.03177	0.04203	0.03084
KRBA1	0.00575	0.01937	0.00838	0.00746	0.02338	0.02188	0.00491	0.00533	0.01231	0.01169	0.00158	0.0079	0.01262	0.00984
ZNF467	0.0325	0.09465	0.09593	0.00457	0.13374	0.06246	0.00372	0.04317	0.0351	0.07675	0.01242	0.07661	0.26062	0
SSPO	0.00058	0.00149	0.0015	0	0.004	0.00736	0	0.00259	0.00074	0	0	0.00217	0.00386	0
ZNF862	0.00787	0.00564	0.00791	0.01045	0.00864	0.00834	0.01089	0.01445	0.00609	0.00623	0.00285	0.00374	0.01588	0
ATP6V0E2-AS1	0	0.00347	0.00094	0.00519	0.00149	0.00282	0.00078	0.00398	0.0026	0.00098	0.00227	0	0.0019	0
ATP6V0E2	0.0291	0.09112	0.03382	0.07041	0.10442	0.05363	0.13855	0.05158	0.13457	0.06743	0.02314	0.0415	0.01522	0.03045
RP11-728K20.3	0	0.00025	0	0.00063	0.00055	0.00027	0	0.00204	0	0	0	0	0	0
ACTR3C	0.00205	0.00788	0.00319	0.01776	0.07943	0.06934	0.03549	0.00181	0.01068	0.00057	0.02068	0.00261	0.00269	0
LRRC61	0.01672	0.01725	0.01532	0.01599	0.19193	0.05612	0.07744	0.01185	0.02351	0.00499	0.01856	0.00976	0	0.02036
ZBED6CL	0.00336	0.00396	0.00279	0.00513	0.02953	0.02619	0.01157	0.00085	0.00357	0.00166	0	0.00566	0	0.00949
RARRES2	0.1376	0.12818	0.12947	0.03459	1.35238	0.73027	0.08985	0.5963	0.12094	0.11272	0.04711	0.10759	0.02936	0
REPIN1	0.05521	0.12747	0.08663	0.04091	0.25538	0.11291	0.07293	0.08341	0.11511	0.10698	0.08938	0.06553	0.09612	0.06371
ZNF775	0.02117	0.03015	0.01944	0.00656	0.02073	0.00776	0.01505	0.04652	0.02582	0.02649	0.02386	0.01706	0.02195	0.0143
RP11-511P7.5	0.01433	0.01524	0.00644	0.04152	0.02256	0.01537	0.05105	0.0163	0.01538	0.00792	0.14683	0.00618	0.02841	0.02336
LINC00996	0.0042	0.08428	0.00648	0.00818	0.00063	0.00122	0	0.01222	0.02553	0.01298	0.04701	0.0055	0	0.08675
GIMAP8	0.01839	0.18709	0.12384	0.01989	0.00312	0.00363	0.00809	0.02991	0.1043	0.09838	0.00093	0.04647	0.14193	0.02361
GIMAP7	0.02725	0.45217	0.37496	0.53571	0.01855	0.03257	0.27883	0.07207	0.54065	0.1402	0.03324	0.13529	0.49064	0.04862
GIMAP4	0.10176	0.72163	0.60681	0.39503	0.01856	0.03711	0.20438	0.11983	0.53449	0.49045	0.02151	0.32042	0.52476	0.00949
GIMAP6	0.02416	0.19261	0.11249	0.06977	0.00328	0.00662	0.075	0.0258	0.14572	0.10831	0.01177	0.06639	0.27081	0.07694
GIMAP2	0.05682	0.23917	0.19263	0.15936	0.02477	0.02418	0.14139	0.04855	0.21326	0.15925	0.02655	0.11845	0.11607	0.10292
GIMAP1	0.02216	0.26334	0.18806	0.20738	0.00742	0.01352	0.09734	0.04906	0.20665	0.12737	0.03873	0.10464	0.28545	0.07433
GIMAP5	0.00977	0.07971	0.03626	0.05146	0.00176	0.00475	0.01083	0.008	0.07305	0.02571	0.01045	0.02289	0.07127	0
TMEM176B	0.27937	0.79892	0.26164	0.0249	1.05698	0.499	0.0537	0.42366	0.24144	0.76373	0.04472	0.2436	0.15078	0.80552
TMEM176A	0.31226	0.62862	0.22903	0.02877	1.10455	0.483	0.06534	0.51323	0.22783	0.65185	0.04138	0.22854	0.16915	0.58315
AOC1	0	0.00071	0.00072	0.00282	0.09772	0.0745	0	0.00155	0.00114	0	0.00551	0	0.01184	0
KCNH2	0.00029	0.00101	0	0.00237	0.02857	0.0119	0.00271	0	0.00193	0	0	0	0	0.22328
NOS3	0.00091	2e-04	8e-04	0.00278	0.0013	0.00083	0.00131	0	0.0015	0	0	0.00217	0.36259	0
ATG9B	0.00909	0	0.00078	0.0074	0.00562	0.00595	0.00564	0	0.00458	0.00199	0.01225	0.00204	0.00767	0.0107
ABCB8	0.04596	0.0721	0.0411	0.03998	0.07659	0.05097	0.04252	0.05347	0.1039	0.05199	0.05334	0.04156	0.07025	0.09208
ASIC3	0.0021	0.00041	0	0.00162	0.0017	0.0014	0.00136	0.00074	0.00147	0.00261	0.00327	0.00109	0.00605	0.04271
CDK5	0.05267	0.07782	0.05652	0.01404	0.10144	0.02592	0.05168	0.05205	0.08716	0.08182	0.01865	0.07243	0.06624	0.04131
SLC4A2	0.10272	0.07667	0.05041	0.02712	0.18212	0.10551	0.05207	0.08753	0.11094	0.10031	0.0334	0.07068	0.12986	0.1632
RP11-148K1.12	0	0.00079	0	0	0.00031	0	0	0	0.00051	0	0	0	0	0
FASTK	0.10232	0.14645	0.1039	0.07816	0.25999	0.14326	0.12032	0.18629	0.18219	0.13451	0.09279	0.09378	0.16006	0.05934
TMUB1	0.17666	0.15047	0.11079	0.14535	0.27567	0.16014	0.17696	0.07795	0.23107	0.1546	0.1333	0.16567	0.12991	0.11372
AGAP3	0.23302	0.16819	0.1246	0.02385	0.05788	0.0524	0.02132	0.04903	0.11104	0.22612	0.01472	0.2221	0.18426	0.16545
ABCF2	0.03892	0.09157	0.07539	0.03995	0.10596	0.03656	0.06057	0.09305	0.10694	0.07442	0.03086	0.06046	0.07996	0
CHPF2	0.0454	0.06081	0.0284	0.03659	0.07798	0.03756	0.04243	0.06038	0.04539	0.05496	0.02099	0.05122	0.0651	0.07231
SMARCD3	0.02242	0.03167	0.06394	0.01589	0.01128	0.01158	0.00495	0.13101	0.01879	0.03581	0.00324	0.06551	0.002	0
RP4-548D19.3	0.00067	0.0016	0.00053	0.00202	0.01149	0.01597	0.00508	0.01162	0	0.00146	0.00358	0.00197	0.006	0
NUB1	0.18299	0.29061	0.26712	0.22884	0.27266	0.16066	0.24673	0.27341	0.28669	0.26595	0.22461	0.2496	0.28897	0.17458
WDR86	0.0041	0	0.00439	0.00645	0.00065	0	0.00301	0.003	0.00039	9e-04	0.00604	0.0034	0.0045	0
RHEB	0.79571	0.55707	0.44153	0.33446	0.69382	0.23493	0.35996	0.62112	1.05718	0.67568	0.25834	0.76006	0.58218	0.47819
PRKAG2	0.33832	0.12613	0.17415	0.0992	0.09504	0.08691	0.10017	0.09467	0.1352	0.14757	0.06834	0.20817	0.10913	0.13902
PRKAG2-AS1	0.091	0.03434	0.06737	0.01449	0.01191	0.00469	0.01694	0.02561	0.02997	0.04527	0.00636	0.0845	0.00181	0.02424
GALNT11	0.1051	0.11755	0.07069	0.1189	0.12539	0.07774	0.07303	0.13746	0.10581	0.11781	0.0507	0.1113	0.15151	0.13216
RP5-981O7.2	0.00133	0.00015	0	0.00057	0.00017	0	0	0	0.00043	0.00077	0	0.00068	0	0.01116
KMT2C	0.31895	0.36935	0.29414	0.24415	0.25123	0.25535	0.16343	0.28216	0.32734	0.36944	0.21743	0.35523	0.39253	0.25126
LINC01003	0.0519	0.05482	0.06753	0.04514	0.11312	0.05822	0.04915	0.03501	0.05626	0.0446	0.03477	0.08149	0.05219	0
XRCC2	0.00336	0.01566	0.00151	0.0016	0.02679	0.0239	0.00357	0.00112	0.042	0.00698	0.00107	0.00113	0.0214	0
ACTR3B	0.00398	0.01097	0.01097	0.007	0.05053	0.03668	0.02183	0.0129	0.00704	0.00433	0.01151	0.00864	0.02415	0.00638
LINC01287	0	0	0.00113	0	0.00085	0.00079	0	0	0	0	0	0	0	0
PAXIP1-AS2	0.01486	0.02976	0.02241	0.01879	0.03201	0.02022	0.02192	0.0467	0.0273	0.02368	0.02955	0.01477	0.01646	0.03218
PAXIP1	0.02007	0.04836	0.03228	0.01557	0.06027	0.0554	0.01568	0.04009	0.05884	0.02601	0.02011	0.02119	0.0615	0.0086
RP11-5C23.1	0.00841	0.01341	0.00517	0.00545	0.01511	0.01168	0.00736	0.00795	0.01332	0.01048	0.00452	0.00419	0.02146	0
RP11-5C23.2	0.00059	0.00111	0	0.00094	0.00178	0.00186	0.0018	0	0.00117	0.0019	0	0.00222	0.00549	0
PAXIP1-AS1	0.01847	0.01892	0.01583	0.02964	0.0941	0.08725	0.04334	0.05317	0.03142	0.01621	0.03081	0.01856	0.01266	0.02098
AC144652.1	0.02026	0.03648	0.06056	0.02852	0.02338	0.02265	0.02254	0.00903	0.04213	0.02632	0.01263	0.04141	0.06718	0.01463
INSIG1	0.4114	0.41209	0.37242	0.21062	0.41909	0.21875	0.15313	0.15712	0.41567	0.55083	0.09118	0.53225	0.31605	0.09817
EN2	0.00059	2e-04	0.00135	0.00076	0.00678	0.00422	0	0	0	8e-04	0	0	0	0
AC009403.2	0.02602	0.02759	0.02509	0.02351	0.14332	0.0834	0.03717	0.02471	0.03453	0.0168	0.04905	0.02193	0.02284	0.03748
RBM33	0.16585	0.1768	0.19335	0.22175	0.22213	0.22631	0.25599	0.16236	0.21308	0.17728	0.26783	0.18217	0.19761	0.20363
SHH	0.00266	0.00255	0.00324	0.00193	0.09957	0.05958	0.00199	0.00196	0.00297	0.00215	0.00455	0	0.00264	0
AC021218.2	0	0	0	0.00184	0.0326	0.03415	0	0	0.00059	0	0.00355	0	0	0
LINC01006	0.02031	0.01545	0.00674	0.01024	0.08409	0.04952	0.02246	0.0313	0.02003	0.01291	0.02594	0.01379	0.01596	0.0372
RNF32	0.0074	8e-04	0.00168	0.00526	0.01629	0.00992	0.01378	0.00425	0.00386	0.00213	0	0.00345	0	0
AC005534.8	0	0	8e-04	0.00038	0.00049	0.00106	0	0	0.00052	0	0.00312	0.00151	0.01039	0
LMBR1	0.04767	0.06249	0.03614	0.03638	0.10869	0.04755	0.03121	0.06953	0.0555	0.06177	0.03416	0.03323	0.19901	0.02755
NOM1	0.04493	0.06358	0.06122	0.08206	0.07428	0.07821	0.07487	0.07517	0.11026	0.05506	0.06801	0.06124	0.13814	0.03739
MNX1	0	7e-04	0	0.00117	0.04351	0.04929	0	0.00139	0.00174	0	0.00058	0	0.00152	0
MNX1-AS2	0	0.00018	0.00058	0	0.00095	5e-04	0	0	0	0	0	0	0	0
MNX1-AS1	0.00228	0.00072	0.00151	0.00034	0.03614	0.00663	0	0.00635	0.00248	0.00297	0	0.00079	0	0
RP4-639J15.3	0.01108	0.00038	0	0	8e-05	0	0	0	0.00045	0.00072	0	0.00361	0	0
UBE3C	0.09287	0.14797	0.1051	0.08688	0.15493	0.09449	0.08764	0.13508	0.14351	0.15389	0.09347	0.101	0.21511	0.01856
DNAJB6	0.87898	0.91708	1.19821	1.22678	0.49897	0.34971	0.79153	0.76047	1.06791	1.17832	0.71988	1.18753	0.81371	1.18041
PTPRN2	0.01317	0.01688	0.01157	0.03886	0.07433	0.04442	0.10362	0.09932	0.04048	0.01286	0.02457	0.02631	0.24855	0.08485
AC005481.5	0	0.00071	0	0	0.00088	0.00061	0	0	0	0	0	0	0.00289	0
AC011899.9	0.01657	0.04154	0.02768	0.00018	0.00078	0.002	0.00414	0.00391	0.02223	0.04271	0	0.02954	0	0.02726
RP11-452C13.1	0.00539	0.00504	0.00231	0	0.00017	0	0	0	0.003	0.00775	0	0.00484	0	0
NCAPG2	0.02203	0.04002	0.00991	0.01009	0.04206	0.01779	0.01166	0.02842	0.28283	0.01525	0.00844	0.01479	0.0264	0
ESYT2	0.16697	0.08199	0.0714	0.12196	0.15133	0.09341	0.11247	0.22377	0.1156	0.12129	0.06886	0.14742	0.23847	0.14716
WDR60	0.06206	0.05581	0.0367	0.04469	0.11817	0.1771	0.04611	0.17748	0.06299	0.05863	0.05092	0.06615	0.27391	0.03725
VIPR2	0.00093	0	0	0.00908	8e-05	0.00101	0	0.02544	0	0	0.00385	0.00115	0	0.00893
PLCXD1	0.05274	0.05453	0.04501	0.01538	0.17449	0.12339	0.01859	0.04884	0.05437	0.05907	0.01999	0.05948	0.03936	0
GTPBP6	0.13172	0.16382	0.13863	0.09522	0.1229	0.06514	0.11369	0.16879	0.20299	0.15299	0.06808	0.16518	0.09915	0.05527
LINC00685	0.01972	0.03048	0.02319	0.03199	0.04462	0.05346	0.02353	0.04051	0.02377	0.0248	0.02967	0.02817	0.04456	0.05271
PPP2R3B	0.0276	0.04213	0.02104	0.02114	0.042	0.03443	0.02185	0.0374	0.1261	0.04014	0.02238	0.02089	0.07134	0
RP11-309M23.1	0.00047	0.00057	0.00184	0.00054	0.00026	0.00573	0	0	0	0	0.00209	0.00257	0.00489	0
CRLF2	0.00114	0	0.0045	0.00051	0.00026	0.00133	0.013	0	0.00038	0	0	0.00839	0	0.10272
CSF2RA	0.18634	0.25047	0.20691	0.00344	0.01576	0.01767	0.00149	0.03032	0.13838	0.23314	0.01319	0.26833	0.00541	0
IL3RA	0.07224	0.01654	0.04008	0.0019	0.00136	0.00302	0.00614	0.00915	0.01688	0.01328	0.00813	0.06359	0.5926	0.05902
SLC25A6	0.78184	1.08191	1.19582	0.57909	0.74274	0.30619	0.72121	1.4178	1.1224	0.93414	0.86811	1.11764	0.99808	0.64998
LINC00106	0.00135	0.00269	0.00189	0.00113	0.0019	0.00326	0.00388	0.00278	0.00255	0.00141	0.00327	0	0.01268	0
ASMTL-AS1	0.00216	0.00657	0.00187	0.00245	0.00592	0.01104	0.00138	0.00309	0.0026	0.00737	0.01113	0.00825	0.01044	0
ASMTL	0.03601	0.0776	0.07007	0.04166	0.05953	0.0414	0.06438	0.06458	0.0592	0.07439	0.05374	0.0489	0.08545	0.10128
P2RY8	0.0037	0.01668	0.04017	0.14927	0.00339	0.0045	0.0405	0	0.0336	0.0185	0.08066	0.01147	0.03554	0.03894
AKAP17A	0.09715	0.1427	0.14449	0.21367	0.10966	0.11828	0.149	0.13764	0.14026	0.1434	0.2343	0.12202	0.25776	0.23985
ASMT	0	0	0	0.00149	0.00017	0	0.01037	0	0.00091	0	0	0	0	0
DHRSX	0.10031	0.16169	0.09807	0.05399	0.11522	0.04787	0.07838	0.09775	0.11853	0.16512	0.03868	0.12793	0.04539	0.0446
ZBED1	0.0625	0.1782	0.0913	0.03876	0.09155	0.05812	0.04264	0.11061	0.1427	0.1612	0.03518	0.10631	0.09079	0.03412
