DC	Mono/Macro	CD8T	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	B	Endothelial	Mast
CD63	2.59563	2.38022	0.59171	2.27396	1.46478	0.64261	2.6754	2.04474	0.68109	1.90834	2.49036
RP11-644F5.11	0.02178	0.02777	0.00789	0.04614	0.01709	0.00879	0.04006	0.02849	0.01321	0.02262	0
GDF11	0.01545	0.01581	0.09071	0.09554	0.04764	0.06454	0.20145	0.04295	0.04861	0.03173	0.05696
SARNP	0.09897	0.06463	0.07927	0.08035	0.04207	0.06859	0.10059	0.09916	0.07649	0.04393	0.05653
RP11-762I7.5	0.00071	0.00069	0.00124	0.00033	0	0	0.00589	0.00164	0	0.00872	0
ORMDL2	0.26631	0.24029	0.16545	0.45171	0.17969	0.21351	0.15616	0.35271	0.18675	0.20168	0.1197
DNAJC14	0.06636	0.04445	0.01918	0.06335	0.02373	0.01468	0.0505	0.05515	0.02535	0.0469	0
MMP19	0.70188	0.13245	0.01027	0.02194	0.03252	0.00553	0.09752	0.10137	0.00644	0	0
PYM1	0.12933	0.1276	0.06714	0.18756	0.06469	0.11639	0.11148	0.16318	0.05577	0.11342	0.04223
DGKA	0.03888	0.03854	0.13613	0.05709	0.05668	0.17139	0.02573	0.07618	0.09986	0.08849	0.02012
PMEL	0.00046	0.00176	0.00062	0.00736	0.00465	0	0	0.00101	0	0.01115	0
CDK2	0.0318	0.02128	0.01492	0.0439	0.03065	0.01729	0.05557	0.08683	0.01902	0.09694	0.01325
RAB5B	0.13918	0.13445	0.07696	0.23357	0.11562	0.07842	0.16939	0.1391	0.05999	0.10958	0.04995
SUOX	0.02816	0.03578	0.00489	0.07658	0.03528	0.03928	0.03753	0.03289	0.00745	0.05724	0.00927
IKZF4	0.0221	0.02427	0.02557	0.02526	0.02196	0.26347	0.07013	0.05752	0	0.01903	0.01961
RPS26	1.50335	1.51672	2.49211	2.28309	1.33874	2.50501	1.92951	1.90838	2.24402	2.22276	2.82537
ERBB3	0.01728	0.01517	0.01712	0.65143	0.46491	0.01838	0.01597	0.01493	0.01481	0.01431	0
PA2G4	0.55823	0.5935	0.41635	0.94848	0.37919	0.56939	0.6689	1.10134	0.27587	0.47243	0.53012
RP11-603J24.17	2e-04	8e-04	0	0.00057	0.00089	0	0	0.00141	0	0	0
RPL41	3.16218	3.22201	3.96564	3.79162	2.63139	3.99639	3.55776	3.28919	3.80853	3.4036	3.9237
ZC3H10	0.02092	0.02772	0.01708	0.02256	0.02097	0.00598	0.04318	0.02651	0.02308	0.04207	0.01186
ESYT1	0.1558	0.16235	0.09101	0.11397	0.05815	0.13066	0.11653	0.21743	0.03905	0.15501	0.16379
RP11-603J24.14	0	0.00015	0	0.00025	0	0	0	8e-04	0.00079	0	0
MYL6B	0.17044	0.12109	0.03284	0.3744	0.1301	0.13994	0.34182	0.20017	0.08511	0.23759	0.07894
MYL6	2.74011	2.55433	1.9014	1.85966	1.07517	2.50838	2.85371	2.74723	1.43861	2.2631	1.84042
SMARCC2	0.11418	0.11949	0.1317	0.1415	0.11906	0.1693	0.15598	0.19375	0.14582	0.1539	0.04204
RNF41	0.06255	0.08386	0.06977	0.08396	0.04264	0.06928	0.0835	0.09285	0.13038	0.07219	0.04738
NABP2	0.08242	0.07823	0.03767	0.21546	0.06745	0.08781	0.13576	0.17281	0.0395	0.14247	0.0273
SLC39A5	0.0241	0.01855	0.00607	0.3583	0.22801	0.01279	0.01869	0.02558	0.01315	0	0.01107
ANKRD52	0.01678	0.01936	0.01959	0.04119	0.02348	0.024	0.02997	0.03419	0.01637	0.03379	0.00893
COQ10A	0.01354	0.0186	0.05796	0.05375	0.02747	0.04913	0.03426	0.02423	0.07661	0.05666	0.03756
CS	0.14412	0.17211	0.07017	0.16261	0.09513	0.05911	0.15162	0.21262	0.06553	0.1489	0.0211
RP11-977G19.11	0.01555	0.01813	0.02319	0.03016	0.00941	0.0321	0.0338	0.02919	0.01005	0.01154	0.04784
RP11-977G19.12	0	0	0.00143	0.00027	0.00085	0.00216	0	0.00051	0	0	0
CNPY2	0.22617	0.27063	0.16224	1.02038	0.44879	0.33545	0.39404	0.38286	0.20537	0.29598	0.18665
PAN2	0.02709	0.03636	0.01426	0.04691	0.05134	0.00423	0.01776	0.04016	0.01716	0.08418	0.01777
IL23A	0.01367	0.00947	0.08268	0.00583	0.00672	0.0598	0.00585	0.03002	0.0677	0.0042	0
STAT2	0.20503	0.29405	0.07573	0.18495	0.1546	0.08848	0.22238	0.2198	0.09397	0.19797	0.05826
APOF	0.00102	0.00209	0.00076	0.05364	0.02493	0.00091	0.00164	0.00329	0	0	0
TIMELESS	0.0422	0.02316	0.00685	0.06416	0.03316	0.01571	0.0287	0.11545	0.01002	0.04296	0
SPRYD4	0.04387	0.05199	0.02409	0.21001	0.05746	0.02899	0.04273	0.05068	0.04274	0.02442	0.0227
GLS2	0.00019	0	0.00111	0.00173	0.00202	0.00148	0	0.0012	0	0	0
RBMS2	0.03245	0.0464	0.01462	0.0401	0.03239	0.01264	0.12212	0.03443	0.01235	0.30147	0.0121
BAZ2A	0.1424	0.16574	0.15835	0.25013	0.18231	0.17052	0.26802	0.15303	0.19942	0.34833	0.14394
ATP5B	0.80756	0.85726	0.48258	1.1776	0.4851	0.62493	1.10461	1.07572	0.47848	0.80454	0.51566
PTGES3	1.2509	1.21228	1.06068	1.50045	0.63344	1.1632	1.09765	1.6693	0.92768	0.83656	1.02894
NACA	2.208	2.3232	2.24865	2.5819	1.46496	2.64093	2.55303	2.21727	2.24202	2.18473	2.67789
PRIM1	0.07427	0.0408	0.02556	0.07676	0.01839	0.03934	0.03123	0.20107	0.01815	0.01589	0
HSD17B6	0.00246	0.00032	0.00037	0.04145	0.0118	0.0012	0	0.00641	0.00055	0	0
RDH16	0.00086	0.0013	0.001	0.00536	0.00159	0.00137	0	0.00057	0.00368	0.00264	0
ZBTB39	0.00967	0.01097	0.00743	0.01632	0.01043	0.00972	0.02132	0.01098	0.00137	0.00993	0
TAC3	0	0	0	5e-04	0.00178	0	0	0	0	0	0
MYO1A	0.00137	0.00236	0.00039	0.01507	0.00928	0	0.00169	0.00395	0.00425	0.00525	0.00984
NEMP1	0.05196	0.04965	0.01805	0.05278	0.04549	0.01719	0.03708	0.15866	0.03392	0.03362	0.01037
NAB2	0.09485	0.08806	0.0349	0.04348	0.03184	0.05812	0.10034	0.09157	0.08188	0.06747	0.01814
STAT6	0.18007	0.22638	0.09932	0.21926	0.21607	0.06373	0.16711	0.18643	0.19329	0.23378	0.0515
LRP1	0.58432	0.61623	0.00873	0.28371	0.28414	0.01394	0.43937	0.36963	0.0298	0.03396	0
LRP1-AS	0.00156	0.00227	0.00029	0.00014	0.00052	0	0	0.00052	0	0	0
NXPH4	0.00108	0.00016	0.01542	0.00595	0.00399	0.00203	0.05427	0.00661	0.01193	0	0
SHMT2	0.17316	0.19114	0.06407	0.69951	0.29635	0.19353	0.24106	0.32276	0.12372	0.10019	0.11938
RP11-123K3.9	0.00235	0.00355	0.00128	0.01317	0.01306	0.00112	0.00502	0.00387	0	0.00311	0
NDUFA4L2	0.0244	0.01993	0.00542	0.14267	0.0667	0.0073	2.01998	0.02174	0.00756	0.00482	0.01443
STAC3	0.12836	0.14908	0.00383	0.01073	0.01204	0	0.02418	0.17881	0.00787	0.00365	0.0349
R3HDM2	0.12794	0.17643	0.19643	0.16933	0.1333	0.16111	0.28236	0.1584	0.21334	0.22126	0.11548
RP11-756H6.1	0.00207	0.00064	0.00097	0.00029	0.00024	0	0	0.00196	0.00055	0	0
INHBC	0.00017	0	0	0.00091	0	0	0	0	0	0	0
INHBE	0.00888	0.00736	0.00279	0.17338	0.089	0.00572	0.00299	0.00839	0.00796	0	0
GLI1	0.00146	0.00037	0.00058	0.00291	0.00031	0.00106	0.01861	0.00235	0.00662	0	0
ARHGAP9	0.11016	0.15426	0.37225	0.00937	0.01902	0.36741	0.02696	0.21844	0.17935	0.02913	0.06413
MARS	0.0751	0.10005	0.07095	0.20558	0.12728	0.08588	0.09452	0.14691	0.08737	0.13942	0.03109
DDIT3	0.20688	0.26314	0.28248	0.5223	0.25254	0.17102	0.33114	0.29771	0.29072	0.12101	0.39961
MBD6	0.07038	0.09068	0.06127	0.1393	0.11142	0.08565	0.14435	0.10973	0.04042	0.11965	0.07771
DCTN2	0.24164	0.25799	0.11452	0.3232	0.11269	0.18813	0.42888	0.34302	0.12111	0.32904	0.16643
KIF5A	0	0	0.00134	0.00013	0	0	0.00866	0	0.00376	0	0
PIP4K2C	0.04193	0.03415	0.02956	0.07458	0.04218	0.02811	0.05205	0.04174	0.00945	0.01601	0.03179
DTX3	0.0016	0.0026	0.02387	0.02397	0.02016	0.03843	0.26524	0.0149	0.01983	0.03149	0.01463
ARHGEF25	0	0.00101	0.00065	0.00951	0.00561	0	0.18998	0.00171	0	0.00272	0
SLC26A10	0	0	0	0.00065	0.00172	0.00136	0.01523	0	0	0	0
B4GALNT1	0.00075	0.00078	0	0.00943	0.00458	0	0.05925	0.0042	0.00095	0	0
OS9	0.4657	0.51465	0.11148	0.54103	0.34838	0.15517	0.38398	0.40285	0.14144	0.41297	0.11742
RP11-571M6.7	5e-04	0.00116	0.00065	0.00033	0.00041	0	0	0.00067	0	0.00494	0
AGAP2	0.01901	0.02009	0.06615	0.00158	0.00276	0.07004	0.12026	0.04867	0.02542	0.00352	0.01981
AGAP2-AS1	0.00079	0.00092	0.00055	0.01205	0.00706	0	0.04901	0.0015	0	0.07645	0
TSPAN31	0.16088	0.18135	0.09315	0.24326	0.12981	0.10193	0.22101	0.11963	0.13655	0.17622	0.13236
CDK4	0.22258	0.17609	0.06886	0.42785	0.13676	0.09839	0.35667	0.34811	0.09823	0.15157	0.14653
MARCH9	0.07342	0.05041	0.10775	0.0538	0.05273	0.0776	0.12617	0.05653	0.18117	0.07544	0.03716
CYP27B1	0.0234	0.00126	0.00067	0.00524	0.003	0.00382	0.00142	0.00359	0.00161	0	0
METTL1	0.07689	0.03788	0.00972	0.10902	0.03421	0.01648	0.06007	0.04257	0.01589	0.0609	0.00889
METTL21B	0.04712	0.02282	0.00564	0.04676	0.02545	0.00746	0.04401	0.01943	0.00123	0.02578	0
TSFM	0.07437	0.07052	0.06364	0.25767	0.0814	0.0972	0.10882	0.1557	0.06323	0.08601	0.07355
AVIL	0.00606	0.00709	0.01051	0.03083	0.03944	0.00544	0.02483	0.0039	0.00845	0.00799	0.01034
RP11-571M6.17	0.00066	0.00148	0.00069	0.00208	0.00041	0.00171	0.00156	0.00182	0	0	0
RP11-571M6.18	0	0.00017	0.00059	5e-04	0.00157	0	0	0.00048	0	0	0
CTDSP2	0.13763	0.14496	0.11472	0.21056	0.11896	0.12669	0.33093	0.14137	0.08551	0.23906	0.05884
RP11-620J15.2	0	0.00042	0	0.00061	0.00077	0	0	0	0	0.00993	0
RP11-620J15.4	0	0.00022	0	0.00061	0.00063	0	0.00346	0	0	0	0
RP11-620J15.3	0.02512	0.02623	0.02363	0.04972	0.01463	0.02906	0.09349	0.14943	0.03761	0.03581	0.20741
XRCC6BP1	0.02198	0.0163	0.01469	0.05706	0.01435	0.03988	0.01162	0.08912	0.00885	0.00454	0.03474
LRIG3	0.00369	0.00266	0.00074	0.10984	0.06926	0	0.03952	0.00048	0.00543	0.13872	0
RP11-150C16.1	0	0	0.00014	0.00184	0.00513	0	0	0	0	0	0
SLC16A7	0.03902	0.06796	0.11099	0.18989	0.12695	0.08386	0.0881	0.11226	0.07838	0.17142	0.02325
FAM19A2	0.00587	0.00845	0.00437	0.01203	0.00884	0.00542	0.00482	0.01327	0.01216	0	0.00966
USP15	0.37038	0.39724	0.41764	0.18645	0.16789	0.57651	0.25462	0.42163	0.29835	0.21025	0.18191
MON2	0.13539	0.15403	0.11559	0.17918	0.17246	0.09817	0.16665	0.1263	0.1385	0.19664	0.08333
LINC01465	0.01505	0.0071	0.00565	0.0041	0.00527	0.00638	0.00571	0.0101	0.00383	0.00632	0
RP11-631N16.2	0.01813	0.01104	0.01863	0.02245	0.03195	0.01358	0.03057	0.01187	0.01869	0.05449	0.01156
RP11-631N16.4	0.01252	0.01235	0.01477	0.01627	0.02161	0.00712	0.01914	0.00907	0.00637	0.02565	0
PPM1H	0.01638	0.01373	0.00108	0.04694	0.02436	0.00132	0.0106	0.00987	0	0.02697	0.05781
AVPR1A	0	0.00046	0	0.00064	0.00048	0	0.26587	0.00071	0	0	0
DPY19L2	0	0	0.00212	0.00313	0.00432	0.00068	0.05089	0	0	0.0036	0.01018
RP11-415I12.3	0	0.00032	0	0.00151	0.00082	0	0	0.00044	0.00087	0	0
TMEM5	0.06173	0.06763	0.03822	0.41766	0.13134	0.07341	0.16016	0.0975	0.05156	0.09012	0.03727
SRGAP1	0.07809	0.12317	0.00439	0.12043	0.1149	0.0021	0.12398	0.06238	0.00583	0.19204	0.01253
C12orf66	0.01913	0.02645	0.01117	0.06641	0.03987	0.01843	0.01325	0.02214	0.01215	0.01034	0
C12orf56	0.00234	0.00188	0.00069	0.02749	0.0048	0	0.00083	0.00116	0	0	0
XPOT	0.12471	0.13413	0.06575	0.45832	0.23124	0.0839	0.13094	0.17042	0.02972	0.14287	0.07943
RP11-114F3.4	0.00843	0.00331	0.00185	0.00068	0.00328	0.00121	0	0.00571	0	0	0
TBK1	0.12877	0.12569	0.05993	0.15966	0.08986	0.07652	0.07823	0.14453	0.08855	0.12053	0.07751
RASSF3	0.30354	0.24301	0.14413	0.18301	0.10098	0.09039	0.14783	0.20689	0.14809	0.22721	0.14163
RP11-338E21.3	0.00197	0.00174	0.0033	0.00019	0	0.00098	0.00152	0.00051	0	0	0
GNS	1.00219	0.73229	0.03987	0.36185	0.20952	0.05578	0.20994	0.50782	0.03809	0.25929	0.1216
TBC1D30	0.01242	0.01314	0.00032	0.04215	0.02642	0	0.05208	0.01208	0.00093	0.03202	0.06481
RP11-766N7.3	0	0	0	0.00156	0.00092	0	0	0	0	0.01038	0
LEMD3	0.0814	0.08534	0.08089	0.09742	0.0704	0.08551	0.10779	0.09755	0.06671	0.15775	0.03619
MSRB3	0.00091	0.00164	0.0014	0.00399	0.00376	0	0.41175	0.00052	0	0.2507	0.06226
RP11-221N13.3	0	0	0	0.00099	0	0	0.00429	0	0	0	0
HMGA2	0.00221	0.00273	0.00178	0.04691	0.02674	0.00141	0.00205	0.0026	0	0	0
RP11-366L20.2	0	0.00045	0	0.00057	0	0	0.00529	0.00054	0	0	0
LLPH	0.27926	0.26782	0.22184	0.35039	0.13146	0.19648	0.27028	0.40158	0.2061	0.21449	0.19572
RP11-745O10.4	0.00011	0.00093	0	0.00053	0	0	0	0	0	0	0
TMBIM4	0.62479	0.74926	0.29561	0.89031	0.34563	0.4726	0.52076	0.81655	0.40327	0.63227	0.59423
IRAK3	0.11029	0.18367	0.00988	0.07378	0.05827	0.0159	0.08409	0.14777	0.01539	0.18345	0.0373
HELB	0.04455	0.05694	0.1272	0.06641	0.06716	0.08551	0.03696	0.11193	0.0501	0.04954	0.0121
GRIP1	0.00988	0.02282	0.00197	0.0084	0.00502	0.00259	0.00543	0.02781	0	0	0
CAND1	0.27906	0.24656	0.2146	0.31526	0.20085	0.22254	0.28822	0.35975	0.1979	0.2984	0.07658
DYRK2	0.14922	0.15003	0.14573	0.12755	0.08976	0.08248	0.25031	0.14094	0.08132	0.1071	0.11246
IFNG-AS1	0	0	0.01365	0.00023	0	0	0.00258	0.00251	0.03124	0.00519	0
IFNG	0.00882	0.0111	0.57115	0.01056	0.03099	0.1601	0.01611	0.15638	0.03212	0.04419	0.03778
IL26	0	0.00044	0.01332	0	0	0.00345	0	0.00305	0.00105	0.00241	0
IL22	0	0.00072	0.0077	2e-04	0	0.0021	0	0.00154	0	0	0
MDM1	0.02927	0.04005	0.02914	0.03831	0.02542	0.03958	0.03222	0.08656	0.01938	0.05485	0.02396
RP11-81H14.2	0.00476	0.0047	0.01239	0.00092	0.00022	0	0.00803	0.00412	0.03681	0.00537	0
RAP1B	0.62791	0.56129	0.57492	0.34727	0.16664	0.48122	0.52459	0.64351	0.49218	0.59995	0.4422
RP11-637A17.2	0.00453	0.00338	0.00544	0.00745	0.00128	0.0095	0.00506	0.00234	0	0	0
NUP107	0.09703	0.08082	0.05365	0.13762	0.09875	0.06968	0.08385	0.22662	0.06628	0.08736	0.0284
SLC35E3	0.12898	0.09193	0.03973	0.21337	0.16572	0.07859	0.10719	0.11841	0.04326	0.10236	0.02431
MDM2	0.26554	0.16373	0.13057	0.26431	0.18954	0.14904	0.2092	0.20433	0.22594	0.22726	0.15397
RP11-611O2.1	0.00541	0.00474	0.00136	0.00341	0.00645	0.0021	0	0.003	0.00966	0.00214	0
RP11-611O2.5	0.00291	0.00313	0.00027	0.00063	0.00214	0.00165	0.0099	0.00111	0.00329	0	0.01053
CPM	0.23462	0.37544	0.01431	0.26439	0.14311	0.05902	0.24774	0.24263	0.00564	0.04531	0.28296
CPSF6	0.1734	0.18404	0.12062	0.29136	0.17045	0.14704	0.20532	0.25215	0.09096	0.21043	0.10483
RP11-1143G9.5	0.00315	0.00625	0.004	0.05415	0.05196	0.00237	0.001	0.00555	0.0023	0	0.01241
LYZ	2.00974	2.57772	0.29675	1.29668	1.09335	0.17009	0.38337	1.78632	0.3438	0.32052	0.31213
RP11-1143G9.4	0.05348	0.0984	0.01202	0.11462	0.03952	0.00697	0.00658	0.05449	0.00968	0.03276	0.01037
YEATS4	0.12319	0.10696	0.07506	0.14787	0.04475	0.11009	0.08623	0.23902	0.0582	0.08327	0.09099
FRS2	0.06069	0.07208	0.02632	0.08891	0.04359	0.04357	0.09207	0.07426	0.03332	0.04059	0.01106
CCT2	0.34806	0.33845	0.29112	0.73035	0.21929	0.26631	0.48918	0.5406	0.25854	0.40189	0.33626
BEST3	0	0	0	0.00142	0	0	0.00148	0	0	0	0
RP11-588G21.2	0.00187	0.00381	0.00517	0.00403	0.01044	0.00114	0	0.0038	0.00637	0.00814	0
RAB3IP	0.0144	0.01562	0.06413	0.19661	0.15024	0.06186	0.03645	0.04157	0.06125	0.03521	0.03768
MYRFL	0.00016	0	0.00077	0.00338	0.00319	0.00127	0	0	0	0	0
LINC01481	0.02336	0.02757	0.04086	0.05978	0.05827	0.05802	0.04361	0.03476	0.03225	0.0364	0
CNOT2	0.28601	0.31049	0.30175	0.34619	0.24745	0.23937	0.34687	0.30241	0.18619	0.45827	0.2084
AC092881.1	0.00016	0.00021	0.00061	0.00095	0	0.0016	0.00481	7e-04	0.00248	0.00438	0
KCNMB4	0.03642	0.05626	0.00307	0.00486	0.00662	0.00397	0.05329	0.02656	0.00324	0.0133	0.0158
RP11-588H23.3	0.0102	0.01819	0.00135	0.00102	0.00278	0	0.00172	0.01304	0.02335	0.02803	0
PTPRB	0	0.00018	0.00223	0.0414	0.01916	0.00142	0.00299	6e-04	0	0.73419	0
RP11-785D18.3	0.00191	0.00211	0	0.00093	0	0	0	0.00158	0.00311	0	0
PTPRR	0.00017	0	0.00292	0.0581	0.04504	0.00284	0	0.00092	0	0.00678	0
CTD-2021H9.3	0.00104	0.0012	0.00035	0.03782	0.01028	0.00243	0	0.00154	0	0	0
TSPAN8	0.05985	0.05956	0.19886	2.0639	1.30134	0.12477	0.13247	0.06421	0.15192	0.24714	0.25745
LGR5	0.00028	0	0.00036	0.01569	0.00596	0.00087	0.00322	0	0	0	0
ZFC3H1	0.16665	0.15901	0.13383	0.14962	0.16999	0.13992	0.14886	0.16947	0.17752	0.20734	0.11873
THAP2	0.21936	0.12073	0.06068	0.08915	0.05097	0.06698	0.07657	0.09634	0.06083	0.06329	0.18298
TMEM19	0.11108	0.14625	0.02312	0.1435	0.06706	0.01923	0.03046	0.23002	0.06185	0.10139	0.03311
RAB21	0.42116	0.38178	0.3635	0.29245	0.173	0.38395	0.38245	0.44712	0.32634	0.38953	0.42037
RP11-2H8.2	0.00088	0.00132	0.00601	0.00071	0.00095	0	0	0.00107	0.0019	0.00105	0
TBC1D15	0.22693	0.21517	0.21212	0.20848	0.10475	0.21745	0.20814	0.30619	0.16592	0.30931	0.06489
TRHDE	0	0	0	0.00245	0.00064	0	0	0	0	0	0
RP11-81H3.2	0.00031	0	0	0.00309	0.00337	0	0.00255	0.00054	0	0	0
ATXN7L3B	0.17678	0.16328	0.14872	0.31083	0.20311	0.18122	0.28359	0.19686	0.09629	0.24483	0.02184
RP11-56G10.2	0	0.00047	0.00063	0.00075	0.00122	0	0	0	0	0.00396	0
KCNC2	0	0	0	0.00088	0	0	0	0	0	0	0
CAPS2	0.00493	0.0063	0.0018	0.01145	0.0098	0.0037	0.01341	0.00954	0	0.0056	0
GLIPR1L1	0	0.00021	4e-04	0.00044	0.00028	0	0.00286	0	0	0	0
GLIPR1L2	0.00024	0.00068	0.00298	0.00591	0.00347	0.00099	0.00859	0.00043	0	0.01826	0
GLIPR1	0.63556	0.84013	0.5043	0.03334	0.06102	0.36095	0.33688	0.79023	0.35688	0.03681	0.10109
RP11-585P4.5	0.00316	0.00284	0.00195	0.00106	0.00149	0.00133	0.00443	0.0011	0	0.00397	0
KRR1	0.1691	0.15941	0.27179	0.33556	0.15347	0.27166	0.31421	0.31456	0.24522	0.19878	0.19064
PHLDA1	0.81015	0.35212	0.5025	0.30764	0.20653	0.97595	1.12998	0.49633	0.07053	0.31639	0.26323
RP11-290L1.3	0.00076	5e-04	0.00068	0.00033	0.00035	0.00217	0.00427	0.00047	0	0	0
RP11-290L1.2	0.01354	0.01035	0.00508	0.01102	0.01442	0.00864	0.00822	0.01123	0.00609	0	0
NAP1L1	1.12834	1.14951	0.83993	1.19672	0.55216	1.08519	1.37512	1.45868	0.75817	1.02363	0.80901
BBS10	0.04086	0.04024	0.00706	0.03803	0.02531	0.0082	0.02648	0.02092	0.01244	0.02035	0.0349
OSBPL8	0.76264	0.51771	0.31065	0.21958	0.11786	0.31155	0.44561	0.62237	0.21037	0.26586	0.39445
RP11-20E24.1	0.00064	0.00035	0	0.00258	0.00037	0	0.00202	0.00166	0	0	0.01204
ZDHHC17	0.12379	0.10978	0.05683	0.09452	0.0862	0.06636	0.13987	0.09923	0.0919	0.25745	0.05763
CSRP2	0.00747	0.00462	0.00264	0.03364	0.01151	0.00259	0.69705	0.00608	0	0.20247	0.01253
E2F7	0.01247	0.00299	0.00275	0.00389	0.0017	0.00111	0.01252	0.09987	0.00313	0.00643	0
RP1-34H18.1	0	0	0	0.00144	0.00116	0	0.0015	0	0	0.03918	0
NAV3	0.00089	0.00062	3e-04	0.00189	0.00273	0	0.03919	0	0.00141	0.04105	0
SYT1	0.02513	0.04805	0.00033	0.09441	0.04162	0.00136	0.01435	0.03518	0.03244	0.00259	0
RP1-78O14.1	0	2e-04	0	0.00321	0.00252	0	0	0.00103	0	0	0
PAWR	0.01097	0.01122	0.0126	0.44767	0.30431	0.00703	0.48351	0.01643	0.12218	0.117	0
PPP1R12A	0.41414	0.42212	0.36966	0.25204	0.15889	0.44091	0.86394	0.57611	0.19143	0.63049	0.25639
RP11-84G21.1	0.00348	0.00092	0.00141	0.009	0.00701	0.001	0.00461	0.00659	0.00073	0.00943	0
PTPRQ	0	0	0	0.00222	0.00247	0	0	0.00049	0	0	0
LIN7A	0.00635	0.01176	0.00273	0.08862	0.03826	0.01295	0.10924	0.00788	0.00312	0.00547	0
ACSS3	0.00889	0.01048	0.00299	0.22887	0.10635	0.01	0.04416	0.01389	0.00157	0.00259	0
PPFIA2	0	0.00049	0	0.00075	0.00032	0.00099	0.00631	0.00047	0	0	0
RP11-362A1.1	0.00234	0.00392	0	9e-05	0	0	0	0	0	0	0
CCDC59	0.27966	0.28908	0.38083	0.3371	0.15097	0.35989	0.28819	0.36719	0.27606	0.23878	0.29178
METTL25	0.02685	0.03903	0.01587	0.04556	0.03636	0.01894	0.03873	0.03181	0.02359	0.01784	0
TMTC2	0.01445	0.02837	0.01088	0.04875	0.0432	0.01785	0.02203	0.01584	0.01413	0.20751	0.01778
TSPAN19	0.00025	0	0	0.00044	3e-04	0	0	0	0	0.0084	0
LRRIQ1	0	0.00018	0.00028	0.00597	0.00602	0	0	0	0	0.01292	0
RP11-193M21.1	0	0	0	0.00048	0.00021	0	0	0	0	0	0
ALX1	0.00212	0.00199	0.00084	0.04311	0.00945	0	0.0013	0.00087	0	0	0
RP11-408B11.2	0.00022	0.00017	0	0.00115	0.00135	0	0	0.00083	0	0	0
RASSF9	0.00568	0.00492	0.00169	0.12988	0.07283	0.00241	0.00791	0.00369	0	0.13696	0
NTS	0.58037	0.52301	0.18053	1.89315	1.25767	0.41869	0.39318	0.49654	0.17139	0.12848	0.05382
C12orf50	0.00039	0.00018	7e-04	0.00066	0	0.00096	0	0	0	0	0
C12orf29	0.05014	0.04136	0.08584	0.14117	0.05042	0.07247	0.08464	0.09182	0.0374	0.08134	0.05803
CEP290	0.07564	0.07341	0.06251	0.12644	0.09242	0.08071	0.17625	0.10811	0.08639	0.13404	0.036
TMTC3	0.04412	0.03437	0.02437	0.09893	0.04555	0.01525	0.17058	0.0441	0.0373	0.1521	0.01962
KITLG	0.01733	0.00805	0.00225	0.08926	0.04455	0.00168	0.23206	0.01103	0.00128	0.22765	0
RP11-900F13.3	0.00028	0	0	0.00044	0.00082	0	0	0	0	0	0
DUSP6	0.79997	0.73219	0.08983	0.42358	0.22465	0.05219	0.25739	0.58524	0.02411	0.85328	0.43783
RP11-823E8.3	0.01603	0.00742	0.00376	0.00198	0.00248	0.00147	0.00562	0.00655	0	0	0
RP11-1109F11.3	0.00043	0.00016	0	0.00308	0.00398	0	0.00153	0.00079	0	0	0
RP11-1109F11.5	0.00052	0.00074	0	0.00126	0.00123	0	0	0	0	0	0
POC1B	0.06489	0.05919	0.07668	0.1266	0.08823	0.06323	0.06229	0.07912	0.11145	0.10871	0.06108
POC1B-GALNT4	0	0.00016	0.00033	0.00043	0.00042	0	0.00139	0.00047	0	0	0
GALNT4	0	0.00018	0.00074	0.00367	0.00559	0	0	0	0	0	0
RP11-734K2.4	0.00502	0.00642	0.02714	0.04321	0.03623	0.00763	0.00952	0.00885	0.02948	0.01808	0
RP11-981P6.1	0.00042	5e-04	0.00265	0.00454	0.00666	0.00261	0	5e-04	0.00189	0	0
ATP2B1	0.51578	0.67633	0.45945	0.49099	0.23745	0.29369	0.28768	0.50767	0.79358	0.58346	0.09147
LINC00936	0.46211	0.41767	0.16906	0.0457	0.08766	0.12952	0.11822	0.31129	0.20081	0.18753	0.07124
LUM	0.00039	0.00046	0.00033	0.00467	0.00412	0.00254	0.38751	0.00236	0	0	0
DCN	2e-04	0.00153	0.00072	0.0021	0.00284	0	0.72553	0.00143	0	0.00935	0
RP11-587P21.2	0	0	0.00022	0.0011	0.00023	0	0	0	0	0	0
BTG1	1.78052	1.40045	3.00234	0.89995	0.70826	2.62274	1.50318	1.6078	2.11235	1.49745	1.71771
RP11-796E2.4	0.08394	0.10718	0.16927	0.02127	0.06685	0.15839	0.09141	0.12822	0.12603	0.10066	0.03857
RP11-756G20.1	0.00372	0.00246	0.00186	6e-05	0	0	0	0.0037	0.00291	0.00302	0
CLLU1OS	0.01898	0.00165	0.00078	0.00025	0.00023	0	0	0.00481	0.01445	0	0
CLLU1	0.00121	0.00012	0	0	0	0	0	0.00126	0.00143	0.01348	0
RP11-693J15.5	0.00301	0.00284	0.00291	0.00055	0.00047	0	0.00253	0.00376	0.17954	0	0
C12orf74	0.00018	0	0	0.00062	0.00361	0	0	0	0.0054	0	0
PLEKHG7	0	4e-04	0.00036	0.00467	0.00897	0	0	9e-04	0.02097	0	0
EEA1	0.28448	0.25855	0.07867	0.20365	0.08759	0.0738	0.30011	0.31858	0.0747	0.33674	0.0915
