DC	Mono/Macro	CD8T	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	B	Endothelial	Mast
LINC01134	0.00437	0.00166	0	0.00205	0.00099	0.00108	0	0	0	0.00351	0
NPHP4	0.01615	0.01367	0.00885	0.01195	0.0069	0.00388	0.02609	0.01728	0.00878	0.01794	0.00933
KCNAB2	0.29176	0.20807	0.11588	0.01038	0.02159	0.14483	0.04014	0.25493	0.04635	0.03781	0.03559
RPL22	2.3197	2.37495	2.23429	2.15089	1.25391	2.60529	2.58997	2.42424	2.41058	2.32375	2.72267
RP1-120G22.11	0	2e-04	0	0.00106	0	0.00098	0.00212	0	0.00318	0	0
RNF207	0.00512	0.00609	0.01617	0.04472	0.05491	0.04133	0.02016	0.01202	0.00912	0.03931	0
ICMT	0.10048	0.08033	0.02174	0.06515	0.02938	0.02983	0.18821	0.17802	0.01553	0.14899	0.02767
LINC00337	0.00189	0.00126	0	0.00063	0.00038	0	0	0.00347	0	0	0
GPR153	0.00406	0.00266	0.00221	0.00428	0.00297	0.00132	0.04643	0.00289	0.00295	0.01182	0.02556
ACOT7	0.06816	0.02935	0.02968	0.04927	0.01959	0.02536	0.05154	0.20169	0.01173	0.12849	0.24104
RP1-202O8.3	0.00278	0.00409	0.00783	0.00344	0.00108	0.00698	0.0087	0.00457	0.00325	0.01066	0
HES2	0.00018	0	0.00044	0.00099	0.00427	0.00169	0.00147	0	0	0.01469	0
ESPN	0.00423	0.00283	0.00942	0.06903	0.02614	0.00629	0.00715	0.00126	0.00627	0	0.00949
TNFRSF25	0.01402	0.05755	0.32238	0.01574	0.02682	0.42105	0.03019	0.0995	0.01957	0.2036	0.00949
PLEKHG5	0.00824	0.05657	0.00251	0.00743	0.0039	0.00484	0.02185	0.01126	0	0.1961	0
NOL9	0.04123	0.06245	0.0532	0.0492	0.03712	0.04441	0.07534	0.07855	0.04215	0.07514	0.03918
ZBTB48	0.05504	0.07618	0.03335	0.03966	0.03077	0.03308	0.07243	0.07096	0.03645	0.04257	0.08561
KLHL21	0.0726	0.0337	0.05446	0.0303	0.02032	0.02641	0.02405	0.02908	0.03804	0.06016	0.01018
PHF13	0.03278	0.03299	0.01578	0.03162	0.01923	0.02611	0.05219	0.04628	0.01872	0.04587	0.0302
